"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","variable"
2,-0.349261024968902,1.1591270323829,0.763363813430007,-2.25585532828141,1.5573332783436,-2.18667687256879,1.37092108199058,0.111654275686105,-4.44164138654523,0.0682876414076561,0.383510986221408,344,"Creditos"
3,-1.81281531089811,1.37877004077863,0.18948527962478,-4.08069021320486,0.455059591408648,-1.98806189852693,1.61226894152898,0.218419686301483,-4.64000831462208,0.663884517568226,0.939368259764711,343,"Creditos"
4,-4.25508582092815,1.61604520838414,0.00886102269558874,-6.91324364325634,-1.59692799859995,-0.0490105754258043,1.81299309099252,0.97844978287798,-3.03111883678282,2.93309768593121,0.0858235976149598,342,"Creditos"
5,-4.95418499820324,1.79252811489031,0.00603505205461657,-7.90263136939305,-2.00573862701343,0.237575740949325,2.19844832185307,0.914009852146017,-3.37854995491607,3.85370143681472,0.0629939054283944,341,"Creditos"
6,-5.49704085489016,2.12889049708204,0.0102528796340094,-8.99875411039806,-1.99532759938225,0.00379685925433797,2.65456710578326,0.998859646010119,-4.36257747267934,4.37017119118801,0.117441851317427,340,"Creditos"
7,-6.70185876157205,2.08101809264063,0.00140837462929674,-10.1248289190036,-3.27888860414047,0.629131404225885,3.02605627141297,0.835432782369461,-4.34828822916698,5.60655103761875,0.0426120625659059,339,"Creditos"
8,-8.36112350526775,2.10209158444847,8.58348105286065e-05,-11.818756472132,-4.90349053840352,2.01206617563842,3.29736491820756,0.542151622907895,-3.41161646945782,7.43574882073467,0.00626956713624682,338,"Creditos"
9,-8.23796934785253,2.20108751149613,0.000215233552848291,-11.8584361243745,-4.61750257133054,2.0278039910078,3.47734854285884,0.560199031952815,-3.69192537188797,7.74753335390357,0.00936745432952502,337,"Creditos"
10,-8.5664127903928,2.4993927662539,0.000688005801312922,-12.6775480471418,-4.4552775336438,2.86077428651025,3.75587852471764,0.446805593554408,-3.3170961272607,9.0386447002812,0.0112572617580547,336,"Creditos"
11,-9.55785594015975,2.79878014831131,0.000719183287929173,-14.1614396181494,-4.95427226217011,4.25643886763648,4.05356125944779,0.294480482116171,-2.4110760720362,10.9239538073092,0.00750668793212372,335,"Creditos"
12,-9.4995744250986,2.87061382040317,0.00104146529461426,-14.2213139791658,-4.77783487103143,4.95306799414457,4.38801834785309,0.259834693630903,-2.26457990045118,12.1707158887403,0.0102837120381526,334,"Creditos"
13,-9.36903913632702,2.91796164216559,0.00145756545808407,-14.1686589267484,-4.56941934590567,5.90243308554575,4.69682843479287,0.209781478798822,-1.8231622005921,13.6280283716836,0.0110711823154337,333,"Creditos"
14,-8.94300534629107,2.90451061339256,0.00225677396760197,-13.7205001632489,-4.16551052933328,6.52530262923131,4.81914543168399,0.176679926058246,-1.40148621288072,14.4520914713433,0.0113919036681706,332,"Creditos"
15,-7.95269295048477,2.83262326666416,0.00529952428896059,-12.6119436044444,-3.2934422965251,6.58106152384576,4.76301659397841,0.168030614049151,-1.25340359598966,14.4155266436812,0.0130677202699482,331,"Creditos"
16,-6.26509876725609,2.84927611580445,0.0286092134145612,-10.9517409205232,-1.57845661398893,5.85546587352522,4.70841716658039,0.214556692568598,-1.88919118012511,13.6001229271755,0.0352752650881534,330,"Creditos"
17,-4.816707653231,2.93371939276034,0.101614118970189,-9.64224663687071,0.00883133040870554,5.53377257507191,4.59507099267258,0.229378055863378,-2.02444661332509,13.0919917634689,0.0681116964853153,329,"Creditos"
18,-3.45522741167004,2.92755782268371,0.238791553184509,-8.2706315144215,1.36017669108141,5.49561079254158,4.57626263034883,0.230691320393529,-2.03167139287016,13.0228929779533,0.110889045827916,328,"Creditos"
19,-2.23019091073354,2.72138827112611,0.413118044125554,-6.70647627883852,2.24609445737143,5.4523309161669,4.51234072959623,0.227832268548468,-1.96980909895031,12.8744709312841,0.151190213179246,327,"Creditos"
