"horizon","tot_value","tot_sd_units","marginal_effect","se","ci_lower","ci_upper"
12,30.4425786715512,1.6,-12.5220912416977,3.44817576139571,-18.1938356491956,-6.85034683419981
12,32.3452398385231,1.7,-12.9365162330347,3.54840664407206,-18.7731257714353,-7.09990669463405
12,34.2479010054951,1.8,-13.3509412243717,3.65144081417544,-19.3570268911668,-7.34485555757655
12,36.150562172467,1.9,-13.7653662157086,3.75704764471669,-19.9451596607504,-7.5855727706669
12,38.053223339439,2,-14.1797912070456,3.86501625707187,-20.5371772157167,-7.82240519837454
18,-38.053223339439,-2,-0.840779402290835,3.36974522044344,-6.38351705003962,4.70195824545795
18,-36.150562172467,-1.9,-1.13573057162953,3.25784527892077,-6.49440919470908,4.22294805145003
18,-34.2479010054951,-1.8,-1.43068174096822,3.14910222277364,-6.61049395373839,3.74913047180195
18,-32.3452398385231,-1.7,-1.72563291030691,3.04385441422157,-6.7323278834515,3.28106206283768
18,-30.4425786715512,-1.6,-2.02058407964561,2.94247693582821,-6.86052793976369,2.81935978047248
18,-28.5399175045792,-1.5,-2.3155352489843,2.8453835028327,-6.99577462368655,2.36470412571796
18,-26.6372563376073,-1.4,-2.61048641832299,2.75302742011603,-7.13881355539769,1.91784071875171
18,-24.7345951706353,-1.3,-2.90543758766168,2.66590108800674,-7.29045466136345,1.47957948604008
18,-22.8319340036634,-1.2,-3.20038875700038,2.58453345568732,-7.45156798556508,1.05079047156433
18,-20.9292728366914,-1.1,-3.49533992633907,2.50948474661736,-7.62307501359202,0.632395160913886
18,-19.0266116697195,-1,-3.79029109567776,2.44133777688586,-7.80593439260211,0.225352201246586
18,-17.1239505027475,-0.9,-4.08524226501645,2.38068530587338,-8.00112112501236,-0.169363405020545
18,-15.2212893357756,-0.8,-4.38019343435515,2.32811315183768,-8.20959879610877,-0.550788072601522
18,-13.3186281688036,-0.7,-4.67514460369384,2.28417930717453,-8.43228522170737,-0.918003985680306
18,-11.4159670018317,-0.6,-4.97009577303253,2.24938998492831,-8.67001304817017,-1.27017849789489
18,-9.51330583485974,-0.5,-5.26504694237122,2.22417432740193,-8.92348815177064,-1.6066057329718
18,-7.61064466788779,-0.4,-5.55999811170992,2.20886022881906,-9.1932498705118,-1.92674635290803
18,-5.70798350091584,-0.3,-5.85494928104861,2.20365412886187,-9.47963776745364,-2.23026079464357
18,-3.80532233394389,-0.2,-6.1499004503873,2.20862750735565,-9.78276941644603,-2.51703148432857
18,-1.90266116697195,-0.0999999999999999,-6.44485161972599,2.22371206550055,-10.1025324759603,-2.78717076349166
18,0,0,-6.73980278906469,2.24870433175731,-10.4385922650972,-3.04101331303219
18,1.90266116697195,0.1,-7.03475395840338,2.28327898656343,-10.7904136807943,-3.27909423601245
18,3.8053223339439,0.2,-7.32970512774207,2.32700894426875,-11.157294229671,-3.5021160258131
18,5.70798350091584,0.3,-7.62465629708076,2.37938947218359,-11.5384037003321,-3.71090889382943
