"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","fci_type","fci_label"
1,0.0132549389853394,0.00242310593344362,8.84453927047783e-08,0.00926928440222706,0.0172405935684518,-0.0160575054991065,0.00270660577457395,7.46913127996354e-09,-0.0205094758241423,-0.0116055351740708,3.03241032284518e-09,345,"FCI_ENDO","Endogenous (Domestic)"
2,0.013058023976845,0.00297168286425044,1.49819431881451e-05,0.00817004063943318,0.0179460073142569,-0.017418499827947,0.00368567900875088,3.38758884982784e-06,-0.0234809023132698,-0.0113560973426242,1.91121050341359e-06,344,"FCI_ENDO","Endogenous (Domestic)"
3,0.017345050917273,0.00392501624758825,1.34499509506408e-05,0.010888973706584,0.023801128127962,-0.0226508951630889,0.0048864111735672,5.13087640430363e-06,-0.0306883263047071,-0.0146134640214707,2.14675761156524e-06,343,"FCI_ENDO","Endogenous (Domestic)"
4,0.0174139990706549,0.00487258871241037,0.000404204934880082,0.00939930385440394,0.0254286942869059,-0.0236144715294492,0.00587266405500906,7.18434806693356e-05,-0.0332741443001984,-0.0139547987587,5.57233246787359e-05,342,"FCI_ENDO","Endogenous (Domestic)"
5,0.0164368909630375,0.00593757169066393,0.0059544681039896,0.00667045463236458,0.0262033272937105,-0.0230652150146901,0.00651064227420675,0.00045330699456851,-0.0337742685732026,-0.0123561614561775,0.000698728520730163,341,"FCI_ENDO","Endogenous (Domestic)"
6,0.0209849182890099,0.0069842385114027,0.00286399546661331,0.00949686824203499,0.0324729683359848,-0.0281723731016742,0.00683614267930843,4.78054895269064e-05,-0.0394168271820925,-0.016927919021256,0.000112520244789804,340,"FCI_ENDO","Endogenous (Domestic)"
7,0.0190662753233209,0.00797940065357668,0.0174404140303259,0.00594132921738638,0.0321912214292555,-0.0275239349893345,0.00684086299838393,7.12924686011176e-05,-0.0387761533037044,-0.0162717166749646,0.000568835107799925,339,"FCI_ENDO","Endogenous (Domestic)"
8,0.0164690174040494,0.0084591365002354,0.0524063530981882,0.0025549760507596,0.0303830587573391,-0.0259335651491155,0.00680662722602408,0.000166051960242913,-0.0371294706291479,-0.0147376596690832,0.0020706053068742,338,"FCI_ENDO","Endogenous (Domestic)"
9,0.0172430945696163,0.00812654929516735,0.0346089216557942,0.00387611048686039,0.0306100786523723,-0.0278312708805555,0.00660059403820011,3.22060912265882e-05,-0.0386882819243232,-0.0169742598367878,0.00043671610504159,337,"FCI_ENDO","Endogenous (Domestic)"
10,0.0144930406683125,0.00851260019647672,0.0896133256742241,0.000491059360349972,0.0284950219762751,-0.026223417062748,0.0064607214838718,6.18608226545049e-05,-0.0368503582282178,-0.0155964758972781,0.0014515513980764,336,"FCI_ENDO","Endogenous (Domestic)"
11,0.0132509361202595,0.00928178846986351,0.154365195796074,-0.00201624730899187,0.0285181195495108,-0.0253515012542708,0.00659789655923179,0.00014670583337644,-0.0362040753399738,-0.0144989271685677,0.00495031840820592,335,"FCI_ENDO","Endogenous (Domestic)"
12,0.0210339026217585,0.0103676447111047,0.0433009252557216,0.00398064461575379,0.0380871606277633,-0.0341436037680028,0.00791700018022526,2.1471889219605e-05,-0.0471659102290218,-0.0211212973069839,0.000681641251842335,334,"FCI_ENDO","Endogenous (Domestic)"
13,0.0216447660323236,0.0110389212948502,0.0507704933958708,0.00348735630285749,0.0398021757617898,-0.0369937303055766,0.00905681550793202,5.58074662808994e-05,-0.0518908661424289,-0.0220965944687243,0.00119863768027051,333,"FCI_ENDO","Endogenous (Domestic)"
14,0.020997017867477,0.0120005292561387,0.0811330891840367,0.00125790379517992,0.040736131939774,-0.0382175213960644,0.0101906284402935,0.000209629498922889,-0.054979613546996,-0.0214554292451328,0.00355733596306507,332,"FCI_ENDO","Endogenous (Domestic)"
15,0.0225620712894653,0.0120360028773953,0.0617685264637787,0.00276460830258323,0.0423595342763474,-0.0415543091894259,0.0104862400396883,9.14659649288601e-05,-0.058802639151791,-0.0243059792270608,0.00180956651255526,331,"FCI_ENDO","Endogenous (Domestic)"
16,0.0209671819749005,0.0126614863891611,0.098712044676755,0.000140890165092136,0.0417934737847089,-0.0414387005432008,0.011289058996543,0.000283601643128654,-0.0600075501785337,-0.022869850907868,0.00442742010369046,330,"FCI_ENDO","Endogenous (Domestic)"
17,0.0213749200331467,0.0139880152799825,0.127487831189705,-0.00163331763398503,0.0443831577002785,-0.0427959127896205,0.0126705871041415,0.000822414471846676,-0.0636371739434722,-0.0219546516357688,0.0093418330418924,329,"FCI_ENDO","Endogenous (Domestic)"
18,0.025240988168275,0.0150504716546522,0.094513831983055,0.000485165279790031,0.0499968110567601,-0.048041658755922,0.0142125678552471,0.000815113773058626,-0.0714192525409192,-0.0246640649709249,0.00726630641965598,328,"FCI_ENDO","Endogenous (Domestic)"
19,0.024770461202245,0.0154984209419263,0.110988337568807,-0.000722172696103116,0.0502630951005931,-0.0494652255006357,0.0154403860412162,0.00149595242231521,-0.074862400482061,-0.0240680505192104,0.0102489098750997,327,"FCI_ENDO","Endogenous (Domestic)"
20,0.0222852036765412,0.015656191608782,0.155609731888287,-0.00346693987541101,0.0480373472284934,-0.0491990481416415,0.0162901855011229,0.00273376439265482,-0.0759940188468757,-0.0224040774364072,0.0165091506907045,326,"FCI_ENDO","Endogenous (Domestic)"
21,0.0222426910586159,0.0148978882690875,0.136441954350048,-0.0022621544947105,0.0467475366119424,-0.0512053602319689,0.0165188650464333,0.00211238984822299,-0.0783764753167166,-0.0240342451472212,0.0116187978361888,325,"FCI_ENDO","Endogenous (Domestic)"
22,0.0190089914083031,0.0148163000402543,0.200451904342474,-0.00536165345091034,0.0433796362675166,-0.0504368314459997,0.0174679389383358,0.0041557915401069,-0.0791690341640882,-0.0217046287279111,0.0200434463449877,324,"FCI_ENDO","Endogenous (Domestic)"
23,0.0169426480277305,0.0143094383400173,0.237309656225952,-0.00659428352548543,0.0404795795809464,-0.0501583406459192,0.0179418646842508,0.00550241640632324,-0.0796700818460816,-0.0206465994457568,0.0237332289306948,323,"FCI_ENDO","Endogenous (Domestic)"
24,0.0223264183841293,0.0142342039844037,0.117783489627349,-0.00108676366638414,0.0457396004346428,-0.0582220158684681,0.0197069637768414,0.00337282082029895,-0.0906370867130069,-0.0258069450239293,0.0103381382621452,322,"FCI_ENDO","Endogenous (Domestic)"
1,0.00318159939784946,0.00207646561868831,0.12641792881254,-0.000233882606290039,0.00659708140198896,-0.0058113698539973,0.00312862875591392,0.0641253005543347,-0.010957506210547,-0.000665233497447622,0.0606898296941261,345,"FCI_EXO","Exogenous (External)"
2,-0.000237069626176454,0.00212794886525352,0.911360473618568,-0.00373723403515597,0.00326309478280306,-0.006047582464094,0.004279378710937,0.158536214694075,-0.0130865340578776,0.000991369129689637,0.29474858514487,344,"FCI_EXO","Exogenous (External)"
3,-0.00354543081984183,0.00288068635099993,0.219286854193799,-0.00828373821239366,0.00119287657271,-0.00621018136190508,0.00462892752249949,0.180644557053897,-0.0138240895861838,0.00140372686237369,0.625635882880096,343,"FCI_EXO","Exogenous (External)"
4,-0.00614084844520141,0.00389360330196445,0.115716039607631,-0.0125452559583479,0.000263559067945032,-0.00663138142759741,0.00511850030339672,0.196028770826909,-0.0150505652161917,0.00178780236099689,0.938776488208228,342,"FCI_EXO","Exogenous (External)"
5,-0.00766105965094672,0.00417083946541302,0.0671391848968388,-0.0145214800730637,-0.000800639228829782,-0.00701755479036026,0.00561614810781416,0.212358874262278,-0.016255296374995,0.00222018679427451,0.922414014390726,341,"FCI_EXO","Exogenous (External)"
6,-0.00863793662403699,0.00445322797969462,0.05327293799057,-0.0159628448180795,-0.00131302842999453,-0.0067938466886578,0.00592611387823042,0.252454876105375,-0.0165414365949926,0.00295374321767696,0.772267271021059,340,"FCI_EXO","Exogenous (External)"
7,-0.00926864752084923,0.00461796578008964,0.0455633246741987,-0.0168645252833674,-0.00167276975833101,-0.00650371028038721,0.0065731673529188,0.323182773188112,-0.0173156084413947,0.00430818788062028,0.685453532323251,339,"FCI_EXO","Exogenous (External)"
8,-0.00880778602906149,0.00463718123467892,0.0583965337156012,-0.0164352704017544,-0.00118030165636857,-0.00808394711946471,0.00735726575484955,0.272678957666635,-0.0201855723807749,0.00401767814184543,0.922496330951969,338,"FCI_EXO","Exogenous (External)"
9,-0.00984507933205225,0.00470911799011281,0.0373366984656427,-0.0175908891378317,-0.00209926952627278,-0.00946864882423892,0.00808173614796652,0.242211572733502,-0.0227619218392865,0.00382462419080863,0.959592751364292,337,"FCI_EXO","Exogenous (External)"
10,-0.00948801811277487,0.00512094519889727,0.0648221358245302,-0.0179112233966008,-0.00106481282894897,-0.0123483030398213,0.00873888904082939,0.158607143113732,-0.026722496374156,0.00202589029451339,0.713130804825312,336,"FCI_EXO","Exogenous (External)"
11,-0.009331875246355,0.00525901423512583,0.0769300777261973,-0.0179821838851911,-0.000681566607518865,-0.0147437393913988,0.00957682693478612,0.124655870094887,-0.0304962179097683,0.00100873912697072,0.517156929759756,335,"FCI_EXO","Exogenous (External)"
