"credit_type","horizon","method","coef","se","p_value","ci_lower","ci_upper","n_obs"
"Cred_USD",16,"2SLS_improved",-182.133413033963,54.3055831191232,0.000901416206698543,-271.458148391168,-92.8086776767587,308
"Cred_USD",16,"OLS",-5.04755666758984,4.87164296865485,0.301002400027926,-13.0606962737944,2.96558293861472,308
"Cred_USD",17,"2SLS_improved",-181.253246061418,55.0757669016206,0.00112046703290297,-271.844821006683,-90.6616711161537,307
"Cred_USD",17,"OLS",-4.35185726633811,4.4352996076354,0.327310127117964,-11.6472759125736,2.94356137989741,307
"Cred_USD",18,"2SLS_improved",-175.863079044316,55.655467908291,0.00174416496272831,-267.40817729295,-84.3179807956825,306
"Cred_USD",18,"OLS",-3.26265013637296,4.2272609930609,0.440850037372895,-10.2158757128797,3.69057544013374,306
"Cred_USD",19,"2SLS_improved",-170.865991097461,58.9419808931046,0.00402990686218663,-267.816922149189,-73.915060045734,305
"Cred_USD",19,"OLS",-2.33580116682787,3.67908213446919,0.526001015265934,-8.38735275956189,3.71575042590614,305
"Cred_USD",20,"2SLS_improved",-165.898129583199,60.7099392721097,0.0066686979506221,-265.757093386932,-66.0391657794656,304
"Cred_USD",20,"OLS",-1.22557485469195,3.68371895307408,0.73960080387813,-7.28475333532572,4.83360362594182,304
"Cred_USD",21,"2SLS_improved",-169.142868761071,65.9411264383393,0.0108207309020066,-277.606369748438,-60.6793677737026,303
"Cred_USD",21,"OLS",-0.584472614495934,3.55924897457188,0.869678772378381,-6.43891619954379,5.26997097055192,303
"Cred_USD",22,"2SLS_improved",-164.215933300608,68.4649304290379,0.0170966239878048,-276.830722435791,-51.6011441654248,302
"Cred_USD",22,"OLS",0.962645141534547,3.42925934774663,0.779130417643164,-4.67798453436373,6.60327481743282,302
