"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","fci_type","credit_type","fci_label","credit_label"
10,-7.67392420140118,3.35631042999733,0.0228747818598567,-13.1945635853573,-2.15328481744503,7.16057592195951,3.40700047130435,0.0363491922869768,1.55655883970918,12.7645930042098,0.00470840935926287,336,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
11,-8.91653963169093,3.77542479402573,0.0187828474450764,-15.1265607974267,-2.7065184659552,8.76251341727876,3.84091302593344,0.0231775253565744,2.44477369576699,15.0802531387905,0.00338706281410339,335,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
12,-9.05635702583212,4.05890461025299,0.026353922180817,-15.7326609954568,-2.38005305620744,9.07406486237637,4.22746740631896,0.0325835914617228,2.12049976627351,16.0276299584792,0.00602749302463823,334,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
13,-8.97329442965041,4.01701026191998,0.0261831072308344,-15.5806883284708,-2.36590053083004,9.56158154495175,4.67539563354139,0.0416615771419738,1.87124007968812,17.2519230102154,0.00766900875555987,333,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
14,-8.70420620114998,3.85640655664867,0.0246773094228704,-15.047430512853,-2.36098188944697,10.0015672880911,4.78395200724717,0.0373481625061347,2.13266647780881,17.8704680983734,0.0057365752111056,332,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
15,-7.92834066522034,3.59288802910046,0.0280487284306699,-13.8381155711168,-2.01856575932392,10.0791088035706,4.82687340104631,0.0375794761139927,2.13960858302394,18.0186090241172,0.00456320112712061,331,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
16,-6.52061360592653,3.31448266931609,0.0500164770732101,-11.9724524460189,-1.06877476583416,9.40266291640503,4.81281689109005,0.051616581564264,1.48628359724226,17.3190422355678,0.00625906075043303,330,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
17,-5.30200625701713,3.20510944125677,0.0990694319149673,-10.5739421462447,-0.03007036778952,8.93393701932774,4.77900116327111,0.0624868832958786,1.07317962271596,16.7946944159395,0.00894792753855356,329,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
18,-4.36224964644912,3.26500358788779,0.18249011316001,-9.73270263999592,1.00820334709767,8.88672324762127,4.83745457546993,0.0671391159957565,0.929818543946571,16.843627951296,0.0152304871443234,328,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
19,-3.61943936334852,3.18297733935104,0.256350777925359,-8.85497118448443,1.61609245778739,8.87254780718006,4.80506273193782,0.0657575641951572,0.968922944822784,16.7761726695373,0.0176888856967692,327,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
20,-2.83092126215003,3.15119517283466,0.369679702568241,-8.01417607141909,2.35233354711903,8.93758546877087,4.7706864647288,0.061936664521517,1.09050453421341,16.7846664033283,0.0216876547468078,326,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
21,-1.64339015198368,3.15777803639503,0.603134534037161,-6.83747280825575,3.55069250428839,8.50550002129789,4.69830338427509,0.0712028047068153,0.777478659154635,16.2335213834411,0.041245336295748,325,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
22,-0.55166180401431,3.12623242995994,0.860045341235108,-5.69385655512722,4.5905329470986,8.47299154822265,4.57003558528383,0.0646782036841865,0.955951940471247,15.9900311559741,0.0559355799337372,324,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
23,0.875042721614686,3.0337754455917,0.77320700487599,-4.11507382342313,5.8651592666525,8.27424014641374,4.53449171356542,0.0690004486373241,0.815665004974257,15.7328152878532,0.11111030833612,323,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
24,1.63384742212275,2.89613088921466,0.573061102766209,-3.12986397512818,6.39755881937368,8.75915331693433,4.57601877929387,0.056522424871829,1.23227223081476,16.2860344030539,0.133146128861076,322,"FCI_COMP","Real_MN","Comprehensive","Real MN Credit"
1,-0.0987186184603919,1.14320968408444,0.931238378663783,-1.97913121369272,1.78169397677194,-0.591028502446836,1.12480753703963,0.599621097150132,-2.44117225936882,1.25911525447514,0.808211008599417,345,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
2,-0.517811538779067,1.37640303721335,0.707003799689476,-2.78179306668646,1.74616998912833,-1.37788162941561,1.41274803365221,0.330111575693109,-3.70164535653701,0.945882097705791,0.715845023253109,344,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
3,-2.44113267362821,1.62838408086577,0.134797292953376,-5.1195861351103,0.237320787853883,-0.841865534010134,1.8183052218289,0.643672474426621,-3.83271147304019,2.14898040501992,0.570588532119501,343,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
4,-5.24318890580955,1.73207287805975,0.00266330583688524,-8.09219526143041,-2.39418255018869,0.95658076187458,1.94459881972005,0.623105243565067,-2.2419996597075,4.15516118345666,0.0238611453120005,342,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
5,-6.54316729384393,1.90959841396799,0.000689053250748105,-9.68417717107996,-3.40215741660791,1.34629289502109,2.2901931734827,0.557035417395835,-2.42073965280144,5.11332544284361,0.00921702056741536,341,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
6,-7.4198951173469,2.2411773641444,0.00103421710635866,-11.1063038334014,-3.73348640129245,1.25151561628047,2.70575788009229,0.644002304442399,-3.19906004644186,5.7020912790028,0.0176755887470065,340,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
7,-8.24729201342581,2.26050329939131,0.000306966925415786,-11.9654890641654,-4.52909496268626,1.20803164100574,2.96010306886003,0.683463977857926,-3.66090462795886,6.07696790997034,0.0091985826742047,339,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
8,-9.59325260055074,2.25594212593395,2.76538224000665e-05,-13.3039471885858,-5.88255801251568,2.11495298144181,3.28536843988389,0.520190758406306,-3.2889972127731,7.51890317565671,0.00217080758436483,338,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
9,-9.80111995970675,2.37087392660851,4.54257617489898e-05,-13.7008605369334,-5.90137938248007,2.2919015634722,3.62030976558853,0.527134560636127,-3.66297808514392,8.24678121208833,0.00403926444281322,337,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
10,-11.0206604263377,2.68376767618654,5.09283107114385e-05,-15.4350654224082,-6.6062554302671,3.74375692646044,3.78549129628986,0.323413265611736,-2.48282216203516,9.97033601495604,0.00106417726173813,336,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
11,-11.6967655594487,2.97427935155649,0.000102857194884718,-16.5890197384233,-6.80451138047417,4.80275797116813,4.02893977320864,0.234110842098419,-1.82425822756313,11.4297741698994,0.000828038450101043,335,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
12,-10.9508375034407,3.27161201934896,0.000912892754979333,-16.3321603994449,-5.56951460743656,4.74078254376707,4.26952072661654,0.267664594366996,-2.28195410875262,11.7635191962868,0.00331832418507538,334,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
13,-10.7370760509415,3.41479104769058,0.00182053678163485,-16.3539074910168,-5.12024461086622,5.72017255719551,4.69119571851569,0.223609572559522,-1.99615773514425,13.4365028495353,0.00474527483452569,333,"FCI_ENDO","Total","Endogenous (Domestic)","Real Total Credit"
