"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","fci_type","spec"
4,-5.16502016922738,1.67930804024074,0.00227517888182213,-7.92723608998612,-2.40280424846863,342,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
5,-6.12551623559215,1.93548768342965,0.00169616372487391,-9.30911017160131,-2.94192229958298,341,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
6,-6.72288330972478,2.29534633450136,0.0036388146554099,-10.4983920531391,-2.94737456631045,340,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
7,-6.95108981107253,2.33358251942791,0.00311034721656165,-10.7894914819441,-3.11268814020098,339,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
8,-7.49877913200954,2.3718217308648,0.00171590417355765,-11.4000787085048,-3.59747955551425,338,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
9,-7.79364876816637,2.52435417591644,0.0021926065985654,-11.9458418901326,-3.64145564620011,337,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
10,-8.28129774328328,2.62493361148357,0.00175583558028625,-12.5989293146389,-3.9636661719277,336,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
11,-8.77470650505446,2.81064851668307,0.00195844344391015,-13.3978119118064,-4.15160109830254,335,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
12,-8.66690707250868,2.94301556427473,0.00346494543404266,-13.5077368975806,-3.82607724743676,334,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
13,-8.84541526711892,3.1188763666965,0.00485603205726165,-13.9755103708929,-3.71532016334495,333,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
14,-8.46243025795418,3.14498862116103,0.00750201492042587,-13.635476198192,-3.28938431771635,332,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
15,-7.3864044278344,2.95240987677149,0.0128544973302648,-12.2426865218893,-2.53012233377947,331,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
16,-6.17738148551021,2.60868707785693,0.0184803123919717,-10.4682898871046,-1.88647308391581,330,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
17,-5.04577836173048,2.59342932574254,0.0525835796157918,-9.3115899944204,-0.779966729040551,329,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
18,-4.04704512057351,2.74313742237432,0.141115172360689,-8.55910465899222,0.465014417845198,328,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
19,-3.89701269020519,2.84363035761614,0.171523646845061,-8.57436839763941,0.780343017229029,327,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
20,-3.80253520347267,2.92037346175425,0.193843220659859,-8.60612208409197,1.00105167714662,326,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
21,-2.81861646323461,2.99636644235244,0.347592909413961,-7.74720067361369,2.10996774714447,325,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
22,-2.4622195205422,3.00894874776183,0.413809052047451,-7.41149978160935,2.48706074052494,324,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
23,-2.54862109794566,2.91168194767909,0.382079193959937,-7.33791171011473,2.24066951422341,323,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
24,-2.40006663623444,2.71861065882259,0.378010882919606,-6.87178323866771,2.07164996619883,322,"Cred_Real_MN","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
1,2.52259182885962,2.01487405423517,0.21145140633085,-0.791581067099507,5.83676472481875,345,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
2,3.35423738479882,2.66016296936016,0.208222445590755,-1.02134132363525,7.72981609323288,344,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
3,2.22707370306053,2.97781708720309,0.455057126807019,-2.67099953322355,7.1251469393446,343,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
4,-0.725631832953901,3.0134211780918,0.809859208105539,-5.68226858727058,4.23100492136277,342,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
5,-1.65048748832652,3.45357438075672,0.633032786268957,-7.33111183446089,4.03013685780785,341,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
6,-2.05179217888001,3.80904878308211,0.59048394494419,-8.3171198849677,4.21353552720769,340,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
7,-2.60274670593552,4.18893856520409,0.53480882860479,-9.49293749798836,4.28744408611731,339,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
8,-3.80120055202234,4.67477178264055,0.416734747466055,-11.490515873869,3.88811476982437,338,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
9,-3.83095220057639,4.85996049038044,0.431112669397509,-11.8248758400195,4.16297143886672,337,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
10,-5.43714839816807,4.92288834790219,0.270209330922023,-13.5345791522921,2.66028235595598,336,"Cred_USD","FCI_ENDO_exCredit_exTCN","ENDO_exCredit_exTCN"
