"horizon","variable","coef","se","p_value","ci_lower","ci_upper","n_obs"
20,"d_ToT",-0.180390176642642,0.063718297977238,0.00496277062529303,-0.285197450173676,-0.075582903111607,304
20,"FCI_x_ToT",-0.130873346713114,0.0758235238423141,0.0854042375144331,-0.255591944913386,-0.00615474851284253,304
21,"FCI_exCredit_AVG",-4.14368910381227,2.16259922043589,0.0563393103154372,-7.70084827518866,-0.58652993243588,303
21,"d_ToT",-0.184620658406614,0.062135460155993,0.00321415151102675,-0.286824395406498,-0.0824169214067305,303
21,"FCI_x_ToT",-0.12663588211763,0.0706886579319115,0.0742621609518938,-0.242908377501266,-0.0103633867339931,303
22,"FCI_exCredit_AVG",-3.53217804587557,2.07791448088145,0.0902318833266948,-6.95004321624841,-0.114312875502728,302
22,"d_ToT",-0.181909282959749,0.0575134949470366,0.00172838790295733,-0.276510563722037,-0.0873080021974607,302
22,"FCI_x_ToT",-0.106887521782274,0.0635285176422807,0.0935495462803389,-0.21138263444103,-0.00239240912351799,302
23,"FCI_exCredit_AVG",-2.83487731995158,2.12257843736454,0.182740511008259,-6.32620816113963,0.656453521236473,301
23,"d_ToT",-0.184142812666041,0.0551625490234381,0.000954198404119336,-0.274877131499132,-0.093408493832951,301
23,"FCI_x_ToT",-0.0926692777061077,0.0582625442480646,0.11280875905721,-0.188502634927957,0.00316407951574187,301
24,"FCI_exCredit_AVG",-2.2429114410559,2.04254961020125,0.273083834337082,-5.60260657562374,1.11678369351194,300
24,"d_ToT",-0.184721577877566,0.0524649003284096,0.000500137514982622,-0.271018659470398,-0.0984244962847343,300
24,"FCI_x_ToT",-0.0778334298971863,0.0528235157097672,0.141722486790904,-0.164720381300725,0.00905352150635233,300
