"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","fci_label","npl_type"
1,0.0146032073209387,0.00251441542019205,1.47480249513099e-08,0.0104673619973731,0.0187390526445043,345,"FCI_ENDO","Endogenous (Domestic)","Level"
2,0.0151554104767196,0.00328969673511251,5.82702676814558e-06,0.00974434087039943,0.0205664800830399,344,"FCI_ENDO","Endogenous (Domestic)","Level"
3,0.0198959678789536,0.00433362929100155,6.26588275413578e-06,0.0127677820217865,0.0270241537361206,343,"FCI_ENDO","Endogenous (Domestic)","Level"
4,0.020394038098726,0.00519879165332254,0.000106430596367965,0.0118427867919934,0.0289452894054587,342,"FCI_ENDO","Endogenous (Domestic)","Level"
5,0.0196210249258028,0.00594801779074994,0.00107714825622172,0.00983740628951589,0.0294046435620897,341,"FCI_ENDO","Endogenous (Domestic)","Level"
6,0.0244273082337181,0.00648245270602681,0.000194802490287269,0.0137646223886685,0.0350899940787677,340,"FCI_ENDO","Endogenous (Domestic)","Level"
7,0.0231170842593805,0.00687265781992544,0.000860322056653395,0.0118125681174797,0.0344216004012812,339,"FCI_ENDO","Endogenous (Domestic)","Level"
8,0.0210019499219816,0.00701447432998177,0.00296253616115864,0.00946416637915309,0.0325397334648101,338,"FCI_ENDO","Endogenous (Domestic)","Level"
9,0.0223132467605069,0.00654675114722324,0.000735690596990346,0.011544799391248,0.0330816941297657,337,"FCI_ENDO","Endogenous (Domestic)","Level"
10,0.0201196990785091,0.00653979073440822,0.00227239191130927,0.00936270056951411,0.0308766975875041,336,"FCI_ENDO","Endogenous (Domestic)","Level"
11,0.0190496474174406,0.00702785729406889,0.00707411509628749,0.00748985085759407,0.0306094439772872,335,"FCI_ENDO","Endogenous (Domestic)","Level"
12,0.0273477741947348,0.00822329439696717,0.00098369048926386,0.0138216585803936,0.0408738898090759,334,"FCI_ENDO","Endogenous (Domestic)","Level"
13,0.0288467518509446,0.00922486493282114,0.00192670285256215,0.0136731993080563,0.0440203043938329,333,"FCI_ENDO","Endogenous (Domestic)","Level"
14,0.0290884228070442,0.0103511798628306,0.00525570761215496,0.0120622470664402,0.0461145985476482,332,"FCI_ENDO","Endogenous (Domestic)","Level"
15,0.0314695143065816,0.0104586772661884,0.00282978637080265,0.0142665210721768,0.0486725075409864,331,"FCI_ENDO","Endogenous (Domestic)","Level"
16,0.0305409978548887,0.0111373696078999,0.00644729908581676,0.0122216550606355,0.0488603406491419,330,"FCI_ENDO","Endogenous (Domestic)","Level"
17,0.0313276207879084,0.0125333279342721,0.0129389368474615,0.0107121308774488,0.0519431106983681,329,"FCI_ENDO","Endogenous (Domestic)","Level"
18,0.0358247078616757,0.0137695346870177,0.00971054482388132,0.0131758387903005,0.0584735769330509,328,"FCI_ENDO","Endogenous (Domestic)","Level"
19,0.0362805556059741,0.014527505956653,0.0130202414724681,0.0123849347426143,0.060176176469334,327,"FCI_ENDO","Endogenous (Domestic)","Level"
20,0.0348271502166435,0.0149591499425705,0.0205369376424884,0.0102215381774955,0.0594327622557916,326,"FCI_ENDO","Endogenous (Domestic)","Level"
21,0.0359369637343013,0.0145758589387343,0.0142161848222019,0.0119618092929912,0.0599121181756113,325,"FCI_ENDO","Endogenous (Domestic)","Level"
22,0.0339608376256483,0.0149062077252025,0.0233822289431979,0.00944230778475689,0.0584793674665397,324,"FCI_ENDO","Endogenous (Domestic)","Level"
23,0.0328656521499979,0.0148313472640844,0.0274157015562757,0.00847025681009182,0.0572610474899039,323,"FCI_ENDO","Endogenous (Domestic)","Level"
24,0.0392794375225624,0.0155526596443753,0.012047383740188,0.01369758889777,0.0648612861473549,322,"FCI_ENDO","Endogenous (Domestic)","Level"
1,0.0101712236411365,0.00271155552186602,0.000207530401260376,0.0057111117063149,0.0146313355759581,345,"FCI_ENDO","Endogenous (Domestic)","YoY Change"
