variant,param,h,b,se_bank,p_bank,p_wcb,n
gradient_tightening,shkpos_usd_fxsh,7,0.00357686167284202,0.514628371684617,0.994526904464669,,28384
gradient_tightening,shkpos_usd_fxsh,8,-0.167968887524186,0.59339461619707,0.780188487621215,,27992
gradient_tightening,shkpos_usd_fxsh,9,0.522468077656332,0.743417373646845,0.49117532319775,,27586
gradient_tightening,shkpos_usd_fxsh,10,0.976062768120882,0.74559987502677,0.206967851426207,,27216
gradient_tightening,shkpos_usd_fxsh,11,1.07164647810668,0.791987859917444,0.192772089400601,,26852
gradient_tightening,shkpos_usd_fxsh,12,1.25876656288814,0.892762303030637,0.176582659775405,0.174174174174174,26482
gradient_tightening,shkpos_usd_fxsh,13,1.31280594369478,1.01906458569571,0.21491905318038,,26128
gradient_tightening,shkpos_usd_fxsh,14,1.36048659185187,0.960456745729471,0.17469299962942,,25782
gradient_tightening,shkpos_usd_fxsh,15,1.38086596111287,1.15874204289773,0.249752844545008,,25438
gradient_tightening,shkpos_usd_fxsh,16,0.96092362916159,1.35257396315285,0.487063631645346,,25102
gradient_tightening,shkpos_usd_fxsh,17,0.857830999757952,1.17837575483576,0.476535581257605,,24770
gradient_tightening,shkpos_usd_fxsh,18,1.0377604285255,1.05886103304224,0.340793160338434,0.331331331331331,24434
gradient_tight_exCOVID,shkpos_usd_fxsh,1,-0.325667647639739,0.183404144081416,0.0918049186795653,,25798
gradient_tight_exCOVID,shkpos_usd_fxsh,2,-0.294628422727684,0.204268103791204,0.165483114358629,,25454
gradient_tight_exCOVID,shkpos_usd_fxsh,3,-0.0911817610636797,0.284069776228092,0.751726611285582,,25118
gradient_tight_exCOVID,shkpos_usd_fxsh,4,0.579276088432469,0.432671025930846,0.19642331930148,,24792
gradient_tight_exCOVID,shkpos_usd_fxsh,5,0.366543034209699,0.481924357385178,0.456242494068115,,24380
gradient_tight_exCOVID,shkpos_usd_fxsh,6,0.2724429755811,0.647315078155642,0.678564029771363,0.66966966966967,23976
gradient_tight_exCOVID,shkpos_usd_fxsh,7,-0.194041068491849,0.572730896014614,0.738476188558683,,23594
gradient_tight_exCOVID,shkpos_usd_fxsh,8,-0.175524306187427,0.593582950631998,0.770664301605099,,23210
gradient_tight_exCOVID,shkpos_usd_fxsh,9,0.351260962854679,0.647578606835601,0.594180500304078,,22814
gradient_tight_exCOVID,shkpos_usd_fxsh,10,0.743820115161057,0.676740844121755,0.286199409903526,,22452
gradient_tight_exCOVID,shkpos_usd_fxsh,11,0.734577592477318,0.692306389392322,0.302693492030289,,22096
gradient_tight_exCOVID,shkpos_usd_fxsh,12,0.860509110225042,0.873095275338517,0.338157676387055,0.35035035035035,21732
gradient_tight_exCOVID,shkpos_usd_fxsh,13,0.835984354800599,0.947676356044573,0.390003580717739,,21396
gradient_tight_exCOVID,shkpos_usd_fxsh,14,0.575459264396948,0.996740945339224,0.571276973996441,,21068
gradient_tight_exCOVID,shkpos_usd_fxsh,15,0.57035982182105,1.17982545410508,0.634960075176404,,20738
gradient_tight_exCOVID,shkpos_usd_fxsh,16,0.387008978928494,1.27746471395642,0.765603144542419,,20414
gradient_tight_exCOVID,shkpos_usd_fxsh,17,0.397135576821267,1.13965613264161,0.731765681009491,,20092
gradient_tight_exCOVID,shkpos_usd_fxsh,18,0.474473403051433,0.971415184502882,0.63148232156118,0.630630630630631,19774
sharp_baseline,shk_usd_unh,1,0.223459390560385,0.443275011459478,0.619979618589977,,20468
sharp_baseline,shk_usd_unh,2,0.320739149378821,0.626543424328748,0.614606868055582,,20232
sharp_baseline,shk_usd_unh,3,-0.00574983489937424,0.735257577984091,0.993842002678003,,19994
sharp_baseline,shk_usd_unh,4,-0.432834219824088,0.842549399395173,0.613370643918128,,19762
sharp_baseline,shk_usd_unh,5,-0.438031067675186,0.838031524293278,0.607231545588611,,19478
sharp_baseline,shk_usd_unh,6,-0.909938555495947,0.979486419151745,0.364544366833363,0.382382382382382,19190
sharp_baseline,shk_usd_unh,7,-0.620513269249666,1.11440750049815,0.584157078906262,,18924
sharp_baseline,shk_usd_unh,8,-0.678108818725787,1.17552456341117,0.570808622604806,,18652
sharp_baseline,shk_usd_unh,9,-1.20892246183261,1.19268586958388,0.324199248929962,,18372
sharp_baseline,shk_usd_unh,10,-1.28870950931421,1.37711517927702,0.361760492285414,,18116
sharp_baseline,shk_usd_unh,11,-1.12554490350734,1.45826310033854,0.450224779070145,,17866
sharp_baseline,shk_usd_unh,12,-1.58432289443857,1.44035274941937,0.286684631959822,0.263263263263263,17616
sharp_baseline,shk_usd_unh,13,-1.61695694217396,1.37225022810212,0.254898389046991,,17370
sharp_baseline,shk_usd_unh,14,-1.85184982274878,1.35674820952596,0.190072609128012,,17130
sharp_baseline,shk_usd_unh,15,-1.92748825300169,1.28269832657423,0.151269293641856,,16896
sharp_baseline,shk_usd_unh,16,-1.51894368817953,1.37459985968044,0.284550636228298,,16668
sharp_baseline,shk_usd_unh,17,-1.47279355638574,1.59818357172445,0.369661361088989,,16442
sharp_baseline,shk_usd_unh,18,-1.16617959003948,1.73000052588011,0.509315865182449,0.515515515515516,16214
sharp_exCOVID,shk_usd_unh,1,0.270421250871927,0.42965684369525,0.536589703830652,,17292
sharp_exCOVID,shk_usd_unh,2,0.331495596457791,0.684702394806182,0.633816174949732,,17060
sharp_exCOVID,shk_usd_unh,3,0.100499048936671,0.843757571922866,0.906439411577601,,16828
sharp_exCOVID,shk_usd_unh,4,-0.367313951697588,0.992634253921087,0.715445671087624,,16602
sharp_exCOVID,shk_usd_unh,5,-0.433951969488229,1.05215651889669,0.684633088725559,,16320
sharp_exCOVID,shk_usd_unh,6,-0.928753121246723,1.17398952353118,0.438645228684528,0.450450450450451,16034
sharp_exCOVID,shk_usd_unh,7,-0.564519370626459,1.30662155377425,0.670572076753365,,15770
sharp_exCOVID,shk_usd_unh,8,-0.742940995752367,1.28996935284584,0.571417401239011,,15502
sharp_exCOVID,shk_usd_unh,9,-1.17095629851729,1.25335112015744,0.362534403533108,,15228
sharp_exCOVID,shk_usd_unh,10,-1.30347209444233,1.39257294021308,0.361653577928208,,14978
sharp_exCOVID,shk_usd_unh,11,-1.4193754319413,1.3637462588142,0.311751155150123,,14734
sharp_exCOVID,shk_usd_unh,12,-1.75588922998768,1.40773507626842,0.229192443391048,0.228228228228228,14488
sharp_exCOVID,shk_usd_unh,13,-2.22016024495071,1.22180805706673,0.0868714569275466,,14254
sharp_exCOVID,shk_usd_unh,14,-2.20034246174969,1.27363453957505,0.102179603351461,,14026
sharp_exCOVID,shk_usd_unh,15,-1.87279115129876,1.21459080964271,0.14150361409236,,13800
sharp_exCOVID,shk_usd_unh,16,-1.89533889339028,1.38314111296561,0.188414045354491,,13578
sharp_exCOVID,shk_usd_unh,17,-2.20849035365518,1.43923051803328,0.143308603118436,,13354
sharp_exCOVID,shk_usd_unh,18,-1.77886320892289,1.54062638798855,0.264212619465741,0.278278278278278,13136
sharp_tightening,shkpos_usd_unh,1,0.0467246899952642,0.6904730328832,0.946754951360478,,20468
sharp_tightening,shkpos_usd_unh,2,0.54122953173785,0.876361528706801,0.544179286359446,,20232
sharp_tightening,shkpos_usd_unh,3,0.0042080410686979,0.892007134578988,0.99628517605743,,19994
sharp_tightening,shkpos_usd_unh,4,-0.845465440234632,0.907163869569017,0.363035472524379,,19762
sharp_tightening,shkpos_usd_unh,5,-0.724731583164108,1.1622903042596,0.540345452171156,,19478
sharp_tightening,shkpos_usd_unh,6,-1.76362918744182,1.27203201709913,0.181659773948016,0.164164164164164,19190
sharp_tightening,shkpos_usd_unh,7,-1.23295438820008,1.50609386356455,0.423139050995798,,18924
sharp_tightening,shkpos_usd_unh,8,-0.229946599625381,1.71527812074569,0.89476661025874,,18652
sharp_tightening,shkpos_usd_unh,9,-1.8507623728439,1.88609738471693,0.339467874804826,,18372
sharp_tightening,shkpos_usd_unh,10,-2.11292211910735,1.96105733417313,0.295512195244295,,18116
sharp_tightening,shkpos_usd_unh,11,-2.145695561515,2.08001319948848,0.315932360105465,,17866
sharp_tightening,shkpos_usd_unh,12,-3.08400702251207,2.11972893252741,0.163911654087932,0.193193193193193,17616
sharp_tightening,shkpos_usd_unh,13,-2.44427976614996,2.38274719833027,0.319350639908489,,17370
sharp_tightening,shkpos_usd_unh,14,-2.50513665618252,2.22277284410576,0.275386289076275,,17130
sharp_tightening,shkpos_usd_unh,15,-3.0804818036459,2.1545308387837,0.170904456127737,,16896
sharp_tightening,shkpos_usd_unh,16,-2.23828627802621,2.27286397377456,0.33853819591253,,16668
sharp_tightening,shkpos_usd_unh,17,-2.34621440975722,2.48618221123057,0.358541887382438,,16442
sharp_tightening,shkpos_usd_unh,18,-1.52767414401172,2.631115770398,0.569115357389955,0.564564564564565,16214
