fecha,FCI_EXP,FCI_EXP_exCredit,FCI_EXP_ENDO_exCredit,FCI_EXP_PCA
2010-09-01,-0.759150105062136,-0.665770942486613,-0.506803352609679,-3.30338571139166
2010-10-01,-0.774681213127683,-0.684386853467867,-0.484574437961875,-3.43456687879311
2010-11-01,-0.782279601691392,-0.707468087885928,-0.491427371740953,-3.40369040953855
2010-12-01,-0.819608956822897,-0.753471730025491,-0.48293812661144,-3.44877972627641
2011-01-01,-0.897375143760692,-0.844562015977183,-0.565598749300896,-3.6938520122147
2011-02-01,-0.817713785711733,-0.768845508348052,-0.46008769551324,-3.615414409467
2011-03-01,-0.757506864566081,-0.736763995913997,-0.431833520739434,-3.5295682326883
2011-04-01,-0.813087593045268,-0.806284457144588,-0.442500695454809,-3.59272078369155
2011-05-01,-0.762239672367477,-0.756186356261881,-0.482082185947931,-3.01034584775158
2011-06-01,-0.743718631907131,-0.745396665039182,-0.504884776537543,-2.92282989636901
2011-07-01,-0.725517436270794,-0.755207873318708,-0.491899683168453,-3.04476088630477
2011-08-01,-0.596871011510795,-0.617786556670386,-0.532098324210473,-2.82119253208755
2011-09-01,-0.605897900273058,-0.623105661770916,-0.538654054291655,-2.96651751202809
2011-10-01,-0.609301212983013,-0.642214813654102,-0.514126369372407,-3.00548318605758
2011-11-01,-0.644361995092178,-0.647690958982552,-0.520452989763593,-3.09893122614057
2011-12-01,-0.663176484326653,-0.667681672457231,-0.465070984602467,-3.1953884032156
2012-01-01,-0.693022814928275,-0.695990228529135,-0.41542855386109,-3.37122577594836
2012-02-01,-0.647954211620618,-0.682155854184313,-0.352908823355693,-3.42449981121241
2012-03-01,-0.699698162551715,-0.712507666650689,-0.365283134317701,-3.39240393351019
2012-04-01,-0.660363726934822,-0.67698517710932,-0.381886782142015,-3.20294936246604
2012-05-01,-0.62169918986736,-0.63389617166081,-0.400729669465857,-3.00735058699156
2012-06-01,-0.617981612599943,-0.628781457759115,-0.394245979428315,-3.08157391683116
2012-07-01,-0.661562413854074,-0.671851050892811,-0.375916520052328,-3.22071226512804
2012-08-01,-0.674790325409704,-0.691519553964303,-0.364620494393773,-3.33783148225036
2012-09-01,-0.66041082807447,-0.69858524640085,-0.346254221910665,-3.42921698709525
