horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,variant
7,-4.76921873704465,2.10245106519227,0.0239539120746565,-8.22744299711414,-1.31099447697515,339,zs_exCredit_exRatioCD
8,-5.99520559836032,2.1394010346575,0.00537677386393759,-9.51420714972043,-2.4762040470002,338,zs_exCredit_exRatioCD
9,-6.3471901946493,2.26999759131001,0.00547880651636974,-10.0810039658867,-2.61337642341193,337,zs_exCredit_exRatioCD
10,-6.8184060026644,2.52740418733205,0.00734446775732943,-10.9756159469699,-2.66119605835893,336,zs_exCredit_exRatioCD
11,-8.19759183838853,2.88956322332235,0.00484125963479168,-12.9505003865759,-3.44468329020117,335,zs_exCredit_exRatioCD
12,-9.16213774918637,3.20380217296284,0.00451534472687805,-14.4319233734193,-3.89235212495344,334,zs_exCredit_exRatioCD
13,-8.88994858135059,3.49391029623054,0.0114127925878202,-14.6369196043485,-3.1429775583527,333,zs_exCredit_exRatioCD
14,-9.48906518576198,3.53023886142174,0.00756440765117948,-15.2957913809766,-3.6823389905474,332,zs_exCredit_exRatioCD
15,-9.34611266302804,3.39150292096094,0.00619145830799261,-14.9246385433872,-3.76758678266892,331,zs_exCredit_exRatioCD
16,-8.23545262942634,3.21981312840664,0.0109973691533671,-13.531573931792,-2.93933132706071,330,zs_exCredit_exRatioCD
17,-6.76461722033372,3.11100004927141,0.0304106284641372,-11.881756934824,-1.64747750584344,329,zs_exCredit_exRatioCD
18,-6.08060422975506,3.03312722310859,0.0458418608078249,-11.0696545436905,-1.09155391581965,328,zs_exCredit_exRatioCD
1,-0.816073533166943,1.13852953207654,0.474011671032241,-2.68878796339441,1.05664089706052,345,zs_exCredit_exTCN
2,-0.907554126882386,1.18921882986026,0.445913348809793,-2.86364503241702,1.04853677865224,344,zs_exCredit_exTCN
3,-1.65530179101347,1.34008418921683,0.217621204080802,-3.85954413006709,0.548940548040156,343,zs_exCredit_exTCN
4,-4.06509262200172,1.60163523683248,0.0116039673116402,-6.6995481503589,-1.43063709364454,342,zs_exCredit_exTCN
5,-5.40461268993664,2.00809309852699,0.00747748635854853,-8.70763190630498,-2.1015934735683,341,zs_exCredit_exTCN
6,-5.40862615275813,2.19822510743838,0.0143896317123782,-9.02438469358395,-1.79286761193232,340,zs_exCredit_exTCN
7,-6.13360841207055,2.21702532826458,0.00598571393850968,-9.78029056430983,-2.48692625983128,339,zs_exCredit_exTCN
8,-7.31596793025402,2.34526987176873,0.00197307676587671,-11.1735935850128,-3.45834227549521,338,zs_exCredit_exTCN
9,-7.10273269496467,2.37986423461768,0.00305494772687011,-11.0172610129276,-3.18820437700169,337,zs_exCredit_exTCN
10,-7.04948000547441,2.56153152290824,0.00625467640947131,-11.2628244214806,-2.83613558946826,336,zs_exCredit_exTCN
11,-7.81282651991004,2.72964850510657,0.00448073736123763,-12.3026987638372,-3.32295427598284,335,zs_exCredit_exTCN
12,-7.21733860718106,3.06964718687342,0.019313806443464,-12.2664589159712,-2.16821829839093,334,zs_exCredit_exTCN
13,-6.56027290733337,3.25181393070831,0.0444810889312049,-11.9090308454303,-1.21151496923649,333,zs_exCredit_exTCN
14,-6.87107755316049,3.07917497664661,0.026340335005425,-11.9358696815159,-1.8062854248051,332,zs_exCredit_exTCN
15,-6.5549582886318,2.98821694566715,0.028983018908351,-11.4701377698303,-1.63977880743333,331,zs_exCredit_exTCN
16,-5.21427805650957,2.76087579977111,0.0598482255062129,-9.75551462932562,-0.673041483693513,330,zs_exCredit_exTCN
17,-3.38955837261397,2.57760512139414,0.189456377686633,-7.62934150538781,0.850224760159866,329,zs_exCredit_exTCN
18,-2.98932384658042,2.52720087372417,0.237751172284302,-7.14619936976054,1.1675516765997,328,zs_exCredit_exTCN
1,1.35825968719314,1.42187153680582,0.340136145429686,-0.980510867180981,3.69703024156727,345,zs_exCredit_QtyLag1
2,-0.322818381559257,1.5018185984897,0.829936597509374,-2.79309015030822,2.14745338718971,344,zs_exCredit_QtyLag1
3,-2.50401594766546,1.75828582770169,0.155349957751305,-5.39613876857796,0.388106873247037,343,zs_exCredit_QtyLag1
4,-4.39986202132745,2.33179417597352,0.0600487426642414,-8.23532212898181,-0.564401913673085,342,zs_exCredit_QtyLag1
5,-6.24298170969648,2.66842947193026,0.019901787509999,-10.6321576048652,-1.85380581452779,341,zs_exCredit_QtyLag1
6,-6.77501055516004,2.65743078376741,0.0112422888270618,-11.1460952182123,-2.40392589210773,340,zs_exCredit_QtyLag1
