sample,index,horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,sd_x,coef_per_sd
full,FCI_OS_ROLL,5,-5.24354569457865,1.40263820452505,0.000218285224170222,-7.55068023259238,-2.93641115656492,341,0.476743796183735,-2.4998278798963
full,FCI_OS_ROLL,6,-5.72335842622653,1.69526796869642,0.000823302180431158,-8.51182609319148,-2.93489075926157,340,0.476743796183735,-2.7285756230394
full,FCI_OS_ROLL,7,-5.62406251643727,1.59058306011508,0.000464954865201657,-8.24033883183513,-3.00778620103941,339,0.476743796183735,-2.68123691406095
full,FCI_OS_ROLL,8,-6.22675678301876,1.72267740150511,0.000348211299402567,-9.06030895495178,-3.39320461108574,338,0.476743796183735,-2.96856766664918
full,FCI_OS_ROLL,9,-5.45949072819182,1.74809161887471,0.00194992864006643,-8.33484556774135,-2.58413588864229,337,0.476743796183735,-2.60277833498807
full,FCI_OS_ROLL,10,-6.24739625991582,1.86690620240689,0.000914644368577892,-9.318183698123,-3.17660882170865,336,0.476743796183735,-2.97840740921633
full,FCI_OS_ROLL,11,-6.70002221682162,2.07018364782047,0.00133540961757581,-10.1051712983947,-3.29487313524849,335,0.476743796183735,-3.1941940261629
full,FCI_OS_ROLL,12,-4.80927301452934,2.22571789655254,0.0314476265643144,-8.4702531692446,-1.14829285981409,334,0.476743796183735,-2.29279107383071
full,FCI_OS_ROLL,13,-4.35915310576382,2.30452283989583,0.0594462627529369,-8.14975585735898,-0.568550354168666,333,0.476743796183735,-2.07819919978796
full,FCI_OS_ROLL,14,-5.08866467460835,2.38170210078133,0.0333891163828957,-9.00621601339645,-1.17111333582025,332,0.476743796183735,-2.42598931447885
full,FCI_OS_ROLL,15,-4.50295721756748,2.53343583715638,0.0764503284086675,-8.67008834296298,-0.335826092171973,331,0.476743796183735,-2.14675691795607
full,FCI_OS_ROLL,16,-3.07691259306343,2.52399303143327,0.223720037262756,-7.22851168521668,1.07468649908981,330,0.476743796183735,-1.4668989901426
full,FCI_OS_ROLL,17,-1.94348024430876,2.62387817029314,0.459427995042153,-6.25937576939422,2.37241528077671,329,0.476743796183735,-0.926542149479848
full,FCI_OS_ROLL,18,-1.86708303916855,2.72485400602552,0.493715427531505,-6.34906903389287,2.61490295555576,328,0.476743796183735,-0.890120255883481
postIT,FCI_OS_EXP,1,-5.80659515369147,2.23070977126181,0.0100982088023708,-9.47578621162754,-2.1374040957554,173,0.127763704053607,-0.741872104775344
postIT,FCI_OS_EXP,2,-6.94210060477516,2.78710979843094,0.0137601230596721,-11.5264882654363,-2.35771294411405,172,0.127763704053607,-0.886948487178858
postIT,FCI_OS_EXP,3,-7.47807146583365,3.48203094448628,0.0332495974222129,-13.2055026940292,-1.75064023763814,171,0.127763704053607,-0.955426109652492
postIT,FCI_OS_EXP,4,-13.0484720115704,3.66800779662923,0.000493906176307516,-19.0818079395422,-7.01513608359851,170,0.127763704053607,-1.66712111643805
