fecha,BroadDollar,BRL,EUR,GBP,TED
2002-02-01,129.64021,2.42418947368421,0.870694736842105,1.42273684210526,0.177894736842105
2002-03-01,128.914961904762,2.34502380952381,0.876638095238095,1.42302380952381,0.2005
2002-04-01,128.541554545455,2.32268181818182,0.885995454545455,1.44290909090909,0.255238095238095
2002-05-01,126.957647826087,2.47525,0.916959090909091,1.45981363636364,0.178571428571429
2002-06-01,125.53642,2.714375,0.956135,1.483685,0.181111111111111
2002-07-01,123.805282608696,2.94140909090909,0.993527272727273,1.55651818181818,0.164545454545455
2002-08-01,125.196190909091,3.10815909090909,0.978059090909091,1.53684545454545,0.16
2002-09-01,126.064195238095,3.354775,0.98063,1.55633,0.176
2002-10-01,127.041252173913,3.79661363636364,0.98115,1.55745909090909,0.204545454545455
2002-11-01,125.731961904762,3.59243684210526,1.00128947368421,1.57111578947368,0.226842105263158
2002-12-01,125.060681818182,3.62680952380952,1.01940476190476,1.58629523809524,0.2145
2003-01-01,123.55957826087,3.43745714285714,1.06224761904762,1.6175380952381,0.197142857142857
2003-02-01,123.3993,3.59552631578947,1.07845789473684,1.60794736842105,0.178421052631579
2003-03-01,122.893185,3.45673809523809,1.07974285714286,1.58247142857143,0.155238095238095
2003-04-01,121.947940909091,3.109,1.08623636363636,1.57387272727273,0.17
2003-05-01,117.944859090909,2.95169047619048,1.15555714285714,1.62235238095238,0.2185
2003-06-01,117.341566666667,2.88866666666667,1.16742857142857,1.66087619047619,0.205714285714286
2003-07-01,118.492695652174,2.88327272727273,1.13650454545455,1.6221,0.209090909090909
2003-08-01,119.855633333333,3.00530952380952,1.11551904761905,1.5938619047619,0.1885
2003-09-01,118.620575,2.92042857142857,1.1267,1.61547619047619,0.206190476190476
2003-10-01,116.157139130435,2.86281818181818,1.17136818181818,1.67916363636364,0.236818181818182
2003-11-01,116.0338,2.91502777777778,1.17101111111111,1.68973888888889,0.239444444444444
2003-12-01,114.480240909091,2.92552272727273,1.22981818181818,1.75160454545455,0.272380952380952
