state,horizon,state_value,state_sd_units,marginal_effect,se,ci_lower,ci_upper
contemporaneous,18,-11.4159670018317,-0.6,-4.97009577303253,2.24938998492831,-8.67001304817017,-1.27017849789489
contemporaneous,18,-9.51330583485974,-0.5,-5.26504694237122,2.22417432740193,-8.92348815177065,-1.6066057329718
contemporaneous,18,-7.61064466788779,-0.4,-5.55999811170992,2.20886022881906,-9.1932498705118,-1.92674635290803
contemporaneous,18,-5.70798350091584,-0.3,-5.85494928104861,2.20365412886187,-9.47963776745364,-2.23026079464357
contemporaneous,18,-3.80532233394389,-0.2,-6.1499004503873,2.20862750735565,-9.78276941644603,-2.51703148432857
contemporaneous,18,-1.90266116697195,-0.1,-6.44485161972599,2.22371206550055,-10.1025324759603,-2.78717076349166
contemporaneous,18,0,0,-6.73980278906469,2.24870433175731,-10.4385922650972,-3.04101331303219
contemporaneous,18,1.90266116697195,0.1,-7.03475395840338,2.28327898656343,-10.7904136807943,-3.27909423601245
contemporaneous,18,3.8053223339439,0.2,-7.32970512774207,2.32700894426876,-11.157294229671,-3.5021160258131
contemporaneous,18,5.70798350091584,0.3,-7.62465629708076,2.37938947218359,-11.5384037003321,-3.71090889382943
contemporaneous,18,7.6106446678878,0.4,-7.91960746641946,2.43986348621723,-11.9328257709903,-3.90638916184858
contemporaneous,18,9.51330583485974,0.5,-8.21455863575815,2.50784555740993,-12.339597496698,-4.08951977481829
contemporaneous,18,11.4159670018317,0.6,-8.50950980509684,2.58274288028678,-12.7577437992196,-4.26127581097405
contemporaneous,18,13.3186281688036,0.7,-8.80446097443553,2.66397225378381,-13.1863053981699,-4.42261655070115
contemporaneous,18,15.2212893357756,0.8,-9.09941214377423,2.75097282603711,-13.6243597743263,-4.57446451322215
contemporaneous,18,17.1239505027475,0.9,-9.39436331311292,2.84321486132615,-14.0710355899676,-4.71769103625828
contemporaneous,18,19.0266116697195,1,-9.68931448245161,2.94020508521834,-14.5255214808542,-4.85310748404907
contemporaneous,18,20.9292728366914,1.1,-9.9842656517903,3.04148928586447,-14.9870703349785,-4.9814609686021
contemporaneous,18,22.8319340036634,1.2,-10.279216821129,3.14665284807835,-15.4550001710478,-5.10343347121015
contemporaneous,18,24.7345951706353,1.3,-10.5741679904677,3.25531982361449,-15.928692609227,-5.21964337170838
contemporaneous,18,26.6372563376073,1.4,-10.8691191598064,3.36715103598309,-16.4075897538366,-5.33064856577619
contemporaneous,18,28.5399175045792,1.5,-11.1640703291451,3.481841607775,-16.8911901261643,-5.43695053212582
contemporaneous,18,30.4425786715512,1.6,-11.4590214984838,3.59911819777443,-17.3790441199201,-5.53899887704746
contemporaneous,18,32.3452398385231,1.7,-11.7539726678225,3.7187361507474,-17.8707493130549,-5.63719602259005
