horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,sample,fci,outcome
13,-4.25959794277178,1.83605350197403,0.021690726055808,-7.27963720477072,-1.23955868077284,161,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
14,-3.83880042527905,1.8649589888137,0.0412952846383084,-6.90638498214501,-0.771215868413092,160,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
15,-3.54857396086023,1.97080844701592,0.0738074247606975,-6.79026538296096,-0.306882538759495,159,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
16,-3.00364664210812,1.98419565496572,0.13222735836344,-6.26735806175985,0.260064777543599,158,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
17,-2.35416923005135,1.89124839966435,0.215210683851977,-5.46499601970543,0.756657559602725,157,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
18,-1.7460477916615,1.87809186132097,0.354075519234104,-4.83523400150333,1.34313841818034,156,post-IT,FCI_ENDO_exCredit_AVG,"Total (measured, published)"
1,-1.20685604041086,0.497336105845397,0.0163362499293221,-2.02490113792458,-0.388810942897134,173,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
2,-1.70478565780272,0.527922064755122,0.0015045734225656,-2.57314018076289,-0.836431134842552,172,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
3,-2.08294464317703,0.68059657318776,0.0025922735915365,-3.20242638507566,-0.963462901278402,171,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
4,-2.61562689092221,0.943050650934263,0.00620786675766063,-4.16680717451038,-1.06444660733404,170,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
5,-2.65058756119522,1.03085682715693,0.0110557242286087,-4.34619615221197,-0.954978970178462,169,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
6,-2.59995396733445,0.996727770508573,0.00997253616693188,-4.23942525573873,-0.960482678930169,168,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
7,-2.94320001432714,1.15397801582685,0.01172049889346,-4.84132493908219,-1.04507508957209,167,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
8,-3.06413332160002,1.19612555339237,0.0113694380482678,-5.03158477638679,-1.09668186681325,166,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
9,-3.48623248771069,1.20083130466599,0.00423681589056095,-5.4614242145474,-1.51104076087398,165,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
10,-3.54358975653146,1.36038458342063,0.0100982548554747,-5.78122327261975,-1.30595624044317,164,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
11,-3.43843822462392,1.49826799225008,0.0231047467020235,-5.90286976582176,-0.974006683426076,163,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
12,-3.34383712164761,1.6347855308709,0.0425483844424388,-6.0328200313884,-0.654854211906821,162,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
13,-2.9380659337144,1.71054702401958,0.0879300485721214,-5.75166541024406,-0.124466457184748,161,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
14,-2.39087574842411,1.76782126519113,0.178282930605113,-5.29868296827568,0.516931471427469,160,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
15,-2.31461415118485,1.71116276647958,0.178228579431474,-5.12922643393311,0.499998131563411,159,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
16,-2.09636037808321,1.71747380912888,0.224189223851375,-4.92135340222301,0.728632646056595,158,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
17,-1.75209565823151,1.68553514423154,0.300295653940225,-4.52455425357493,1.02036293711191,157,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
18,-1.79288907329294,1.71017744696506,0.296215061067589,-4.60588064966403,1.02010250307814,156,post-IT,FCI_ENDO_exCredit_AVG,Total (FX-adjusted)
1,0.172440259082478,1.50057557304913,0.90865395127399,-2.29578691476216,2.64066743292712,173,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
2,-0.430422463512693,1.72471426661724,0.803244512950504,-3.26732498041301,2.40648005338763,172,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
3,-1.65541776244093,2.04949708132527,0.42045155603465,-5.02654047008526,1.7157049452034,171,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
4,-3.28778626542625,2.14784360872508,0.127821259188355,-6.82067461536224,0.245102084509747,170,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
5,-3.95168118641275,2.17749938604031,0.0714544742841747,-7.53334894922576,-0.370013423599741,169,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
6,-4.228151161057,2.42846907277826,0.0836290498154496,-8.22262732335579,-0.233674998758207,168,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
7,-5.42756478562119,2.6289108655083,0.0406194363194413,-9.75173835768466,-1.10339121355773,167,post-IT,FCI_ENDO_exCredit_AVG,"USD (measured PYG-valued, published)"
