horizon,gamma,coef,se,p_value,ci_lower,ci_upper,first_stage_F,eff_F,partial_R2,ar_lo,ar_hi,n_obs
12,-0.277323683420227,-97.2306872959244,35.0562852196142,0.00589437712078027,-154.893145186852,-39.5682294049967,12.0527353998938,13.3966441741876,0.0388731787331231,-189,-62,312
12,-0.297132517950243,-93.4910454768505,34.5108853953562,0.00713841029129142,-150.256400488709,-36.7256904649923,12.0527353998938,13.3966441741876,0.0388731787331231,-182,-59,312
12,-0.316941352480259,-89.7514036577765,33.9874552245188,0.00870906842162537,-145.655792654677,-33.847014660876,12.0527353998938,13.3966441741876,0.0388731787331231,-175,-56,312
12,-0.336750187010276,-86.0117618387025,33.4870249350703,0.0107006894517137,-141.093016258967,-30.9305074184377,12.0527353998938,13.3966441741876,0.0388731787331231,-168,-54,312
12,-0.356559021540292,-82.2721200196283,33.0106405551335,0.0132353655987746,-136.569791864731,-27.9744481745257,12.0527353998938,13.3966441741876,0.0388731787331231,-161,-51,312
12,-0.376367856070308,-78.5324782005544,32.5593575676055,0.0164704617170748,-132.08785558684,-24.9771008142686,12.0527353998938,13.3966441741876,0.0388731787331231,-154,-48,312
12,-0.396176690600324,-74.7928363814804,32.13423353785,0.0206075914470066,-127.648946965518,-21.9367257974422,12.0527353998938,13.3966441741876,0.0388731787331231,-148,-45,312
12,-0.41598552513034,-71.0531945624063,31.7363197206609,0.0259029498967711,-123.254795161027,-18.8515939637857,12.0527353998938,13.3966441741876,0.0388731787331231,-141,-43,312
12,-0.435794359660357,-67.3135527433324,31.3666516902041,0.0326786146109765,-118.907103541288,-15.7200019453766,12.0527353998938,13.3966441741876,0.0388731787331231,-134,-40,312
12,-0.455603194190373,-63.5739109242582,31.0262390823161,0.0413339942074924,-114.607532809469,-12.5402890390471,12.0527353998938,13.3966441741876,0.0388731787331231,-127,-37,312
12,-0.475412028720389,-59.8342691051843,30.7160545875867,0.0523560152051366,-110.357682899216,-9.31085531115297,12.0527353998938,13.3966441741876,0.0388731787331231,-120,-34,312
12,-0.495220863250405,-56.0946272861104,30.4370223865117,0.0663259208940608,-106.159073952167,-6.03018062005356,12.0527353998938,13.3966441741876,0.0388731787331231,-114,-31,312
12,-0.515029697780421,-52.3549854670362,30.1900062699849,0.0839198068817147,-102.013126777908,-2.69684415616387,12.0527353998938,13.3966441741876,0.0388731787331231,-107,-28,312
12,-0.534838532310438,-48.6153436479623,29.975797735898,0.105899421425478,-97.9211432746178,0.690455978693251,12.0527353998938,13.3966441741876,0.0388731787331231,-100,-25,312
12,-0.554647366840454,-44.8757018288883,29.7951043918665,0.133089594036306,-93.8842873532477,4.1328836954711,12.0527353998938,13.3966441741876,0.0388731787331231,-94,-22,312
12,-0.57445620137047,-41.1360600098142,29.6485390202557,0.166339259763783,-89.903566951094,7.63144693146555,12.0527353998938,13.3966441741876,0.0388731787331231,-87,-19,312
12,-0.594265035900486,-37.3964181907402,29.5366096708148,0.206464719071842,-85.9798177356298,11.1869813541493,12.0527353998938,13.3966441741876,0.0388731787331231,-81,-16,312
12,-0.614073870430502,-33.6567763716662,29.4597111348766,0.254176628424282,-82.1136890808107,14.8001363374784,12.0527353998938,13.3966441741876,0.0388731787331231,-74,-12,312
12,-0.633882704960519,-29.9171345525921,29.418118123923,0.309996017259399,-78.3056328468136,18.4713637416294,12.0527353998938,13.3966441741876,0.0388731787331231,-68,-9,312
12,-0.653691539490535,-26.1774927335181,29.411980420425,0.374168680559023,-74.5558954038799,22.2009099368437,12.0527353998938,13.3966441741876,0.0388731787331231,-62,-5,312
12,-0.673500374020551,-22.4378509144441,29.4413201987229,0.446590509439839,-70.864513225553,25.9888113966648,12.0527353998938,13.3966441741876,0.0388731787331231,-56,-2,312
12,-0.693309208550567,-18.6982090953702,29.5060316263015,0.526757469312481,-67.2313122328371,29.8348940420966,12.0527353998938,13.3966441741876,0.0388731787331231,-50,2,312
12,-0.713118043080583,-14.9585672762961,29.6058827620279,0.613752100905272,-63.6559109165177,33.7387763639256,12.0527353998938,13.3966441741876,0.0388731787331231,-44,6,312
12,-0.7329268776106,-11.2189254572221,29.7405196726037,0.706273454052144,-60.1377271081258,37.6998761936817,12.0527353998938,13.3966441741876,0.0388731787331231,-39,10,312
12,-0.752735712140616,-7.47928363814815,29.9094725994209,0.802710122974326,-56.6759881235113,41.717420847215,12.0527353998938,13.3966441741876,0.0388731787331231,-34,15,312
12,-0.772544546670632,-3.73964181907402,30.1121639283593,0.901248246394619,-53.269743871993,45.790460233845,12.0527353998938,13.3966441741876,0.0388731787331231,-28,19,312
12,-0.792353381200648,4.04922842563418e-15,30.3479176586668,1,-49.9178824312827,49.9178824312828,12.0527353998938,13.3966441741876,0.0388731787331231,-24,24,312
18,0,-153.736573590448,47.1228713592135,0.00123553930671159,-231.246799458018,-76.2263477228786,11.3218729478966,11.3128152079795,0.0373262661141532,-300,-100,306
18,-0.019780447903957,-149.893159250687,46.206303063751,0.00131546827870298,-225.895764433117,-73.8905540682577,11.3218729478966,11.3128152079795,0.0373262661141532,-297,-98,306
18,-0.039560895807914,-146.049744910926,45.3000154818721,0.00140717099732097,-220.561639677241,-71.537850144611,11.3218729478966,11.3128152079795,0.0373262661141532,-289,-95,306
18,-0.059341343711871,-142.206330571165,44.4046380984575,0.00151287064105473,-215.24546060088,-69.1672005414497,11.3218729478966,11.3128152079795,0.0373262661141532,-282,-92,306
