date,micro,agg,ratio,micro_yoy,agg_yoy,gap,tcn_yoy
2023-05-01,126645493.986916,135214928.556018,0.936623606131245,9.79023277895703,7.70377235329307,2.08646042566396,5.17894906101315
2023-06-01,127794226.930694,136319042.947005,0.937464232201035,10.1372754744256,7.84546493613283,2.29181053829279,5.73846124462678
2023-07-01,128690345.474669,138244417.161865,0.930889999876021,10.4176020816605,10.2302244281439,0.187377653516553,5.88633823922762
2023-08-01,131378013.239685,140298088.448088,0.936420550649883,11.3816452782928,10.5131740411737,0.868471237119106,5.79982701482076
2023-09-01,134468521.067995,142860377.699222,0.941258333721509,11.0297276405087,10.0755872794652,0.954140361043576,4.32759687311441
2023-10-01,136584470.130863,145470568.766625,0.938914801041184,10.8399212019173,10.3950651723996,0.444856029517716,2.89818536886877
2023-11-01,138060760.722363,146810189.280062,0.940403124601876,10.3117430582436,10.6502851290266,-0.33854207078301,3.62938414825846
2023-12-01,141461402.674747,149624524.534494,0.945442621220394,11.3728435041123,11.7999856439289,-0.427142139816651,1.33381310278371
2024-01-01,140267875.973903,148352729.031298,0.945502498604596,10.4002768384048,10.8108289487312,-0.41055211032648,-1.22297207094604
2024-02-01,141026216.58987,149853690.294431,0.941092717254961,10.7688408446969,11.2822484913973,-0.513407646700449,-0.096125630034738
2024-03-01,146224221.301642,151918609.265199,0.962516850364155,16.0544928570202,13.2256203258631,2.82887253115716,1.84947915948051
2024-04-01,148989235.392954,156007914.796731,0.955010747929544,17.4917698445266,15.9876017096182,1.50416813490842,3.23964991544468
2024-05-01,149481548.6514,156443077.468333,0.955501202548622,18.031478219701,15.69956005525,2.33191816445102,4.15176878022618
2024-06-01,151779294.520632,157252480.50232,0.965194914800679,18.7685063449278,15.3562093033866,3.4122970415412,3.83343960258451
2024-07-01,153803374.00591,158999530.398691,0.967319674594309,19.5143065617023,15.0133464069835,4.50096015471886,3.87752550776046
2024-08-01,157868990.118547,163372928.092238,0.966310587451898,20.1639347601739,16.4470092924238,3.71692546775013,4.41205123173503
2024-09-01,161201107.004851,166684358.406127,0.967103983518858,19.8801814168377,16.6764088759898,3.2037725408478,6.71405637583209
2024-10-01,165130797.523148,170456913.254178,0.96875388842054,20.9001267603365,17.1762196981842,3.72390706215233,6.52466153829105
2024-11-01,167617234.77077,172875179.798105,0.969585309854916,21.4083088444256,17.7542108254628,3.65409801896286,4.87641947187265
2024-12-01,171336905.707457,176189160.524156,0.972459969715141,21.1191904419333,17.7541991009222,3.36499134101112,6.47601955317205
2025-01-01,171720155.083948,177296002.662006,0.96855063005178,22.423009467896,19.5097682527979,2.91324121509806,8.37135801482878
2025-02-01,173269388.339,180452566.285199,0.9601935395319,22.8632466564001,20.4191674763883,2.44407918001171,8.40684092617357
2025-03-01,176694319.011142,183935617.642915,0.96063134087586,20.8379278332035,21.0751062905165,-0.237178457313014,8.81856896142343
2025-04-01,178840454.074181,184992711.058857,0.966743246534085,20.035822455559,18.5790549792886,1.45676747627033,8.11020516305179
2025-05-01,180604012.569503,187247331.936462,0.964521153395055,20.8202712635005,19.6903915255462,1.12987973795429,6.39181700376659
2025-06-01,181379695.3899,187701432.287098,0.966320252220938,19.5022654195062,19.3630979222162,0.139167497290039,5.65994140567592
2025-07-01,179526227.361535,185617000.508935,0.967186339986637,16.7245052469633,16.740596681953,-0.0160914349896615,-0.0493158299066043
2025-08-01,180098119.992357,186274656.659429,0.966841776665491,14.0807449627167,14.0180682531813,0.0626767095354364,-3.69333192663952
2025-09-01,179439246.785764,185880606.602797,0.965346789346361,11.3139047986589,11.5165264336907,-0.202621635031841,-7.80261767215587
2025-10-01,183260493.781046,190143620.411755,0.963800380913104,10.9789915205595,11.5493744323653,-0.570382911805734,-10.2961387410592
2025-11-01,184629662.773962,191897541.806973,0.96212625255866,10.1495696587868,11.0035240634795,-0.853954404692647,-9.8192501113743
2025-12-01,183128483.260398,190375833.356898,0.961931354580529,6.88210021317557,8.05195551788631,-1.16985530471074,-13.8950664497909
