variant,param,h,b,se_bank,p_bank,p_wcb,se_dk,p_dk,n
sharp_moyFE,shk_usd_unh,12,-1.60462455709947,1.78886634674047,0.382243086200277,0.365365365365365,2.47491249572916,0.516754671936116,17616
sharp_moyFE,shk_usd,13,2.57683238700825,0.969360643133313,0.0165532135152729,,3.04190965711456,0.396933757273618,17370
sharp_moyFE,shk_usd_unh,13,-1.85048902972665,1.69131713070609,0.289167113115626,,1.88522249774463,0.326308809564057,17370
sharp_moyFE,shk_usd,14,2.41018481400605,1.04735529941991,0.0343040452748474,,2.97316500615503,0.417568896748532,17130
sharp_moyFE,shk_usd_unh,14,-1.84515978703432,1.84579134871785,0.331493623590678,,1.86042974114039,0.321298882108875,17130
sharp_moyFE,shk_usd,15,2.63652440317313,0.884182842263647,0.00837184583824885,,3.28474552163136,0.422172939602236,16896
sharp_moyFE,shk_usd_unh,15,-2.00060682586107,1.75372238639496,0.269779232424738,,1.34983336517066,0.138309984424554,16896
sharp_moyFE,shk_usd,16,2.38466696109544,0.944434237395751,0.0218030313481272,,3.06568881179366,0.436653424424441,16668
sharp_moyFE,shk_usd_unh,16,-1.935378681546,1.75889912873824,0.286523553522569,,1.12678250848584,0.0858668392912117,16668
sharp_moyFE,shk_usd,17,2.3091754702409,1.1226371452244,0.055374222296075,,3.04276986463729,0.447908953991634,16442
sharp_moyFE,shk_usd_unh,17,-1.78911948738632,2.04653463951879,0.394181801451416,,1.37454755684691,0.193051072827544,16442
sharp_moyFE,shk_usd,18,2.43493039440498,1.08722690651975,0.0387751242381488,,3.20247833738878,0.447059212375835,16214
sharp_moyFE,shk_usd_unh,18,-1.93864086251271,2.09517787039023,0.367765980601692,,1.58927398911085,0.222530096291842,16214
