draw,beta12_perm,beta12_obs,p_perm
71,0.00776430411018381,1.3473959804755,0.182
72,0.296173800333912,1.3473959804755,0.182
73,-0.389855785056064,1.3473959804755,0.182
74,-0.194796942748744,1.3473959804755,0.182
75,-0.615385098497405,1.3473959804755,0.182
76,0.713528732721969,1.3473959804755,0.182
77,0.665750178284457,1.3473959804755,0.182
78,-0.438331403370554,1.3473959804755,0.182
79,0.140976891622948,1.3473959804755,0.182
80,1.17836286330484,1.3473959804755,0.182
81,0.213780463334515,1.3473959804755,0.182
82,-0.656813958880528,1.3473959804755,0.182
83,1.20646674117345,1.3473959804755,0.182
84,-0.447045361109964,1.3473959804755,0.182
85,-1.39348989495377,1.3473959804755,0.182
86,-0.756395141758231,1.3473959804755,0.182
87,-1.14782717958441,1.3473959804755,0.182
88,-1.69388329526577,1.3473959804755,0.182
89,0.773309693235094,1.3473959804755,0.182
90,-0.113556255565793,1.3473959804755,0.182
91,0.893547631048437,1.3473959804755,0.182
92,0.513834331706338,1.3473959804755,0.182
93,-0.190268045786842,1.3473959804755,0.182
94,3.13601541218955,1.3473959804755,0.182
95,-0.92260123742449,1.3473959804755,0.182
96,-1.25209181479619,1.3473959804755,0.182
97,-1.29712444683481,1.3473959804755,0.182
98,0.288282994973543,1.3473959804755,0.182
99,0.0909876943826094,1.3473959804755,0.182
100,-0.0712482124313821,1.3473959804755,0.182
101,-1.71093430689397,1.3473959804755,0.182
102,0.444088929564219,1.3473959804755,0.182
103,2.50630323529672,1.3473959804755,0.182
104,0.435828217979283,1.3473959804755,0.182
105,0.570060561427745,1.3473959804755,0.182
106,-1.38662627884382,1.3473959804755,0.182
107,0.99445789733764,1.3473959804755,0.182
108,0.218916538921557,1.3473959804755,0.182
109,-0.569117578642405,1.3473959804755,0.182
110,0.409074041883593,1.3473959804755,0.182
111,-0.187366769369713,1.3473959804755,0.182
112,0.948361229888356,1.3473959804755,0.182
113,2.0640148681355,1.3473959804755,0.182
114,-0.387392493947729,1.3473959804755,0.182
115,0.751782737651837,1.3473959804755,0.182
116,0.679919136401731,1.3473959804755,0.182
117,-0.436631826617261,1.3473959804755,0.182
118,0.979043283611987,1.3473959804755,0.182
119,-1.08889192083519,1.3473959804755,0.182
120,0.972027469659269,1.3473959804755,0.182
121,-1.46456395933634,1.3473959804755,0.182
122,0.320435568838736,1.3473959804755,0.182
123,-0.222560453896001,1.3473959804755,0.182
124,-0.354686247241568,1.3473959804755,0.182
125,1.77687212989258,1.3473959804755,0.182
126,0.209716861749822,1.3473959804755,0.182
127,1.21208313596134,1.3473959804755,0.182
128,0.911672132285036,1.3473959804755,0.182
129,-1.29133045576248,1.3473959804755,0.182
130,0.393108937438218,1.3473959804755,0.182
131,-0.316579211595284,1.3473959804755,0.182
132,-0.0531624451283632,1.3473959804755,0.182
133,-0.271026497171356,1.3473959804755,0.182
134,0.0818999650573637,1.3473959804755,0.182
135,1.47808915660536,1.3473959804755,0.182
136,0.825936825332281,1.3473959804755,0.182
137,-0.88396867237076,1.3473959804755,0.182
138,0.961469690554128,1.3473959804755,0.182
139,0.320787350986683,1.3473959804755,0.182
140,-0.216915310102885,1.3473959804755,0.182
141,-2.48677916437092,1.3473959804755,0.182
142,1.6058685440916,1.3473959804755,0.182
143,-1.00232614226881,1.3473959804755,0.182
144,-0.131902887976055,1.3473959804755,0.182
145,-0.143279047997549,1.3473959804755,0.182
146,0.111079822888523,1.3473959804755,0.182
147,0.0281252080252663,1.3473959804755,0.182
148,1.19247554639993,1.3473959804755,0.182
149,0.936452104255181,1.3473959804755,0.182
150,0.00870216493386295,1.3473959804755,0.182
151,-0.441763706315844,1.3473959804755,0.182
152,-0.637635956492363,1.3473959804755,0.182
153,-1.00058016018394,1.3473959804755,0.182
154,-1.48321205211764,1.3473959804755,0.182
155,0.619460973161567,1.3473959804755,0.182
156,1.4356779541755,1.3473959804755,0.182
157,0.818487470461069,1.3473959804755,0.182
158,-0.614871068320039,1.3473959804755,0.182
159,1.627767405801,1.3473959804755,0.182
160,0.0799289314854665,1.3473959804755,0.182
161,1.20248144452051,1.3473959804755,0.182
162,-1.20412228775257,1.3473959804755,0.182
163,-1.08057810603841,1.3473959804755,0.182
164,0.888387003580632,1.3473959804755,0.182
165,0.34418424602451,1.3473959804755,0.182
166,-1.97345943762187,1.3473959804755,0.182
167,0.597216229550772,1.3473959804755,0.182
168,0.667509749428279,1.3473959804755,0.182
169,0.0165667028793773,1.3473959804755,0.182
170,-0.980822485124193,1.3473959804755,0.182
171,-1.50222522680578,1.3473959804755,0.182
172,-0.0852472705210133,1.3473959804755,0.182
173,-0.687522889892156,1.3473959804755,0.182
174,0.316369480628019,1.3473959804755,0.182
175,1.02797556283401,1.3473959804755,0.182
176,-0.207607947206403,1.3473959804755,0.182
177,-1.28344484030168,1.3473959804755,0.182
178,0.615068179984306,1.3473959804755,0.182
179,1.03358810214353,1.3473959804755,0.182
180,-1.26891721222743,1.3473959804755,0.182
181,-0.756959557265055,1.3473959804755,0.182
182,-0.668830907696762,1.3473959804755,0.182
183,-1.12092535935245,1.3473959804755,0.182
184,-0.874873608131042,1.3473959804755,0.182
185,-0.868349213785343,1.3473959804755,0.182
186,0.215519198362078,1.3473959804755,0.182
187,-0.172428753994025,1.3473959804755,0.182
188,-0.139980221760289,1.3473959804755,0.182
189,0.0168181913853279,1.3473959804755,0.182
190,0.0787955749658305,1.3473959804755,0.182
191,-1.35847864954848,1.3473959804755,0.182
192,0.0117177134971383,1.3473959804755,0.182
