horizon,fci_type,credit_measure,coef_pub,n_pub,coef_rep,n_rep,dcoef,dn
12,FCI_EXO,Real_MN,-2.32600032249375,334,-2.32600032249376,334,5.77315972805081e-15,0
12,FCI_EXO,Total,-2.68056223298434,334,-2.68056223298433,334,5.32907051820075e-15,0
12,FCI_EXO,USD,-4.34737726775075,334,-4.34737726775073,334,1.68753899743024e-14,0
13,FCI_COMP,Real_MN,-9.23068075672779,333,-9.23068075672778,333,1.06581410364015e-14,0
13,FCI_COMP,Total,-7.97473739828041,333,-7.97473739828042,333,9.76996261670138e-15,0
13,FCI_COMP,USD,-8.37992916458176,333,-8.37992916458179,333,2.66453525910038e-14,0
13,FCI_ENDO,Real_MN,-10.6457073171619,333,-10.6457073171619,333,1.77635683940025e-15,0
13,FCI_ENDO,Total,-8.33178961642027,333,-8.33178961642027,333,5.32907051820075e-15,0
13,FCI_ENDO,USD,-7.94584602081171,333,-7.94584602081165,333,6.21724893790088e-14,0
13,FCI_EXO,Real_MN,-2.13481803503687,333,-2.13481803503688,333,7.105427357601e-15,0
13,FCI_EXO,Total,-2.77182229323064,333,-2.77182229323064,333,1.77635683940025e-15,0
13,FCI_EXO,USD,-4.9813020809388,333,-4.98130208093878,333,2.39808173319034e-14,0
14,FCI_COMP,Real_MN,-9.27120343716588,332,-9.27120343716587,332,7.105427357601e-15,0
14,FCI_COMP,Total,-7.9717016516556,332,-7.97170165165559,332,1.24344978758018e-14,0
14,FCI_COMP,USD,-8.3804672466451,332,-8.38046724664508,332,2.1316282072803e-14,0
14,FCI_ENDO,Real_MN,-10.2982386479843,332,-10.2982386479843,332,1.95399252334028e-14,0
14,FCI_ENDO,Total,-8.2091894163787,332,-8.20918941637869,332,1.4210854715202e-14,0
14,FCI_ENDO,USD,-8.45318075918926,332,-8.45318075918924,332,1.95399252334028e-14,0
14,FCI_EXO,Real_MN,-2.04716126529207,332,-2.04716126529207,332,4.44089209850063e-15,0
14,FCI_EXO,Total,-2.39563367233016,332,-2.39563367233016,332,3.99680288865056e-15,0
14,FCI_EXO,USD,-4.23031895854433,332,-4.23031895854433,332,8.88178419700125e-16,0
15,FCI_COMP,Real_MN,-8.86883698108033,331,-8.86883698108033,331,3.5527136788005e-15,0
15,FCI_COMP,Total,-7.40133279660075,331,-7.40133279660073,331,1.68753899743024e-14,0
15,FCI_COMP,USD,-7.81961611948121,331,-7.81961611948117,331,4.2632564145606e-14,0
15,FCI_ENDO,Real_MN,-9.29712235383285,331,-9.29712235383288,331,2.66453525910038e-14,0
15,FCI_ENDO,Total,-7.03308010425341,331,-7.03308010425341,331,2.66453525910038e-15,0
15,FCI_ENDO,USD,-7.13944380027116,331,-7.13944380027119,331,2.66453525910038e-14,0
15,FCI_EXO,Real_MN,-2.72497537910737,331,-2.72497537910737,331,2.66453525910038e-15,0
15,FCI_EXO,Total,-2.81136822078024,331,-2.81136822078023,331,1.33226762955019e-14,0
15,FCI_EXO,USD,-4.25339554052001,331,-4.25339554052,331,1.15463194561016e-14,0
16,FCI_COMP,Real_MN,-7.78313128857948,330,-7.78313128857946,330,1.95399252334028e-14,0
16,FCI_COMP,Total,-6.10013547399513,330,-6.10013547399511,330,1.95399252334028e-14,0
16,FCI_COMP,USD,-6.86610133915193,330,-6.8661013391519,330,3.5527136788005e-14,0
16,FCI_ENDO,Real_MN,-8.13051489794779,330,-8.13051489794781,330,2.30926389122033e-14,0
16,FCI_ENDO,Total,-5.41778646657002,330,-5.41778646657003,330,9.76996261670138e-15,0
16,FCI_ENDO,USD,-5.54261791359392,330,-5.54261791359389,330,3.5527136788005e-14,0
16,FCI_EXO,Real_MN,-2.56412486579843,330,-2.56412486579843,330,3.5527136788005e-15,0
16,FCI_EXO,Total,-3.02530550445886,330,-3.02530550445888,330,1.50990331349021e-14,0
16,FCI_EXO,USD,-5.17724049356574,330,-5.17724049356574,330,0,0
