level,spec,exposure,h,b,se_bank,p_bank,p_wcb,se_twoway,p_twoway,se_dk,p_dk,n
bank_sector,joint,ext_fund_share,8,-0.122001363450219,0.3567540089697,0.736122417724981,,0.460896429004644,0.791237102835048,0.611357070419061,0.841826061672324,18132
bank_sector,joint,tier1,8,0.0532929672184312,0.309622756745006,0.865161539521593,,0.160601775111664,0.740015372048374,0.265150172472604,0.840705113334965,18132
bank_sector,joint,size,8,0.00536061373003624,0.379418526683319,0.988874768360085,,0.356419579575171,0.988000127016992,0.488843132326562,0.991250638644319,18132
bank_sector,joint,liquidity,8,-0.212026829783482,0.341858155020393,0.542481911939562,,0.157586259859874,0.178475049804157,0.396004321864535,0.592362613116764,18132
bank_sector,joint,fc_dep_share,9,0.574189240163207,0.511566410781833,0.276435896112764,,0.850843194968047,0.499772780038138,1.08544913500825,0.596813983240904,17887
bank_sector,joint,ext_fund_share,9,-0.0996086767040171,0.419757582234596,0.815103579683237,,0.565741840031656,0.860241017021371,0.707001612167373,0.88795771424791,17887
bank_sector,joint,tier1,9,0.158028627660648,0.434376745735135,0.720241343143369,,0.302930721677041,0.601902970818137,0.279388627947009,0.57165010439535,17887
bank_sector,joint,size,9,-0.176636853030213,0.481440052702163,0.71797667671869,,0.483039004118021,0.714605184924041,0.68505026417629,0.796526457177717,17887
bank_sector,joint,liquidity,9,-0.377135390966308,0.481034204536017,0.44322998045115,,0.346805339267058,0.276835532691956,0.335367856357224,0.260782972334674,17887
bank_sector,joint,fc_dep_share,10,0.942578017760163,0.608242911691932,0.138623133360767,,0.914392966581438,0.302623462805996,1.18696220980782,0.427131662642961,17657
bank_sector,joint,ext_fund_share,10,-0.259631692995646,0.505395886038964,0.61369672348728,,0.652717609800649,0.690799496569186,0.875526256503554,0.766814988513575,17657
bank_sector,joint,tier1,10,0.410557118886626,0.457531136598538,0.381387567218507,,0.340386308910355,0.22775946357395,0.329532439707874,0.212809297228104,17657
bank_sector,joint,size,10,-0.132840885411474,0.601317865633525,0.827644192787375,,0.645165173966332,0.836867359312077,0.841558143010704,0.874574125009658,17657
bank_sector,joint,liquidity,10,-0.88669241610716,0.489589690553337,0.0868487695842175,,0.321424704894041,0.00580438913230131,0.496075907432305,0.0738707977888537,17657
bank_sector,joint,fc_dep_share,11,0.792791799157493,0.629761574711279,0.224157447321948,,1.02595749459996,0.439680074015305,1.20295106504651,0.509870654525622,17431
bank_sector,joint,ext_fund_share,11,-0.374638695363425,0.509256623382422,0.471417066392674,,0.728363481552836,0.607002570343013,0.856461095329863,0.661802140264459,17431
bank_sector,joint,tier1,11,0.404462326193093,0.536128031038311,0.460357584303321,,0.423483099723281,0.339534749817636,0.442679795980726,0.360891368160817,17431
bank_sector,joint,size,11,0.231826857593802,0.670109621572327,0.733388213531529,,0.736157150858485,0.75282626610792,0.876031747158855,0.791292241349565,17431
bank_sector,joint,liquidity,11,-0.573758655096673,0.459637879626568,0.227920658170618,,0.205726752867521,0.00528815871486464,0.421310334101206,0.173247343713807,17431
bank_sector,joint,fc_dep_share,12,0.688108574172093,0.698383667009552,0.338299367420084,0.356356356356356,1.1003317931297,0.531731776972801,1.26838762305308,0.587469606920633,17191
bank_sector,joint,ext_fund_share,12,-0.341992343133717,0.64920025732752,0.605145701421489,,0.82023063388268,0.67671749474843,0.799604409328885,0.668868150008179,17191
bank_sector,joint,tier1,12,0.239077109914839,0.574969603122126,0.682751951850507,,0.461199633867122,0.604192494939005,0.411076940008626,0.560844728411575,17191
bank_sector,joint,size,12,0.00539632102400502,0.762911626856623,0.994438694465155,,0.810296640041505,0.994686378801595,0.850461819754193,0.994937324358725,17191
