"horizon","coef_fci_low","se_fci_low","p_fci_low","ci_fci_low_lo","ci_fci_low_hi","coef_fci_high","se_fci_high","ci_fci_high_lo","ci_fci_high_hi","coef_interact","se_interact","p_interact","n_obs","target_var","stance_type","stance_label"
22,1.2682374923339,1.47570526292128,0.390763171338166,-1.15908166169353,3.69555664636134,0.430283595608671,1.41675423856389,-1.90006975219202,2.76063694340936,-0.837953896725231,0.642807653026712,0.193321305783421,324,"IMAEP_yoy","TPM_hp_std","HP Deviation"
23,1.32453780912993,1.05040750312163,0.208247959418943,-0.403228782156724,3.05230440041659,0.564250246279962,1.18952180970409,-1.39233901674969,2.52083950930962,-0.760287562849971,0.671379505018583,0.258313943393929,323,"IMAEP_yoy","TPM_hp_std","HP Deviation"
24,1.03438902474999,1.10975190245457,0.352003687624958,-0.790990417018712,2.85976846651869,0.365134360580968,1.44096830357667,-2.00504757987923,2.73531630104116,-0.669254664169022,0.676773081845691,0.323475561617992,322,"IMAEP_yoy","TPM_hp_std","HP Deviation"
1,-2.15723242154188,1.38995240855762,0.121593501860151,-4.44350068204781,0.129035838964044,-2.02106353622418,1.27044100240781,-4.11075302686253,0.0686259544141734,0.136168885317704,0.481711445476,0.777597256025367,345,"IMAEP_yoy","TPM_binary","Binary (> median)"
2,-2.86392163175225,1.47747235769087,0.0534101374436407,-5.29414739802062,-0.43369586548387,-2.57864431493792,1.41078055530405,-4.8991718281624,-0.258116801713442,0.285277316814325,0.586223778140436,0.626832970524849,344,"IMAEP_yoy","TPM_binary","Binary (> median)"
3,-2.47021910811285,1.40635735459757,0.0799197878681484,-4.78347110361253,-0.156967112613163,-1.72315552512643,1.41346417514409,-4.04809720017817,0.601786149925298,0.747063582986413,0.669213293575288,0.26507813585591,343,"IMAEP_yoy","TPM_binary","Binary (> median)"
4,-1.37688865324566,1.44527648996737,0.341438170917081,-3.75415692971619,1.00037962322487,-1.06143792493492,1.47746261378726,-3.4916476639081,1.36877181403826,0.315450728310738,0.737896625806121,0.669289921369683,342,"IMAEP_yoy","TPM_binary","Binary (> median)"
5,-1.82772657655483,1.35412479669104,0.178011060859098,-4.055063659737,0.399610506627345,-1.82542740346017,1.48380446623475,-4.2660685614332,0.615213754512852,0.00229917309465363,0.816261389020811,0.997754273674705,341,"IMAEP_yoy","TPM_binary","Binary (> median)"
6,-1.1040108211373,1.41598307253916,0.436134223139679,-3.43309571370522,1.22507407143061,-1.589686265594,1.47767205358494,-4.02024050237802,0.840867971190018,-0.485675444456697,0.897521858809608,0.588780220288117,340,"IMAEP_yoy","TPM_binary","Binary (> median)"
7,-0.465972313919043,1.55190730643357,0.76416841932843,-3.0186326755988,2.08668804776071,-1.14412875689211,1.5173326108707,-3.63991880517453,1.35166129139031,-0.678156442973069,0.931260932925053,0.4669964225355,339,"IMAEP_yoy","TPM_binary","Binary (> median)"
