"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
1,-1.2869816717734,0.775506241926656,-1.65953747654699,0.100109578286643,-2.56257592652997,-0.0113874170168384,112,0.235241051153711,"Consumo_Publico","Public Consumption","Demand","FCI_EXO","Exogenous (External)"
2,0.794335068170909,0.689670995645984,1.15175942324048,0.252166146919893,-0.34007277042062,1.92874290676244,111,0.22720095364859,"Consumo_Publico","Public Consumption","Demand","FCI_EXO","Exogenous (External)"
3,-0.740824295973757,1.02894957230663,-0.719981149623329,0.473232996562529,-2.43329573193248,0.951647139984963,110,0.213974535091136,"Consumo_Publico","Public Consumption","Demand","FCI_EXO","Exogenous (External)"
4,-1.70084438030661,0.995528062279982,-1.70848461710994,0.0907119950312018,-3.33834232427981,-0.0633464363334151,109,0.116997710462001,"Consumo_Publico","Public Consumption","Demand","FCI_EXO","Exogenous (External)"
5,-0.522749395614829,0.958885763316442,-0.545163371501967,0.586892506435791,-2.09997612123801,1.05447733000835,108,0.104725778069282,"Consumo_Publico","Public Consumption","Demand","FCI_EXO","Exogenous (External)"
6,-1.90856510028528,0.628695436942317,-3.03575465660711,0.00308837216073267,-2.94267706998769,-0.874453130582871,107,0.135581257557791,"Consumo_Publico","Public Consumption","Demand","FCI_EXO","Exogenous (External)"
7,0.951731577374319,0.993792375243553,0.957676473560258,0.340656796220052,-0.682911415481757,2.5863745702304,106,0.0927650344287867,"Consumo_Publico","Public Consumption","Demand","FCI_EXO","Exogenous (External)"
8,0.331011868007643,0.890297439697258,0.371799191200867,0.710879167106063,-1.133397104744,1.79542084075929,105,0.11873245770673,"Consumo_Publico","Public Consumption","Demand","FCI_EXO","Exogenous (External)"
1,-7.33364388021366,3.4478819292616,-2.12699971480295,0.0358556864265034,-13.00490497686,-1.66238278356729,112,0.269574607672871,"FBCF","Investment (GFCF)","Demand","FCI_ENDO","Endogenous (Domestic)"
2,-7.36907285212312,2.50122729440753,-2.94618280737602,0.00400283614342431,-11.4832256391594,-3.25492006508687,111,0.316164779100672,"FBCF","Investment (GFCF)","Demand","FCI_ENDO","Endogenous (Domestic)"
3,-5.12516337816167,2.47938887683363,-2.06710751429477,0.0413334338344918,-9.20339516484461,-1.04693159147874,110,0.262329820557471,"FBCF","Investment (GFCF)","Demand","FCI_ENDO","Endogenous (Domestic)"
4,0.111293859341063,2.90917592546656,0.0382561461363717,0.969561278965876,-4.67387471310252,4.89646243178465,109,0.176982916573535,"FBCF","Investment (GFCF)","Demand","FCI_ENDO","Endogenous (Domestic)"
5,1.60422127713245,3.07977889668188,0.520888456915142,0.603631556381533,-3.46156421128335,6.67000676554825,108,0.166988951065433,"FBCF","Investment (GFCF)","Demand","FCI_ENDO","Endogenous (Domestic)"
6,-1.66054431064224,2.65236392566735,-0.626062017573411,0.532759996564506,-6.02329473377143,2.70220611248695,107,0.133903193758414,"FBCF","Investment (GFCF)","Demand","FCI_ENDO","Endogenous (Domestic)"
7,-0.396685971789177,2.67570703286698,-0.148254635846337,0.882456043886398,-4.79783238945999,4.00446044588163,106,0.108120422777511,"FBCF","Investment (GFCF)","Demand","FCI_ENDO","Endogenous (Domestic)"
8,1.41901743074871,2.47132439102771,0.574193107105055,0.567208634312633,-2.64594945720685,5.48398431870427,105,0.106414107820059,"FBCF","Investment (GFCF)","Demand","FCI_ENDO","Endogenous (Domestic)"
