"horizon","response","shock","contribution"
6,"SP500","SP500",0.780062528092625
6,"SP500","DXY",0.0164385494362697
6,"SP500","US_10Y",0.00150446619400492
6,"SP500","FFER",0.000686366129190363
6,"SP500","Selic_rate",0.000248805183521816
6,"SP500","d_ToT",0.00542806871088351
6,"SP500","FCI_ENDO_AVG",0.00116163231142018
6,"SP500","Cred_Real_Total",0.00164430215223699
6,"SP500","IMAEP_yoy",0.00833764826417895
6,"SP500","IPC_yoy",0.0293467900141021
7,"SP500","VIX",0.14125985783907
7,"SP500","SP500",0.780328861363434
7,"SP500","DXY",0.0218533195445541
7,"SP500","US_10Y",0.00212191184661435
7,"SP500","FFER",0.000827246830983379
7,"SP500","Selic_rate",0.000338478003949093
7,"SP500","d_ToT",0.00470150335904877
7,"SP500","FCI_ENDO_AVG",0.00171826474600185
7,"SP500","Cred_Real_Total",0.00179774283817185
7,"SP500","IMAEP_yoy",0.00929678909006461
7,"SP500","IPC_yoy",0.0357560245381078
8,"SP500","VIX",0.129802203556851
8,"SP500","SP500",0.778376683047557
8,"SP500","DXY",0.0275687781154532
8,"SP500","US_10Y",0.00288094679798187
8,"SP500","FFER",0.00127392833202575
8,"SP500","Selic_rate",0.000429835162157776
8,"SP500","d_ToT",0.00408365800458899
8,"SP500","FCI_ENDO_AVG",0.00246663037486756
8,"SP500","Cred_Real_Total",0.00195956191910807
8,"SP500","IMAEP_yoy",0.00981623265966815
8,"SP500","IPC_yoy",0.04134154202974
9,"SP500","VIX",0.120190671533743
9,"SP500","SP500",0.774929309227589
9,"SP500","DXY",0.0334178398168908
9,"SP500","US_10Y",0.00371174614038659
9,"SP500","FFER",0.00204412929826921
9,"SP500","Selic_rate",0.00051203309173534
9,"SP500","d_ToT",0.00358969859783781
9,"SP500","FCI_ENDO_AVG",0.0033664266266082
9,"SP500","Cred_Real_Total",0.00212512115295831
9,"SP500","IMAEP_yoy",0.0100322268850166
9,"SP500","IPC_yoy",0.0460807976289643
10,"SP500","VIX",0.11201336454544
10,"SP500","SP500",0.77049557562966
10,"SP500","DXY",0.0392794323482654
10,"SP500","US_10Y",0.00456574874395891
10,"SP500","FFER",0.00311534663518111
10,"SP500","Selic_rate",0.000577826015735562
10,"SP500","d_ToT",0.00323103380959672
10,"SP500","FCI_ENDO_AVG",0.00438335473469618
10,"SP500","Cred_Real_Total",0.00229103332913859
10,"SP500","IMAEP_yoy",0.0100443755458675
10,"SP500","IPC_yoy",0.0500029086624602
11,"SP500","VIX",0.104965569995072
11,"SP500","SP500",0.765454564165203
11,"SP500","DXY",0.0450642763606706
11,"SP500","US_10Y",0.00540866375495319
11,"SP500","FFER",0.00444031879756428
11,"SP500","Selic_rate",0.000623568345222789
11,"SP500","d_ToT",0.00301028866180215
11,"SP500","FCI_ENDO_AVG",0.00548830014704363
11,"SP500","Cred_Real_Total",0.00245454805132476
11,"SP500","IMAEP_yoy",0.00992492390853961
11,"SP500","IPC_yoy",0.0531649778126047
12,"SP500","VIX",0.0988238973439473
12,"SP500","SP500",0.760089687801205
12,"SP500","DXY",0.0507069532030586
12,"SP500","US_10Y",0.00621611945903053
12,"SP500","FFER",0.00595912203408916
12,"SP500","Selic_rate",0.000648858226835941
12,"SP500","d_ToT",0.00292158652025437
12,"SP500","FCI_ENDO_AVG",0.00665648649180526
12,"SP500","Cred_Real_Total",0.00261347470321815
12,"SP500","IMAEP_yoy",0.00972397978700073
12,"SP500","IPC_yoy",0.0556398344295543
13,"SP500","VIX",0.0934211009382442
13,"SP500","SP500",0.754615481217805
13,"SP500","DXY",0.0561602230417426
13,"SP500","US_10Y",0.00697104722764943
13,"SP500","FFER",0.00760808159414087
13,"SP500","Selic_rate",0.000655552613728763
13,"SP500","d_ToT",0.00295236873615964
13,"SP500","FCI_ENDO_AVG",0.00786690080262587
13,"SP500","Cred_Real_Total",0.00276602901976076
13,"SP500","IMAEP_yoy",0.00947614626027503
13,"SP500","IPC_yoy",0.0575070685478681
14,"SP500","VIX",0.0886299617958806
14,"SP500","SP500",0.749193274522012
14,"SP500","DXY",0.06139131056129
14,"SP500","US_10Y",0.00766211564130467
14,"SP500","FFER",0.00932589685323161
14,"SP500","Selic_rate",0.000646844138399476
14,"SP500","d_ToT",0.00308547666979778
14,"SP500","FCI_ENDO_AVG",0.00910190755336111
14,"SP500","Cred_Real_Total",0.00291074893440046
14,"SP500","IMAEP_yoy",0.00920510752321936
14,"SP500","IPC_yoy",0.0588473558071026
15,"SP500","VIX",0.0843517520627337
15,"SP500","SP500",0.743942541461468
15,"SP500","DXY",0.0663789802549135
15,"SP500","US_10Y",0.00828260885168968
15,"SP500","FFER",0.0110574940747071
15,"SP500","Selic_rate",0.000626479190954694
15,"SP500","d_ToT",0.00330129232561795
15,"SP500","FCI_ENDO_AVG",0.0103469081992056
15,"SP500","Cred_Real_Total",0.00304642861400631
15,"SP500","IMAEP_yoy",0.00892698685563589
15,"SP500","IPC_yoy",0.0597385281090679
16,"SP500","VIX",0.0805084389550315
16,"SP500","SP500",0.738949126828128
16,"SP500","DXY",0.071111209271083
16,"SP500","US_10Y",0.00882952115624844
16,"SP500","FFER",0.0127561296527399
16,"SP500","Selic_rate",0.000598195929536266
16,"SP500","d_ToT",0.00357951367779733
16,"SP500","FCI_ENDO_AVG",0.0115900204340544
16,"SP500","Cred_Real_Total",0.00317207808225212
16,"SP500","IMAEP_yoy",0.00865264271118741
16,"SP500","IPC_yoy",0.060253123301942
17,"SP500","VIX",0.0770372678703989
17,"SP500","SP500",0.734271728435081
17,"SP500","DXY",0.0755832252949373
17,"SP500","US_10Y",0.00930276608773762
17,"SP500","FFER",0.0143842073955911
17,"SP500","Selic_rate",0.00056536242943891
17,"SP500","d_ToT",0.00390054158262424
17,"SP500","FCI_ENDO_AVG",0.0128217560466932
17,"SP500","Cred_Real_Total",0.00328689602923175
17,"SP500","IMAEP_yoy",0.00838926733569169
17,"SP500","IPC_yoy",0.0604569814925743
18,"SP500","VIX",0.0738869929934989
18,"SP500","SP500",0.729947156427773
18,"SP500","DXY",0.0797958575861123
18,"SP500","US_10Y",0.00970447873123273
18,"SP500","FFER",0.0159132076710743
18,"SP500","Selic_rate",0.000530779786522443
18,"SP500","d_ToT",0.00424644809788857
18,"SP500","FCI_ENDO_AVG",0.0140347037669489
18,"SP500","Cred_Real_Total",0.00339025225481933
18,"SP500","IMAEP_yoy",0.00814149542509027
18,"SP500","IPC_yoy",0.0604086272590394
19,"SP500","VIX",0.0710152054720987
19,"SP500","SP500",0.725994721836308
19,"SP500","DXY",0.0837541563866015
19,"SP500","US_10Y",0.0100384080515766
19,"SP500","FFER",0.0173230439022704
19,"SP500","Selic_rate",0.000496607109865764
19,"SP500","d_ToT",0.00460157926370976
19,"SP500","FCI_ENDO_AVG",0.0152232247168152
19,"SP500","Cred_Real_Total",0.00348167575010038
19,"SP500","IMAEP_yoy",0.00791217889656392
19,"SP500","IPC_yoy",0.0601591986140901
20,"SP500","VIX",0.0683864106541142
20,"SP500","SP500",0.722419932494369
20,"SP500","DXY",0.0874662569876933
20,"SP500","US_10Y",0.0103094012438059
20,"SP500","FFER",0.0186010885873321
20,"SP500","Selic_rate",0.000464370222295081
20,"SP500","d_ToT",0.00495285344967718
20,"SP500","FCI_ENDO_AVG",0.0163831694661996
20,"SP500","Cred_Real_Total",0.00356084617222077
20,"SP500","IMAEP_yoy",0.00770292857213605
20,"SP500","IPC_yoy",0.0597527421501573
21,"SP500","VIX",0.0659706181987763
21,"SP500","SP500",0.719217613307836
21,"SP500","DXY",0.090942461166638
21,"SP500","US_10Y",0.0105229787292592
21,"SP500","FFER",0.0197410453955199
21,"SP500","Selic_rate",0.000435022829857853
21,"SP500","d_ToT",0.00528982579725809
21,"SP500","FCI_ENDO_AVG",0.017511622380903
21,"SP500","Cred_Real_Total",0.00362758693583556
21,"SP500","IMAEP_yoy",0.00751449268156332
21,"SP500","IPC_yoy",0.0592267325765528
22,"SP500","VIX",0.0637422891368336
22,"SP500","SP500",0.716374529927506
22,"SP500","DXY",0.0941945082364714
22,"SP500","US_10Y",0.0106849946595927
22,"SP500","FFER",0.0207417906195852
22,"SP500","Selic_rate",0.000409036391902778
22,"SP500","d_ToT",0.00560458369061148
22,"SP500","FCI_ENDO_AVG",0.0186066761295209
22,"SP500","Cred_Real_Total",0.00368185871324455
22,"SP500","IMAEP_yoy",0.00734702021651767
22,"SP500","IPC_yoy",0.0586127122782141
23,"SP500","VIX",0.0616795346735173
23,"SP500","SP500",0.713871578783068
23,"SP500","DXY",0.0972350068208478
23,"SP500","US_10Y",0.0108013746647922
23,"SP500","FFER",0.0216062651060318
23,"SP500","Selic_rate",0.000386501473608673
23,"SP500","d_ToT",0.00589153001296968
23,"SP500","FCI_ENDO_AVG",0.0196672366065222
23,"SP500","Cred_Real_Total",0.0037237524909977
23,"SP500","IMAEP_yoy",0.00720024313828181
23,"SP500","IPC_yoy",0.0579369762293632
24,"SP500","VIX",0.0597634954493802
24,"SP500","SP500",0.711685597191798
24,"SP500","DXY",0.10007699958683
24,"SP500","US_10Y",0.0108779208593214
24,"SP500","FFER",0.0223404659464567
24,"SP500","Selic_rate",0.000367228748294666
24,"SP500","d_ToT",0.00614710042675912
24,"SP500","FCI_ENDO_AVG",0.0206928567820959
24,"SP500","Cred_Real_Total",0.00375348164544886
24,"SP500","IMAEP_yoy",0.00707360171247575
24,"SP500","IPC_yoy",0.057221251651139
1,"DXY","VIX",0.0357388748578836
1,"DXY","SP500",0.033381086296349
1,"DXY","DXY",0.930880038845767
1,"DXY","US_10Y",0
1,"DXY","FFER",0
1,"DXY","Selic_rate",0
1,"DXY","d_ToT",0
1,"DXY","FCI_ENDO_AVG",0
1,"DXY","Cred_Real_Total",0
1,"DXY","IMAEP_yoy",0
1,"DXY","IPC_yoy",0
2,"DXY","VIX",0.0338674471118536
2,"DXY","SP500",0.0188888210697631
2,"DXY","DXY",0.924991073644565
2,"DXY","US_10Y",0.0087911820028967
2,"DXY","FFER",6.20237713075727e-07
2,"DXY","Selic_rate",0.00112620184394883
2,"DXY","d_ToT",0.00349789963942111
2,"DXY","FCI_ENDO_AVG",0.00512402985895814
2,"DXY","Cred_Real_Total",0.000448525740007714
2,"DXY","IMAEP_yoy",0.00279804797756238
2,"DXY","IPC_yoy",0.000466150873310203
3,"DXY","VIX",0.0307422356785307
3,"DXY","SP500",0.0166192748752213
3,"DXY","DXY",0.91319020820298
3,"DXY","US_10Y",0.0172380006638751
3,"DXY","FFER",5.56214352975958e-07
3,"DXY","Selic_rate",0.00242240055461828
3,"DXY","d_ToT",0.00235397052828152
3,"DXY","FCI_ENDO_AVG",0.00794380858523117
3,"DXY","Cred_Real_Total",0.000918324018990698
3,"DXY","IMAEP_yoy",0.00815184762328045
3,"DXY","IPC_yoy",0.000419373054638317
4,"DXY","VIX",0.0274779920995881
4,"DXY","SP500",0.0145261790896862
4,"DXY","DXY",0.905967881354448
4,"DXY","US_10Y",0.0220684404047191
4,"DXY","FFER",1.92455334676288e-06
4,"DXY","Selic_rate",0.00399589227612433
4,"DXY","d_ToT",0.00181223218430988
4,"DXY","FCI_ENDO_AVG",0.00996076368737323
4,"DXY","Cred_Real_Total",0.00123693426430307
4,"DXY","IMAEP_yoy",0.012614233712878
4,"DXY","IPC_yoy",0.00033752637322352
5,"DXY","VIX",0.0244321029664847
5,"DXY","SP500",0.0133413152616469
5,"DXY","DXY",0.900898949273983
5,"DXY","US_10Y",0.0246674008444636
5,"DXY","FFER",2.30332614722776e-06
5,"DXY","Selic_rate",0.00531687491560389
5,"DXY","d_ToT",0.00149829741472233
5,"DXY","FCI_ENDO_AVG",0.0115374044556412
5,"DXY","Cred_Real_Total",0.00160128468630613
5,"DXY","IMAEP_yoy",0.016426155751734
5,"DXY","IPC_yoy",0.000277911103266765
6,"DXY","VIX",0.0217788514490685
6,"DXY","SP500",0.0124098438919838
6,"DXY","DXY",0.897552972513137
6,"DXY","US_10Y",0.026136442148537
6,"DXY","FFER",3.00735862569699e-06
6,"DXY","Selic_rate",0.00641100633382892
6,"DXY","d_ToT",0.00128444334761079
6,"DXY","FCI_ENDO_AVG",0.0128535173233619
6,"DXY","Cred_Real_Total",0.00203806735557541
6,"DXY","IMAEP_yoy",0.0192881741627824
6,"DXY","IPC_yoy",0.000243674115488668
7,"DXY","VIX",0.019555864168419
7,"DXY","SP500",0.0116709621351495
7,"DXY","DXY",0.89508986101484
7,"DXY","US_10Y",0.02699676256437
7,"DXY","FFER",1.56518032951005e-05
7,"DXY","Selic_rate",0.00731921191128194
7,"DXY","d_ToT",0.00113603287993078
7,"DXY","FCI_ENDO_AVG",0.0140190002693641
7,"DXY","Cred_Real_Total",0.00254750470770796
7,"DXY","IMAEP_yoy",0.0214226296283195
7,"DXY","IPC_yoy",0.000226518917321378
8,"DXY","VIX",0.017724437587576
8,"DXY","SP500",0.0110464181992804
8,"DXY","DXY",0.893102402967162
8,"DXY","US_10Y",0.027505848908007
8,"DXY","FFER",5.63387555853696e-05
8,"DXY","Selic_rate",0.00808774865401037
8,"DXY","d_ToT",0.00104100487762203
8,"DXY","FCI_ENDO_AVG",0.0151033071728335
8,"DXY","Cred_Real_Total",0.0031220163815746
8,"DXY","IMAEP_yoy",0.0229913572141542
8,"DXY","IPC_yoy",0.000219119282194288
9,"DXY","VIX",0.0162200563535096
9,"DXY","SP500",0.0105104577590966
9,"DXY","DXY",0.891334994075915
9,"DXY","US_10Y",0.0277945892749748
9,"DXY","FFER",0.000140477813194215
