"horizon","credit_type","method","coef","se","p_value","ci_lower","ci_upper","first_stage_F","wu_hausman_p","AR_F","AR_p","AR_CI_lower","AR_CI_upper","n_obs"
15,"Cred_Real_Total","2SLS_DXY",-161.755878920952,45.5459391219426,0.000445728770118094,-236.67228207859,-86.8394757633139,12.02689776149,1.50482607834173e-27,153.53536415458,1.13612168513969e-28,-250,-107,309
15,"Cred_Real_Total","OLS",-6.94254471808393,2.72024134621244,0.0112091066831307,-11.4169435625848,-2.46814587358305,NA,NA,NA,NA,NA,NA,309
16,"Cred_Real_Total","2SLS_DXY",-160.974642685206,45.7740786955844,0.000505908216148729,-236.266302048,-85.6829833224119,11.8331284934173,1.09870968296113e-26,146.504553590422,1.22998209175646e-27,-250,-106,308
16,"Cred_Real_Total","OLS",-6.3511702450674,2.68551100629552,0.0186805388162318,-10.7684427639907,-1.93389772614411,NA,NA,NA,NA,NA,NA,308
17,"Cred_Real_Total","2SLS_DXY",-159.094480838072,46.8041483535053,0.000769669259544945,-236.08045401371,-82.1085076624343,11.2621083601661,1.73873060358156e-24,131.641811010022,2.04176443164204e-25,-250,-104,307
17,"Cred_Real_Total","OLS",-6.33967978877233,2.40425074323303,0.00881398751491173,-10.29432034388,-2.3850392336647,NA,NA,NA,NA,NA,NA,307
18,"Cred_Real_Total","2SLS_DXY",-153.736573590448,47.1228713592135,0.00123553930671159,-231.246799458018,-76.2263477228786,11.3218729478966,2.14997365742843e-23,123.970388306887,3.09827428896489e-24,-250,-100,306
18,"Cred_Real_Total","OLS",-5.94486924531091,2.36418652984311,0.0124558391990056,-9.83361003371316,-2.05612845690867,NA,NA,NA,NA,NA,NA,306
19,"Cred_Real_Total","2SLS_DXY",-150.965218472672,50.9578927431872,0.00330284683938567,-234.783493173107,-67.1469437722361,10.9573531526567,6.67458051580431e-22,113.391266090255,1.4085740881489e-22,-250,-98,305
19,"Cred_Real_Total","OLS",-5.28562165542137,2.15710548563404,0.014861328094285,-8.83374443718343,-1.73749887365931,NA,NA,NA,NA,NA,NA,305
20,"Cred_Real_Total","2SLS_DXY",-147.247972235565,53.1894461133315,0.00599653713336788,-234.736825590618,-59.7591188805118,11.1449305535623,4.79239112662033e-21,107.843822014589,1.09469558377069e-21,-250,-95,304
20,"Cred_Real_Total","OLS",-5.16903126812444,2.2414735557494,0.0218110393171299,-8.85592717601465,-1.48213536023422,NA,NA,NA,NA,NA,NA,304
21,"Cred_Real_Total","2SLS_DXY",-147.766124383465,59.0077397338683,0.0128245279422763,-244.825219102927,-50.707029664003,10.4807936814031,3.40805263099245e-20,101.213579945508,1.30776400329452e-20,-250,-94,303
21,"Cred_Real_Total","OLS",-4.19617652934346,2.19360986260285,0.056747824927486,-7.80434366796227,-0.588009390724642,NA,NA,NA,NA,NA,NA,303
22,"Cred_Real_Total","2SLS_DXY",-144.227660819512,61.6542115904802,0.0200034597205502,-245.639814370947,-42.8155072680772,10.5613723473336,7.55248835444693e-20,98.0261501050207,4.41488675466046e-20,-250,-92,302
22,"Cred_Real_Total","OLS",-3.4187078796789,2.0701167331905,0.0997352853453605,-6.82374689648023,-0.0136688628775641,NA,NA,NA,NA,NA,NA,302
23,"Cred_Real_Total","2SLS_DXY",-144.761648427661,65.0964869743308,0.0269400877626538,-251.835841129188,-37.6874557261337,10.0654204406336,2.16494106122205e-19,95.1856290332538,1.31745411879877e-19,-250,-91,301
23,"Cred_Real_Total","OLS",-3.26236115543278,1.94678397592173,0.0948723871365071,-6.46453583911864,-0.0601864717469143,NA,NA,NA,NA,NA,NA,301
24,"Cred_Real_Total","2SLS_DXY",-136.568226100761,62.7581381154497,0.030365857704108,-239.79617720068,-33.3402750008422,10.7473895254922,2.01312661071429e-18,88.8566884233497,1.5095552316925e-18,-250,-87,300
24,"Cred_Real_Total","OLS",-2.92295849620765,2.18246832469614,0.181539573674844,-6.51279943579079,0.666882443375494,NA,NA,NA,NA,NA,NA,300
1,"Cred_Real_MN","2SLS_DXY",-18.510747182353,8.78897965943755,0.0359992423096525,-32.9673322523816,-4.05416211232447,8.30397726509481,0.00333253807788611,10.3277961563298,0.00144883751091371,-45,-9,323
1,"Cred_Real_MN","OLS",-1.71695766726268,0.788688383794024,0.0302388023515315,-3.01423461588077,-0.419680718644583,NA,NA,NA,NA,NA,NA,323
2,"Cred_Real_MN","2SLS_DXY",-31.4352689686963,13.5991912848738,0.0214619762070608,-53.8039480772278,-9.06658986016474,8.31139766358378,0.000100758946379583,17.6203219230197,3.533049430904e-05,-75,-17,322
2,"Cred_Real_MN","OLS",-2.34560690582023,0.92992960061509,0.0121611208326435,-3.87520498220149,-0.816008829438967,NA,NA,NA,NA,NA,NA,322
3,"Cred_Real_MN","2SLS_DXY",-47.0820299503708,18.7979048400991,0.012775671225311,-78.0018319056964,-16.1622279950453,8.36510148777841,2.16208407271641e-06,26.9229417550425,3.85521090023097e-07,-109,-27,321
3,"Cred_Real_MN","OLS",-4.02707652228186,1.23025792284523,0.00118406384949633,-6.05067072875962,-2.00348231580409,NA,NA,NA,NA,NA,NA,321
4,"Cred_Real_MN","2SLS_DXY",-65.7592065623699,24.1800872707306,0.00691031109444994,-105.531910809634,-25.9865023151056,8.35731523775875,5.16759576977545e-09,41.3349783240073,4.91944091086367e-10,-151,-40,320
4,"Cred_Real_MN","OLS",-5.48373781755631,1.48440316271488,0.00026118023101731,-7.92536374360613,-3.0421118915065,NA,NA,NA,NA,NA,NA,320
5,"Cred_Real_MN","2SLS_DXY",-91.0158293139452,33.2080068297979,0.006490818271617,-145.638139791768,-36.3935188361228,7.5127462902261,2.12598362388656e-12,59.6296735899615,1.6556352561457e-13,-225,-55,319
5,"Cred_Real_MN","OLS",-6.27533213691431,1.6779258929368,0.00021982539484746,-9.03527462766719,-3.51538964616142,NA,NA,NA,NA,NA,NA,319
6,"Cred_Real_MN","2SLS_DXY",-109.228387584368,38.5564608602113,0.0049203418678147,-172.648122072699,-45.8086530960368,7.68465563582629,1.60878445059215e-15,76.9739846855198,1.26672312959061e-16,-250,-67,318
6,"Cred_Real_MN","OLS",-6.18746477091755,1.82939868502234,0.000813067236966447,-9.1965578331168,-3.17837170871831,NA,NA,NA,NA,NA,NA,318
7,"Cred_Real_MN","2SLS_DXY",-129.404654418233,44.548180362009,0.00394499610630846,-202.679890460771,-56.1294183756938,7.72325087411818,2.60490535028644e-19,99.8670745440449,1.64460281581041e-20,-250,-80,317
7,"Cred_Real_MN","OLS",-6.68821259172784,1.81879497027724,0.000278819277689898,-9.67986409526946,-3.69656108818623,NA,NA,NA,NA,NA,NA,317
8,"Cred_Real_MN","2SLS_DXY",-148.57467943419,49.2596786974138,0.00277764978167668,-229.599640602095,-67.549718266285,7.78887790260175,2.82343813066562e-23,125.288133286038,1.46827367555138e-24,-250,-92,316
8,"Cred_Real_MN","OLS",-7.12254674431851,1.82100183352253,0.000113419140795999,-10.1178282148733,-4.12726527376369,NA,NA,NA,NA,NA,NA,316
9,"Cred_Real_MN","2SLS_DXY",-165.666347096512,52.3466922827511,0.0017107719110179,-251.768993756708,-79.5637004363166,8.08836512285508,1.27317067923799e-27,154.824813096019,5.87753861525602e-29,-250,-104,315
9,"Cred_Real_MN","OLS",-7.27967321979985,1.82976584125072,8.69597969635515e-05,-10.289370200253,-4.2699762393467,NA,NA,NA,NA,NA,NA,315
10,"Cred_Real_MN","2SLS_DXY",-180.522250038452,56.3810419838408,0.00151221269085884,-273.260811436876,-87.7836886400287,8.07242399456904,1.57184731770849e-30,176.13177118676,6.10464094101063e-32,-250,-113,314
10,"Cred_Real_MN","OLS",-7.80880941444728,1.96100520189413,8.57904392317285e-05,-11.0343759332536,-4.58324289564102,NA,NA,NA,NA,NA,NA,314
11,"Cred_Real_MN","2SLS_DXY",-196.976484512064,62.574123733355,0.0018105693483558,-299.901758888183,-94.0512101359448,8.05717177908613,1.91008103834167e-32,190.686733185266,6.86052748059584e-34,-250,-124,313
11,"Cred_Real_MN","OLS",-8.37148682349546,2.20253043269945,0.000174747511541687,-11.9943269941921,-4.74864665279878,NA,NA,NA,NA,NA,NA,313
12,"Cred_Real_MN","2SLS_DXY",-208.766928020815,66.4512115769358,0.00184886144046591,-318.069444398457,-99.4644116431722,8.00879700619749,9.11367492681528e-34,200.734310207252,3.43299923318498e-35,-250,-131,312
12,"Cred_Real_MN","OLS",-8.50599082537813,2.23350838835512,0.000169875300235783,-12.1797851987906,-4.83219645196569,NA,NA,NA,NA,NA,NA,312
13,"Cred_Real_MN","2SLS_DXY",-220.521067737397,72.8380565151301,0.0026816409126541,-340.329009176406,-100.713126298389,7.86857428204849,1.9166356056842e-35,213.803655573934,7.60212449119662e-37,-250,-138,311
13,"Cred_Real_MN","OLS",-8.55415732092627,2.32712051330627,0.000281233598444352,-12.3819299375913,-4.72638470426128,NA,NA,NA,NA,NA,NA,311
14,"Cred_Real_MN","2SLS_DXY",-223.444929002246,74.3889700332909,0.00289466705012467,-345.803896166689,-101.085961837803,7.94855986464657,8.07245817896642e-36,216.730669973735,3.45542106676405e-37,-250,-140,310
14,"Cred_Real_MN","OLS",-8.42384675888722,2.41075451675477,0.000548018389889917,-12.3891850694609,-4.4585084483135,NA,NA,NA,NA,NA,NA,310
15,"Cred_Real_MN","2SLS_DXY",-225.297978317114,76.6232721091142,0.00353802296134675,-351.33204535468,-99.263911279548,7.94281242618303,9.55972303370693e-36,215.849222890584,4.75690639440431e-37,-250,-141,309
15,"Cred_Real_MN","OLS",-8.14160319018887,2.4382434676935,0.000948370710769113,-12.1521568014153,-4.13104957896248,NA,NA,NA,NA,NA,NA,309
16,"Cred_Real_MN","2SLS_DXY",-224.247009832217,78.4941901291544,0.00458370712219163,-353.358463160775,-95.1355565036592,7.7948182052367,3.52827525260538e-34,203.232883149556,2.05278514765454e-35,-250,-140,308
16,"Cred_Real_MN","OLS",-7.94284111635254,2.39499105000474,0.00102617701429286,-11.8822508314691,-4.00343140123594,NA,NA,NA,NA,NA,NA,308
17,"Cred_Real_MN","2SLS_DXY",-225.369687211194,82.5409696343967,0.00670895354441779,-361.137500486423,-89.6018739359656,7.30456086013256,7.58609370244905e-32,185.122652839841,5.19363761765201e-33,-250,-139,307
17,"Cred_Real_MN","OLS",-7.86182802798837,2.24638683120816,0.000538069261581868,-11.5568055548371,-4.1668505011396,NA,NA,NA,NA,NA,NA,307
18,"Cred_Real_MN","2SLS_DXY",-217.857968837397,82.2419344301924,0.00851267752277757,-353.133912972404,-82.58202470239,7.38478037672843,1.13443489210239e-30,176.598232189707,7.71572329385273e-32,-250,-134,306
18,"Cred_Real_MN","OLS",-7.83367469617153,2.21497472694309,0.00047108081632477,-11.4769839093897,-4.19036548295334,NA,NA,NA,NA,NA,NA,306
19,"Cred_Real_MN","2SLS_DXY",-216.14540618434,88.2504220097443,0.0149059577822277,-361.304432907066,-70.9863794616145,7.0182765918866,1.61042088742761e-28,160.333332024338,1.44133242956646e-29,-250,-132,305
19,"Cred_Real_MN","OLS",-7.37042968545851,2.05268784056052,0.000387076891465034,-10.7468007250037,-3.99405864591335,NA,NA,NA,NA,NA,NA,305
20,"Cred_Real_MN","2SLS_DXY",-206.197672139307,87.9992058156214,0.0197960231215418,-350.943484993981,-61.4518592846332,7.17950040284053,2.65866135524515e-26,145.025159244922,2.33938847114273e-27,-250,-126,304
20,"Cred_Real_MN","OLS",-7.51799175637682,1.9957462382451,0.000200081250893023,-10.800702194829,-4.23528131792461,NA,NA,NA,NA,NA,NA,304
21,"Cred_Real_MN","2SLS_DXY",-205.71264105141,95.4431212461356,0.0319606724887232,-362.702605200685,-48.7226769021343,6.60292682058513,2.48645743104792e-24,130.227128808071,3.78042742231844e-25,-250,-123,303
21,"Cred_Real_MN","OLS",-6.29082721582248,1.91330545417701,0.00113396978799417,-9.43793463159157,-3.14371980005339,NA,NA,NA,NA,NA,NA,303
22,"Cred_Real_MN","2SLS_DXY",-195.804222598281,94.7728254659285,0.0397190098771409,-351.691648302353,-39.9167968942099,6.66852193396614,1.49807398476173e-22,118.388608442129,2.51797228487736e-23,-250,-117,302
22,"Cred_Real_MN","OLS",-6.06063637183619,1.71455717595153,0.000475264444317209,-8.88083196131573,-3.24044078235665,NA,NA,NA,NA,NA,NA,302
23,"Cred_Real_MN","2SLS_DXY",-189.371442104681,96.9509912991063,0.0517591668940243,-348.841631779557,-29.9012524298054,6.23308307006333,7.51197579209354e-20,100.944496203893,1.50801830266374e-20,-250,-111,301
23,"Cred_Real_MN","OLS",-5.80002514985728,1.47651369652438,0.000107277954759907,-8.22867405882893,-3.37137624088563,NA,NA,NA,NA,NA,NA,301
24,"Cred_Real_MN","2SLS_DXY",-169.396040950096,88.1223467445595,0.0555634379639082,-314.34440260836,-24.4476792918322,6.80471875303663,4.00463368993077e-17,84.2673931396854,8.96313127146872e-18,-250,-101,300
24,"Cred_Real_MN","OLS",-5.58594049261842,1.57991122242532,0.000474392681253577,-8.18466319708604,-2.9872177881508,NA,NA,NA,NA,NA,NA,300
