"horizon","variable","coef","se","p_value","ci_lower","ci_upper","n_obs"
17,"d_ToT",-0.163711990205955,0.0542305248271372,0.00276007937669905,-0.252913265659353,-0.0745107147525566,307
17,"FCI_x_ToT",-0.176341042919159,0.0755628286088715,0.0202852795611116,-0.300630835619174,-0.0520512502191444,307
18,"FCI_ENDO_exCredit_exTCN_AVG",-4.35886997915746,1.96283108143503,0.0271355676194687,-7.58743980254895,-1.13030015576597,306
18,"d_ToT",-0.168521368596626,0.0541233114478093,0.00203056986247543,-0.257546293734179,-0.079496443459073,306
18,"FCI_x_ToT",-0.162529674460754,0.0733748901632032,0.0275250622204694,-0.283220628672864,-0.0418387202486432,306
19,"FCI_ENDO_exCredit_exTCN_AVG",-4.04675786818337,1.84346470912207,0.0289368126469032,-7.07898748113985,-1.01452825522689,305
19,"d_ToT",-0.173670724220656,0.0558996774215956,0.00207715167118544,-0.265617511372985,-0.0817239370683272,305
19,"FCI_x_ToT",-0.152055440279354,0.0740180882872553,0.04083647505101,-0.27380436125866,-0.0303065193000476,305
20,"FCI_ENDO_exCredit_exTCN_AVG",-3.9344167550736,1.83546061260117,0.0328970818329391,-6.9534808008372,-0.915352709310001,304
20,"d_ToT",-0.177239549224647,0.0556994097674891,0.00162045288238416,-0.268856925399758,-0.0856221730495361,304
20,"FCI_x_ToT",-0.14625965047806,0.0715922598649694,0.0419577991364044,-0.264018438778608,-0.0285008621775133,304
21,"FCI_ENDO_exCredit_exTCN_AVG",-2.96043801959783,1.75485136090549,0.0926782352772267,-5.84691164534396,-0.0739643938517043,303
21,"d_ToT",-0.181776318976426,0.0533951358119291,0.000756690747284302,-0.269603501778244,-0.0939491361746081,303
21,"FCI_x_ToT",-0.14514021745441,0.0669754108907499,0.0310436486830801,-0.255304964974625,-0.034975469934195,303
22,"FCI_ENDO_exCredit_exTCN_AVG",-2.28421527129058,1.68419858269004,0.176074324262585,-5.05447541853482,0.486044875953659,302
22,"d_ToT",-0.178780809237331,0.0482444782081927,0.000252562153790598,-0.258135914198458,-0.0994257042762038,302
22,"FCI_x_ToT",-0.129445584104835,0.060097914040783,0.0320738521017724,-0.228297855987035,-0.0305933122226353,302
23,"FCI_ENDO_exCredit_exTCN_AVG",-2.54034695569804,1.6620861314288,0.127508620880921,-5.27423535728445,0.193541445888369,301
23,"d_ToT",-0.181202819743171,0.0449903952140506,7.21409347870227e-05,-0.255205434488983,-0.10720020499736,301
23,"FCI_x_ToT",-0.117410357135557,0.0549021267378663,0.0333142136243858,-0.207716319427686,-0.0271043948434281,301
24,"FCI_ENDO_exCredit_exTCN_AVG",-2.29262450307892,1.98395615564213,0.248813193765714,-5.55594198139957,0.97069297524174,300
24,"d_ToT",-0.181030831020923,0.0423103752572787,2.56479539391989e-05,-0.250625205220536,-0.111436456821311,300
24,"FCI_x_ToT",-0.10222024129855,0.0500681896508757,0.0421034366747956,-0.184575084640687,-0.0198653979564132,300
