"horizon","coef_base","se_base","p_base","ci_base_lo","ci_base_hi","coef_regime1","se_regime1","ci_regime1_lo","ci_regime1_hi","coef_interact","se_interact","p_interact","n_obs","analysis","type","regime","coef","se","p_value","ci_lower","ci_upper"
12,0.0426639644532699,0.00725369152774173,1.00365649514447e-08,0.0307327036350768,0.0545952252714631,0.00898774911635568,0.0041077811633346,0.00223105037112182,0.0157444478615895,-0.0336762153369142,0.00563427419772233,5.94235115294108e-09,334,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
13,0.0456508341129254,0.00767615333203735,7.02896409118978e-09,0.0330246854636881,0.0582769827621626,0.00953645463920703,0.00452686520250069,0.00209042399215336,0.0169824852862607,-0.0361143794737183,0.00588359410335735,2.42293456705856e-09,333,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
14,0.0471652284857584,0.00811268389772717,1.45961444622014e-08,0.0338210509522711,0.0605094060192458,0.00913198490269709,0.00496774177417432,0.000960776827688128,0.0173031929777061,-0.0380332435830614,0.00611579578327243,1.53837071443856e-09,332,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
15,0.0495827053732546,0.00833925882748038,7.12211632205455e-09,0.0358658452447864,0.0632995655017227,0.0096619318833216,0.00509676154203062,0.00127850517520576,0.0180453585914374,-0.039920773489933,0.00626155287289045,6.27392651709814e-10,331,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
16,0.0500949892556977,0.00845461226141241,7.99463321164573e-09,0.0361883896130452,0.0640015888983503,0.00806288236946465,0.00550866438475558,-0.000998064223458956,0.0171238289623883,-0.0420321068862331,0.00629577609417782,1.06983729779456e-10,330,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
17,0.0505357739970821,0.00876556846516416,1.9103128602201e-08,0.0361176969148654,0.0649538510792988,0.00721556916397481,0.00609167305515257,-0.00280434135499545,0.0172354796829451,-0.0433202048331073,0.00626365692010031,2.50699004641877e-11,329,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
18,0.0541476285014708,0.00883253885854178,2.56927421427188e-09,0.0396193949248085,0.068675862078133,0.00915079668979866,0.0066391397308919,-0.0017696163763965,0.0200712097559938,-0.0449968318116721,0.00618426127386122,2.65646800336093e-12,328,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
19,0.0542673914635363,0.008479309958242,5.52343900094801e-10,0.0403201677246763,0.0682146152023964,0.00782402999470837,0.00650960297651276,-0.00288331407122274,0.0185313740606395,-0.046443361468828,0.00616839797895044,5.24319067247739e-13,327,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
20,0.0528286100854455,0.0080330196708005,1.97074629084003e-10,0.0396154685445568,0.0660417516263342,0.00537291389575317,0.00626280962293076,-0.00492849122743107,0.0156743190189374,-0.0474556961896923,0.00621230313015463,2.5767495125032e-13,326,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
21,0.0533518777087615,0.00724779960406174,1.57129590816068e-12,0.0414303082426031,0.0652734471749199,0.00475982128443884,0.00562809318940791,-0.00449756821097964,0.0140172107798573,-0.0485920564243226,0.00627591191840529,1.31053676310738e-13,325,"IT_NPL","interaction",NA,NA,NA,NA,NA,NA
