"proxy","response","horizon","ci_lower","ci_upper","n_boot_valid"
"VIX","IMAEP_yoy",21,-0.734180615504207,0.936441817125474,500
"VIX","IMAEP_yoy",22,-0.597176252832136,0.827944599038224,500
"VIX","IMAEP_yoy",23,-0.563377909179315,0.842284925825529,500
"VIX","IMAEP_yoy",24,-0.536946174662403,0.743351034628566,500
"VIX","IPC_yoy",0,-14.4889544832332,12.1674089153786,500
"VIX","IPC_yoy",1,-13.6602823133279,12.4383363398277,500
"VIX","IPC_yoy",2,-13.7233390852763,11.8702901989803,500
"VIX","IPC_yoy",3,-12.9961085132653,10.9090212745071,500
"VIX","IPC_yoy",4,-11.6861547382682,9.86762264488387,500
"VIX","IPC_yoy",5,-10.424543846419,8.88144079835361,500
"VIX","IPC_yoy",6,-9.24423120404435,7.96357411916759,500
"VIX","IPC_yoy",7,-8.23943074265944,7.00905440744957,500
"VIX","IPC_yoy",8,-7.40439382838963,6.01084709199935,500
"VIX","IPC_yoy",9,-6.55575939891112,5.37482845156472,500
"VIX","IPC_yoy",10,-5.68826855294328,4.81633160910819,500
"VIX","IPC_yoy",11,-4.86635603104854,4.26471207720764,500
"VIX","IPC_yoy",12,-4.17042983875021,3.8343805927642,500
"VIX","IPC_yoy",13,-3.58501957425257,3.35379536227402,500
"VIX","IPC_yoy",14,-3.04541621593929,2.91870071138546,500
"VIX","IPC_yoy",15,-2.72003811017728,2.52434386938029,500
"VIX","IPC_yoy",16,-2.44548413081495,2.19840800133833,500
"VIX","IPC_yoy",17,-2.24805855023395,1.95496364287485,500
"VIX","IPC_yoy",18,-2.11716829319999,1.62647567504063,500
"VIX","IPC_yoy",19,-1.91238855376533,1.3665975175459,500
"VIX","IPC_yoy",20,-1.68505830464688,1.18837675211404,500
"VIX","IPC_yoy",21,-1.48099841985354,1.1901073306534,500
"VIX","IPC_yoy",22,-1.29785826863315,1.15571936915902,500
"VIX","IPC_yoy",23,-1.16808100521366,0.961616626956672,500
"VIX","IPC_yoy",24,-0.983341028062721,0.783410811836638,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",0,-0.166832562865212,0.166833509003833,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",1,-0.214096958318164,0.256224059578525,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",2,-0.272626550231755,0.306738864379232,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",3,-0.328110240319058,0.379472568760087,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",4,-0.362508716519462,0.432849678981085,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",5,-0.381909970102853,0.461662914243489,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",6,-0.411912522023731,0.480013282559113,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",7,-0.423785266035164,0.560927808358885,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",8,-0.451224603980871,0.575444615894338,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",9,-0.472765553302907,0.592832011893788,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",10,-0.488611154367416,0.607253125797414,500
"GFC_PCA","FCI_ENDO_exCredit_AVG",11,-0.496995176342052,0.619124656635977,500
