"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side"
2,-2.00454651821228,1.09585919774173,-1.82920079727679,0.0703495142413643,-3.8070744942459,-0.202018542178662,111,0.173500679609922,"PIB","GDP","Supply"
3,-1.53411205684472,0.908475024055667,-1.6886672899339,0.0944307530884619,-3.02842049515751,-0.0398036185319268,110,0.134735100721764,"PIB","GDP","Supply"
4,-0.85204167157864,0.889741403698126,-0.957628439046683,0.340606674187429,-2.3155360465004,0.611452703343115,109,0.0782249178732481,"PIB","GDP","Supply"
5,2.24175509977932,1.00034726354387,2.24097689020269,0.0273080499966781,0.596330275128198,3.88717992443043,108,0.10653581576362,"PIB","GDP","Supply"
6,0.501452680610649,0.864678009801276,0.579929956500102,0.563320484740322,-0.920816079956159,1.92372144117746,107,0.0990770258976106,"PIB","GDP","Supply"
7,0.868685344484415,1.04314323226608,0.832757494478798,0.407070181308903,-0.847132584538327,2.58450327350716,106,0.147600141893852,"PIB","GDP","Supply"
8,0.940899538682938,0.666541953844677,1.4116133774562,0.161365429201983,-0.155464411613799,2.03726348897967,105,0.204677305123793,"PIB","GDP","Supply"
1,-1.66852422849581,1.24731234061817,-1.33769559889778,0.184000066686606,-3.72017045590293,0.383121998911307,112,0.218420231323099,"PIB_exAgri","GDP ex-Agriculture","Supply"
2,-1.70944527112874,1.03082839391085,-1.65832187125084,0.100386170739597,-3.40500709361757,-0.0138834486399133,111,0.186432601082043,"PIB_exAgri","GDP ex-Agriculture","Supply"
3,-1.51413356136741,0.804269963845388,-1.88261856022574,0.062688348202519,-2.83703992844663,-0.1912271942882,110,0.157828414360971,"PIB_exAgri","GDP ex-Agriculture","Supply"
4,-1.22488303547233,0.88956494215238,-1.37694616483943,0.171666209522193,-2.68808715698054,0.238321086035893,109,0.102367207163909,"PIB_exAgri","GDP ex-Agriculture","Supply"
5,1.58701425430061,0.939921078797927,1.68845479700301,0.0945365048410882,0.0409816587916982,3.13304684980952,108,0.137069139342604,"PIB_exAgri","GDP ex-Agriculture","Supply"
6,-0.313044498812178,0.808186240577392,-0.387342029714004,0.699360424632302,-1.64239256787818,1.01630357025382,107,0.12872553797908,"PIB_exAgri","GDP ex-Agriculture","Supply"
7,0.389927119046323,0.90830871606185,0.429289196669749,0.668684793819243,-1.10410776695965,1.88396200505229,106,0.150681472391375,"PIB_exAgri","GDP ex-Agriculture","Supply"
8,0.716966288017021,0.540946178493065,1.32539301786788,0.188253204465128,-0.172810995662835,1.60674357169688,105,0.184375676832102,"PIB_exAgri","GDP ex-Agriculture","Supply"
1,-1.68068224519477,1.37774511968713,-1.21987893201642,0.225351617445759,-3.94687130232683,0.585506811937288,112,0.134866411496996,"Consumo_Privado","Private Consumption","Demand"
2,-2.02604568951438,0.909007853096213,-2.22885389011038,0.0280620330500915,-3.52123055360705,-0.530860825421701,111,0.177935812249379,"Consumo_Privado","Private Consumption","Demand"
3,-1.9809503943447,0.81706994134048,-2.42445633368272,0.0171449378131191,-3.32491085083161,-0.636989937857784,110,0.13990071940548,"Consumo_Privado","Private Consumption","Demand"
4,-0.422219594830266,0.897759346179132,-0.470303758604391,0.639182997840002,-1.89890231152259,1.05446312186206,109,0.0934734462514343,"Consumo_Privado","Private Consumption","Demand"
5,1.55819753915731,0.80090550354164,1.94554480181107,0.0546042595876711,0.24082521681145,2.87556986150317,108,0.107798062251377,"Consumo_Privado","Private Consumption","Demand"
6,0.977785428097032,0.66586208638473,1.46845037146637,0.145251038893005,-0.117460239742365,2.07303109593643,107,0.0634876512350536,"Consumo_Privado","Private Consumption","Demand"
7,1.83097688881995,1.00726466553781,1.81777138766438,0.0722510383028505,0.174173950410032,3.48777982722988,106,0.135877925617981,"Consumo_Privado","Private Consumption","Demand"
8,0.738575870892429,0.874924800885026,0.844159258196049,0.400723671843588,-0.7005473611531,2.17769910293796,105,0.23464831938812,"Consumo_Privado","Private Consumption","Demand"
1,-2.90875157646016,1.1528947713292,-2.52299832456227,0.0131959520189504,-4.80509472257437,-1.01240843034594,112,0.285556718924018,"Consumo_Publico","Public Consumption","Demand"
2,-1.18554767343025,1.31834330353239,-0.899270827449631,0.370668762288096,-3.35402943781268,0.982934090952182,111,0.261134574884308,"Consumo_Publico","Public Consumption","Demand"
3,-1.58904951495213,1.59696949966196,-0.995040616172375,0.322142376554335,-4.21583058860199,1.03773155869773,110,0.253835763233408,"Consumo_Publico","Public Consumption","Demand"
4,-4.42119888987683,2.04718490438137,-2.15964805153389,0.0332396249893164,-7.78851840488883,-1.05387937486482,109,0.191685782633706,"Consumo_Publico","Public Consumption","Demand"
5,-3.18503394715515,1.50940794663894,-2.11012135867404,0.0374211157916445,-5.66778908273358,-0.702278811576718,108,0.138545216533925,"Consumo_Publico","Public Consumption","Demand"
6,-3.12893075486303,1.2424197036409,-2.51841688094105,0.0134421321738137,-5.17252931059274,-1.08533219913332,107,0.145332236177683,"Consumo_Publico","Public Consumption","Demand"
7,-1.69683349978255,1.5947494374357,-1.06401260282681,0.290020037735584,-4.31996289602749,0.926295896462382,106,0.0779753309391147,"Consumo_Publico","Public Consumption","Demand"
8,0.68503542942946,1.33204247394163,0.514274464088506,0.608267083802528,-1.50597946508684,2.87605032394576,105,0.0902863590242201,"Consumo_Publico","Public Consumption","Demand"
1,-7.91026902526181,2.57691059921481,-3.06967150031208,0.00275241697814593,-12.14890977071,-3.67162827981365,112,0.309183381152253,"FBCF","Investment (GFCF)","Demand"
2,-8.32665201128977,2.59309276065386,-3.21108914329396,0.0017787631327515,-12.5919100436729,-4.06139397890667,111,0.357403006317261,"FBCF","Investment (GFCF)","Demand"
3,-5.91776612946972,2.26442170843111,-2.613367513408,0.0103634573932282,-9.64240838953028,-2.19312386940916,110,0.282006921987749,"FBCF","Investment (GFCF)","Demand"
4,-1.8011173766695,2.47555068282331,-0.727562311354244,0.468616217380415,-5.87303589601361,2.27080114267461,109,0.168983172246024,"FBCF","Investment (GFCF)","Demand"
5,2.54126794466639,3.0333063518179,0.837788093228163,0.404209304984521,-2.44807700977621,7.530612899109,108,0.161276292968054,"FBCF","Investment (GFCF)","Demand"
6,-0.899150051183982,2.78316249776969,-0.32306775184867,0.747346572529367,-5.47704498003578,3.67874487766781,107,0.122834289987034,"FBCF","Investment (GFCF)","Demand"
7,0.438156953062568,1.93008374418663,0.227014477678644,0.820900284905986,-2.73654829388288,3.61286220000802,106,0.100698774914811,"FBCF","Investment (GFCF)","Demand"
8,3.1805109099109,1.83618934137449,1.73212578803562,0.0865313055719825,0.160248211981435,6.20077360784037,105,0.11801579552669,"FBCF","Investment (GFCF)","Demand"
1,0.796474805717624,3.36099187687887,0.236976117436278,0.813155306405828,-4.73186487312101,6.32481448455626,112,0.0996620854515978,"Exportaciones","Exports","Demand"
2,0.288662559903495,3.2817646148242,0.0879595564531244,0.930084725465175,-5.10935986959109,5.68668498939808,111,0.172016007953676,"Exportaciones","Exports","Demand"
