"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","sample","fci_variant","fci_col","comparison_to"
13,-8.33178961642027,3.02101964685957,0.00614889248537128,-13.3009247396489,-3.36265449319165,333,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
14,-8.2091894163787,3.08487485398928,0.00817998589617205,-13.2833570086544,-3.13502182410304,332,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
15,-7.03308010425341,2.94232146048783,0.017411870312204,-11.872768230194,-2.19339197831285,331,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
16,-5.41778646657002,2.86293124950302,0.0593441024119944,-10.1268893160278,-0.708683617112276,330,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
17,-4.44773583716058,2.81800621354117,0.115484653038028,-9.08294357827556,0.1874719039544,329,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
18,-3.1602571417638,2.93079196472835,0.281722128009966,-7.98098093478746,1.66046665125985,328,"Full Sample","ENDO_exCredit (baseline)","FCI_ENDO_exCredit_AVG","N/A"
1,0.78744565148926,0.761649791543319,0.301945682471221,-0.4653567705976,2.04024807357612,345,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
2,0.151076335561363,1.12355275224632,0.893117655906366,-1.6970034840423,1.99915615516502,344,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
3,0.208538161058384,1.41118759004491,0.882610092238246,-2.11265886473589,2.52973518685266,343,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
4,-0.0723224110872985,1.73197993033958,0.966717533017402,-2.92117588131351,2.77653105913891,342,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
5,-0.123880420053521,1.86337416832717,0.947034526559744,-3.18885817919414,2.9410973390871,341,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
6,0.287160858369683,1.92492929666859,0.881503041078064,-2.87906607688079,3.45338779362016,340,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
7,-0.74840037324704,1.85946021075772,0.687591068826724,-3.80694024508382,2.31013949858974,339,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
8,-1.68699162362472,1.76703816170272,0.340434561976257,-4.5935107528631,1.21952750561366,338,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
9,-2.02003033877922,1.8226974041445,0.268564687780875,-5.01810077482134,0.978040097262905,337,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
10,-1.49443033670664,1.90429887164839,0.433162020607269,-4.62672324253708,1.63786256912381,336,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
11,-1.87029350886833,2.08088217771253,0.369427531300759,-5.29304010613746,1.5524530884008,335,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
12,-2.68056223298434,2.08634520461295,0.199778448406336,-6.11229470986476,0.75117024389608,334,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
13,-2.77182229323064,1.97637358801721,0.161735642304956,-6.02266755769184,0.479022971230563,333,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
14,-2.39563367233016,1.82544079981187,0.190336633628426,-5.39821659268592,0.606949248025589,332,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
15,-2.81136822078024,1.64272560984441,0.0879754224426876,-5.51341139821888,-0.109325043341594,331,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
16,-3.02530550445886,1.65274330060857,0.068111767394009,-5.74382631688462,-0.30678469203311,330,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
17,-2.7700346299695,1.79057634160002,0.122856072457809,-5.71527061978378,0.175201359844782,329,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
18,-2.70541203952759,1.90748159136476,0.157080792123953,-5.84294005342707,0.432115974371899,328,"Full Sample","EXO (baseline)","FCI_EXO_AVG","N/A"
1,-1.44265585290239,0.5854245003521,0.0147728581030937,-2.40559346561279,-0.479718240191984,173,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
2,-1.48547489564861,0.646400237204573,0.0228443468394884,-2.54870867027684,-0.422241121020377,172,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
3,-1.90026048407928,0.871884853286713,0.0307576084829452,-3.33438344729198,-0.466137520866574,171,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
4,-2.75701280925046,1.01126834647681,0.00712392743634022,-4.42040121677406,-1.09362440172687,170,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
5,-2.80940596796389,1.03426720158791,0.00733671820435793,-4.51062412573271,-1.10818781019508,169,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
6,-2.59658191348856,1.0470412924823,0.014196839173927,-4.31881158099603,-0.874352245981088,168,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
7,-3.42684849797026,1.19094380271611,0.00457146715719543,-5.38577673136323,-1.4679202645773,167,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
8,-3.59640243149832,1.14934934610517,0.00209556051995797,-5.48691387207371,-1.70589099092293,166,"Post-IT","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
