"horizon","coef_tpm","se_tpm","p_tpm","coef_fci","se_fci","p_fci","coef_interact","se_interact","p_interact","ci_interact_lo","ci_interact_hi","n_obs","r_squared","target_var","fci_type","tpm_change"
7,0.0618153234296432,0.0681576462061711,0.365092992596928,0.572428870518872,1.01996668307545,0.575024055456188,0.125046564972318,0.0765313107223756,0.103222075189206,-0.000836239044731846,0.250929368989367,339,0.279321003899975,"IPC_yoy","FCI_COMP","YoY"
8,0.0651937739998494,0.0713330657363717,0.361416333179481,0.370305723397849,0.981261214251237,0.70613506967049,0.128183143411597,0.0828920878887648,0.122966965443082,-0.008162207997818,0.264528494821012,338,0.237910385445845,"IPC_yoy","FCI_COMP","YoY"
9,0.0570777998659394,0.0753357651155661,0.449203929692177,0.188742686515012,0.989426751447129,0.848831215723403,0.150339342632473,0.0872691760391627,0.0858781182167776,0.00679432190339008,0.293884363361557,337,0.207988048138161,"IPC_yoy","FCI_COMP","YoY"
10,0.053442338009206,0.081134716575908,0.510557839974799,0.251989820616301,0.967714850975563,0.794720632272916,0.164134814794127,0.0884934422345956,0.0645238528294357,0.0185760553731316,0.309693574215122,336,0.159029672554412,"IPC_yoy","FCI_COMP","YoY"
11,0.0696433971076523,0.0889098243367237,0.434013989149762,-0.183558205717819,0.972727979389246,0.850441080059951,0.167339377751627,0.0898134436294305,0.0633293505918039,0.0196094092487564,0.315069346254497,335,0.111693175171727,"IPC_yoy","FCI_COMP","YoY"
12,0.0785050796207264,0.0963790876552973,0.415925748450225,-1.0398376865865,0.955420342271395,0.277239358770355,0.152328184679051,0.090065490805104,0.0917313868536307,0.00418363546511091,0.30047273389299,334,0.106374865828931,"IPC_yoy","FCI_COMP","YoY"
13,0.0786420584651029,0.104371433612633,0.451703791857644,-1.5310035253566,0.953460784415946,0.109300762529933,0.141631017389902,0.0895975020168529,0.114905518854415,-0.00574375876831074,0.289005793548114,333,0.100405141628643,"IPC_yoy","FCI_COMP","YoY"
14,0.0775889690101593,0.111027377199094,0.485159702860135,-1.43678967672177,0.885846028780998,0.105785717311572,0.143603871193765,0.0907768167246512,0.114634920707194,-0.0057107050388861,0.292918447426417,332,0.0979733640967477,"IPC_yoy","FCI_COMP","YoY"
15,0.0787430401890108,0.117308821408681,0.502542294281025,-1.4763970136309,0.848576628360482,0.0828347267193082,0.133638701495751,0.0925077621955805,0.149530600984284,-0.0185230266728139,0.285800429664316,331,0.0912938143866397,"IPC_yoy","FCI_COMP","YoY"
16,0.0780120690883954,0.122429074531706,0.524444559189796,-1.63806411575517,0.840156899153682,0.0520754742692078,0.117657327017099,0.096217219865164,0.222285281745512,-0.0406059160533027,0.275920570087501,330,0.0801638466354763,"IPC_yoy","FCI_COMP","YoY"
17,0.0759969546744141,0.124841699622281,0.543121644571524,-1.69416196502417,0.826631664728895,0.0412254172685057,0.101696386888023,0.0989012216324987,0.304598288597385,-0.0609816462241243,0.264374420000169,329,0.0691216662087462,"IPC_yoy","FCI_COMP","YoY"
18,0.065449081830344,0.126111644357779,0.60413416772065,-1.60290442997246,0.801186064525198,0.0462703928063847,0.101341741628357,0.103386325896061,0.327713822057658,-0.0687136314989653,0.27139711475568,328,0.0621973487057045,"IPC_yoy","FCI_COMP","YoY"
19,0.0495670690081469,0.121643491952768,0.683929271816599,-1.63381809769057,0.783189258976183,0.0377603811892599,0.108167950680337,0.104785903293513,0.302722472223383,-0.0641895224053837,0.280525423766057,327,0.055860792598199,"IPC_yoy","FCI_COMP","YoY"
20,0.0261169285370345,0.116268376054006,0.822413859023878,-1.3334305530372,0.817238281325272,0.103744210390014,0.102758565410448,0.111266687271975,0.356427026252457,-0.0802588487077348,0.285775979528631,326,0.0461458003672102,"IPC_yoy","FCI_COMP","YoY"
