"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
5,-0.971790542820819,1.43298121533313,-0.678160001277412,0.499284843688552,-3.32883489221484,1.3852538065732,108,0.121170208221584,"Ganaderia_fp","Livestock+","Supply","FCI_EXO","Exogenous (External)"
6,0.618803862528587,0.869001385963615,0.712086162949452,0.478138420147212,-0.810576218999521,2.0481839440567,107,0.169349907073731,"Ganaderia_fp","Livestock+","Supply","FCI_EXO","Exogenous (External)"
7,0.524053612624064,1.39873631717001,0.374662190572385,0.708746768351249,-1.77666289182176,2.82477011706989,106,0.175058847980672,"Ganaderia_fp","Livestock+","Supply","FCI_EXO","Exogenous (External)"
8,-0.9386029470378,1.26794581509633,-0.740254777343533,0.460990375742061,-3.02418821977694,1.14698232570134,105,0.159536713351991,"Ganaderia_fp","Livestock+","Supply","FCI_EXO","Exogenous (External)"
1,-2.60657308968999,1.4920206455162,-1.7470087277433,0.0836755764105653,-5.06072865995379,-0.1524175194262,112,0.198524083929754,"Manufactura","Manufacturing","Supply","FCI_ENDO","Endogenous (Domestic)"
2,-1.08786355925581,1.33006832430073,-0.817900508853745,0.415358594958539,-3.27563126657513,1.0999041480635,111,0.236615842783776,"Manufactura","Manufacturing","Supply","FCI_ENDO","Endogenous (Domestic)"
3,-1.67350191201734,1.40803625161294,-1.18853609777468,0.237465529545829,-3.98951544736204,0.642511623327361,110,0.194411946219184,"Manufactura","Manufacturing","Supply","FCI_ENDO","Endogenous (Domestic)"
4,0.681273392416209,1.29652919174094,0.525459354680181,0.600450807462103,-1.45132735106733,2.81387413589975,109,0.109561062415436,"Manufactura","Manufacturing","Supply","FCI_ENDO","Endogenous (Domestic)"
5,2.07194232598668,1.21974817327991,1.6986640122733,0.0925879630490104,0.0656351191997908,4.07824953277356,108,0.192748932857427,"Manufactura","Manufacturing","Supply","FCI_ENDO","Endogenous (Domestic)"
6,0.911351526846151,1.23019612410456,0.740818076881448,0.460611949336168,-1.11214102974888,2.93484408344118,107,0.174902428695461,"Manufactura","Manufacturing","Supply","FCI_ENDO","Endogenous (Domestic)"
7,1.16321115462943,1.24180585481232,0.936709349631177,0.351283278673817,-0.879377709628177,3.20580001888704,106,0.173462852935984,"Manufactura","Manufacturing","Supply","FCI_ENDO","Endogenous (Domestic)"
8,1.36807490288849,1.0790734906577,1.26782366051329,0.207992367404756,-0.406843041967009,3.142992847744,105,0.158248328722518,"Manufactura","Manufacturing","Supply","FCI_ENDO","Endogenous (Domestic)"
1,-1.87533034050256,0.770075846430467,-2.43525407165448,0.0166342545678434,-3.14199238953144,-0.608668291473686,112,0.252047248436084,"Manufactura","Manufacturing","Supply","FCI_EXO","Exogenous (External)"
