"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","fci_type"
9,-3.7151200373222,1.91751114203166,0.0545178416815826,-6.86914519401284,-0.561094880631565,165,"Cred_USD","FCI_exCredit"
10,-5.9580610120123,1.90392434024073,0.00209836902262499,-9.08973786849845,-2.82638415552614,164,"Cred_USD","FCI_exCredit"
11,-5.8909139111474,1.98975300905677,0.0035631338445879,-9.16376636483203,-2.61806145746278,163,"Cred_USD","FCI_exCredit"
12,-7.23758646440734,2.49630955673303,0.00429790058110832,-11.3436502927933,-3.13152263602139,162,"Cred_USD","FCI_exCredit"
13,-8.37591416149721,2.78398014884808,0.00307902904989692,-12.9551540066909,-3.79667431630356,161,"Cred_USD","FCI_exCredit"
14,-6.79404842087141,3.25455910092628,0.0385408989415511,-12.1473217621579,-1.4407750795849,160,"Cred_USD","FCI_exCredit"
15,-7.11503273588057,3.54816845872123,0.0467573919064182,-12.951250494243,-1.27881497751814,159,"Cred_USD","FCI_exCredit"
16,-7.07195404668854,4.33296033390387,0.10479249329652,-14.1990395673472,0.0551314739701017,158,"Cred_USD","FCI_exCredit"
17,-7.55220022218417,4.33276037630837,0.083430895484901,-14.6789568418666,-0.425443602501737,157,"Cred_USD","FCI_exCredit"
18,-5.51630912235888,4.44914674015093,0.21703078834327,-12.8345042747355,1.8018860300177,156,"Cred_USD","FCI_exCredit"
1,0.484725531823546,1.06507410563108,0.649639671015689,-1.26716547379583,2.23661653744292,173,"Cred_Total","FCI_ENDO_exCredit"
2,0.280621889147961,1.37721617848253,0.838798191224137,-1.98469713712527,2.54594091542119,172,"Cred_Total","FCI_ENDO_exCredit"
3,-1.10340332096126,1.36427281683283,0.419839853714857,-3.34743241188004,1.14062576995752,171,"Cred_Total","FCI_ENDO_exCredit"
4,-2.37194763131895,1.47480892537942,0.109751484704208,-4.79779244128969,0.0538971786517961,170,"Cred_Total","FCI_ENDO_exCredit"
5,-3.01151606668774,1.30169012696737,0.0219817178645853,-5.15260579319695,-0.87042634017854,169,"Cred_Total","FCI_ENDO_exCredit"
6,-2.97035612206749,1.3961929332867,0.0349431081399334,-5.26688913230814,-0.673823111826845,168,"Cred_Total","FCI_ENDO_exCredit"
7,-3.99813653745458,1.54958410904402,0.0107984711613092,-6.54697557948201,-1.44929749542715,167,"Cred_Total","FCI_ENDO_exCredit"
8,-4.84586840033597,1.50892492082636,0.00160593271876505,-7.32782902915466,-2.36390777151727,166,"Cred_Total","FCI_ENDO_exCredit"
9,-3.95824353178965,1.68193935275793,0.0198669274164409,-6.72478757648594,-1.19169948709336,165,"Cred_Total","FCI_ENDO_exCredit"
10,-4.86519142459165,1.63893040152034,0.00347456203976037,-7.56099203985342,-2.16939080932988,164,"Cred_Total","FCI_ENDO_exCredit"
11,-5.6658266601909,1.67597772662308,0.000919364854948411,-8.42256470251675,-2.90908861786505,163,"Cred_Total","FCI_ENDO_exCredit"
12,-5.5995777528278,1.89533450638169,0.00363519155217808,-8.717125589936,-2.48202991571959,162,"Cred_Total","FCI_ENDO_exCredit"
13,-6.57924378224927,1.97143904648113,0.00106683940514696,-9.82197244816752,-3.33651511633103,161,"Cred_Total","FCI_ENDO_exCredit"
14,-6.52180606145532,1.98282662588702,0.00125403950264142,-9.78326562866154,-3.26034649424911,160,"Cred_Total","FCI_ENDO_exCredit"
15,-6.13580340324272,2.03815150248421,0.00306766612040853,-9.48826429438046,-2.78334251210498,159,"Cred_Total","FCI_ENDO_exCredit"
16,-5.58172583996001,2.11727960180733,0.00928237586536225,-9.06434087226316,-2.09911080765686,158,"Cred_Total","FCI_ENDO_exCredit"
17,-4.36349543762171,2.17242600340418,0.0464254174144067,-7.93681822860476,-0.79017264663866,157,"Cred_Total","FCI_ENDO_exCredit"
18,-4.21732625384097,1.81259344493083,0.0213671214158959,-7.19877715592391,-1.23587535175803,156,"Cred_Total","FCI_ENDO_exCredit"
1,0.154379385600981,0.613994082584385,0.801796745962998,-0.855551008064685,1.16430977926665,173,"Cred_Real_MN","FCI_ENDO_exCredit"
