"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","sector","sector_label","side"
5,3.42618764523022,1.08839384297261,0.00219113377150968,1.63593908506507,5.21643620539537,0.415608968387701,1.09471870280451,0.705044456268935,-1.38504306041191,2.21626099718731,0.0747278308993357,108,"Consumo_Privado","Private Consumption","Demand"
6,2.6398319260855,0.985045663959372,0.00868120226492277,1.01957599300911,4.2600878591619,0.770895771184684,0.979002688106169,0.432990576379339,-0.839420351141989,2.38121189351136,0.19596767753154,107,"Consumo_Privado","Private Consumption","Demand"
7,2.79231367845835,0.998625595488398,0.00627098221000492,1.14972074575269,4.43490661116402,-0.815068986919347,1.23063601202107,0.509389805305588,-2.8392850947493,1.2091471209106,0.0701587063418608,106,"Consumo_Privado","Private Consumption","Demand"
8,0.838330001915393,1.05633139585931,0.429434587809331,-0.899180525826511,2.5758405296573,-0.637131385802298,1.15427955357347,0.582290724632884,-2.53575229601355,1.26148952440895,0.399907837151947,105,"Consumo_Privado","Private Consumption","Demand"
1,-3.53624942307414,1.46700612903954,0.0177563732336882,-5.94925977518487,-1.12323907096342,2.26109354011063,1.80386834669024,0.212957676533349,-0.706005852485765,5.22819293270703,0.0144660556570733,112,"Consumo_Publico","Public Consumption","Demand"
2,-1.30265000358939,1.65366896736744,0.432734756137808,-4.02269340234081,1.41739339516204,1.06488280857688,2.00326892651117,0.596212828069293,-2.2302013509542,4.35996696810797,0.371654564333066,111,"Consumo_Publico","Public Consumption","Demand"
3,-1.89104897394034,2.08880977187982,0.367514304173247,-5.32683530322853,1.54473735534785,1.27973303957549,2.08397869532255,0.540584323991557,-2.1481068759154,4.70757295506637,0.31907901304429,110,"Consumo_Publico","Public Consumption","Demand"
4,-4.40110904760246,2.29396087795803,0.0579798983103776,-8.17433891779651,-0.62787917740841,4.44259950984028,2.61573256763521,0.0926350912976485,0.14010230883041,8.74509671085015,0.0313047624498071,109,"Consumo_Publico","Public Consumption","Demand"
5,-1.06900473042649,1.82712220797589,0.559869547031773,-4.07435332109922,1.93634386024624,5.44746137817823,1.96990792477073,0.00681986060825737,2.20725118335865,8.68767157299781,0.0271586138656801,108,"Consumo_Publico","Public Consumption","Demand"
6,-0.647482663397764,1.39434091103831,0.643448929042398,-2.94096936812594,1.64600404133041,5.77163572583229,1.5493925670572,0.000331280776311214,3.2231117423366,8.32015970932798,0.00425553437457282,107,"Consumo_Publico","Public Consumption","Demand"
7,0.574546111322355,1.72073450749747,0.739201890209146,-2.25581028435542,3.40490250700012,4.1318550050195,1.80281642974012,0.0241441396475428,1.16648586183376,7.09722414820524,0.250813753107572,106,"Consumo_Publico","Public Consumption","Demand"
8,2.80810772773514,1.54761704930698,0.0728292083684828,0.262504211050618,5.35371124441965,1.49979328548761,1.69769895799532,0.379283560148986,-1.29267300304273,4.29225957401795,0.631597726426958,105,"Consumo_Publico","Public Consumption","Demand"
1,-5.65603860862387,2.88369136227335,0.0526144563854896,-10.3992888048678,-0.912788412379919,10.2607649793851,3.51455345504819,0.00433193396786072,4.4798389817343,16.041690977036,0.00160916585906989,112,"FBCF","Investment (GFCF)","Demand"
2,-5.23753170074264,3.03996162405333,0.0880299457159171,-10.23782360386,-0.237239797625226,11.5447341524409,3.40047208081472,0.000988598780049372,5.9514553169656,17.1380129879162,0.000885937389672575,111,"FBCF","Investment (GFCF)","Demand"
3,-2.08534062402956,2.80953371107603,0.459718893053582,-6.7066123387354,2.53593109067627,9.89379263705793,3.58626171542009,0.00692297399263819,3.99491704725199,15.7926682268639,0.010126456340837,110,"FBCF","Investment (GFCF)","Demand"
4,1.68800252407922,2.87616607244326,0.558638888612259,-3.04286967189385,6.41887472005229,5.56085560137336,3.59423711409845,0.125081477721202,-0.351138351875072,11.4728495546218,0.452202837067957,109,"FBCF","Investment (GFCF)","Demand"
5,6.04964373312982,3.30967634118297,0.0706757711848952,0.605710599299533,11.4935768669601,1.25489994420354,3.74665369373982,0.738401946692315,-4.90779697287552,7.41759686128261,0.445373253941551,108,"FBCF","Investment (GFCF)","Demand"
