"proxy","response","horizon","irf_point","ci_lower","ci_upper","n_boot_valid"
"VIX","Cred_Real_Total",8,-0.113276621489219,-25.0418686646656,35.2170854097983,500
"VIX","Cred_Real_Total",9,-0.271703152610698,-23.5991449886034,33.6297590979484,500
"VIX","Cred_Real_Total",10,-0.418191545343235,-22.4586702570057,31.9753846395734,500
"VIX","Cred_Real_Total",11,-0.553203442175756,-21.5621601931776,30.2670854889742,500
"VIX","Cred_Real_Total",12,-0.677175218132979,-20.6080794531457,28.5176207415434,500
"VIX","Cred_Real_Total",13,-0.790527253961166,-19.6082979005636,26.739170858935,500
"VIX","Cred_Real_Total",14,-0.893669677577112,-18.7185774435338,24.9431982679325,500
"VIX","Cred_Real_Total",15,-0.987005951606511,-17.9135043066712,23.1403648234397,500
"VIX","Cred_Real_Total",16,-1.07093503483054,-16.6202840900704,21.6623562000423,500
"VIX","Cred_Real_Total",17,-1.14585256808065,-15.7752245704016,20.2882928199782,500
"VIX","Cred_Real_Total",18,-1.21215138856246,-14.9085089607318,18.9287054518144,500
"VIX","Cred_Real_Total",19,-1.27022158588222,-14.0256943056332,17.5891530163911,500
"VIX","Cred_Real_Total",20,-1.3204502517402,-13.1282699238617,16.2743037863549,500
"VIX","Cred_Real_Total",21,-1.36322103206242,-12.2271077510981,14.9880882081218,500
"VIX","Cred_Real_Total",22,-1.39891355937332,-11.3271928543437,13.4561348590469,500
"VIX","Cred_Real_Total",23,-1.42790282084885,-9.15712813620805,11.978554814537,500
"VIX","Cred_Real_Total",24,-1.45055850129782,-8.44599116055063,10.6654935328811,500
"VIX","IMAEP_yoy",0,-0.63365047704057,-34.8623879004731,28.4805657360279,500
"VIX","IMAEP_yoy",1,-0.765743970366676,-20.7698657214204,17.1142234650851,500
"VIX","IMAEP_yoy",2,-0.514506513779678,-14.9854723107854,11.6510608010915,500
"VIX","IMAEP_yoy",3,-0.412511385121916,-11.2927167546841,8.14044336266462,500
"VIX","IMAEP_yoy",4,-0.355407025973953,-8.28527475012261,8.00860099408726,500
"VIX","IMAEP_yoy",5,-0.315610864761627,-6.18402573138899,5.62126421952836,500
"VIX","IMAEP_yoy",6,-0.285906530658782,-4.56979793281609,5.68524602307182,500
"VIX","IMAEP_yoy",7,-0.262652178534705,-3.39175279100003,5.26305039429393,500
"VIX","IMAEP_yoy",8,-0.243782026269166,-2.90443889509497,4.22823753244436,500
"VIX","IMAEP_yoy",9,-0.227988593004843,-2.78830087613419,3.61259102790754,500
"VIX","IMAEP_yoy",10,-0.214383193593222,-2.63384968397471,3.23906059267033,500
"VIX","IMAEP_yoy",11,-0.202344671769731,-2.34612164981024,2.65031968216375,500
"VIX","IMAEP_yoy",12,-0.191435189921442,-2.14973615328144,2.2341910939382,500
"VIX","IMAEP_yoy",13,-0.181346328423432,-1.76343630040742,1.93676965722236,500
"VIX","IMAEP_yoy",14,-0.171862092016911,-1.59310121069105,1.81274046544029,500
"VIX","IMAEP_yoy",15,-0.162832694680441,-1.41673876989941,1.59113696562498,500
"VIX","IMAEP_yoy",16,-0.154155736278687,-1.29531867323107,1.49231340090037,500
"VIX","IMAEP_yoy",17,-0.145762619536483,-1.19061402861535,1.42462942803665,500
"VIX","IMAEP_yoy",18,-0.137608733795579,-1.03537411021175,1.38560033937304,500
"VIX","IMAEP_yoy",19,-0.129666361469101,-0.901841645710776,1.16393046040707,500
"VIX","IMAEP_yoy",20,-0.121919556785363,-0.817826699979557,1.06525581955926,500
"VIX","IMAEP_yoy",21,-0.114360454352724,-0.734180615504207,0.936441817125474,500
"VIX","IMAEP_yoy",22,-0.106986614484957,-0.597176252832136,0.827944599038224,500
"VIX","IMAEP_yoy",23,-0.0997991202190544,-0.563377909179315,0.842284925825529,500
"VIX","IMAEP_yoy",24,-0.0928012192010181,-0.536946174662403,0.743351034628566,500
"VIX","IPC_yoy",0,0.0754262099847203,-14.4889544832332,12.1674089153786,500
"VIX","IPC_yoy",1,0.281377888520652,-13.6602823133279,12.4383363398277,500
"VIX","IPC_yoy",2,0.330712387680439,-13.7233390852763,11.8702901989803,500
