"fecha","VIX","SP500","DXY","US_10Y","FFER","Selic_rate","d_ToT","FCI_ENDO_AVG","Cred_Real_Total","IMAEP_yoy","IPC_yoy","FCI_actual"
2002-04-01,0.175558645055975,0.192132886473618,1.12512028956909,-0.0621638622977155,-0.00139598255920208,0.177451872035631,-0.0438849427679315,0.280619511183754,-0.0819044576740739,0.0086925777368944,-0.0725828218284799,1.04343017972683
2002-05-01,0.156484859844325,0.20338698678158,1.13093354579332,-0.0656642763159681,0.035978110329623,0.161501181269589,-0.0823243155586115,0.154704222573409,-0.0667596729425328,0.00971534883017963,-0.0925791655462437,0.917026948498397
2002-06-01,0.148329008642424,0.207806209026659,1.07435159336528,-0.0712981026393297,0.0786972963353414,0.1396763820333,-0.0961426269268922,0.175455545669442,-0.0514709571009762,0.00767254811471183,-0.108054780786688,0.902823234831894
2002-07-01,0.167748086683314,0.197216774891758,1.12487994636107,-0.0712400117301873,0.127634642596545,0.122300405055834,-0.0750819920775392,0.202190869495537,-0.032290296378668,0.00285797378089014,-0.110486793070674,1.07977390688714
2002-08-01,0.181950642623597,0.18302768088231,1.10435616628611,-0.0621690170724826,0.177070226728926,0.115150474385811,-0.115706005819755,0.476223340380277,-0.037538184103013,0.0047092485996954,-0.0980429211531169,1.37924040542036
2002-09-01,0.190709857754913,0.181312775075892,1.07201918081419,-0.0440683964121057,0.222042827889633,0.0864630719485847,-0.108810748549032,0.502825768744271,-0.0335704012665171,0.0111186937478124,-0.0749664419632095,1.48122258542886
2002-10-01,0.196584798691668,0.171907845958393,1.06116500452859,-0.022745866173118,0.261800366100236,0.0577524391919013,-0.127226644966727,0.417710259358201,-0.0412928936979937,0.0158255510268582,-0.0551450472064106,1.43806626767339
2002-11-01,0.183336211126922,0.156609636020104,1.0401189376695,-0.0285968502833596,0.264894679778213,0.0393751448347507,-0.115358985277887,0.454715508808058,-0.0600698631119676,0.0144387757932326,-0.0342203737956268,1.44209663917888
2002-12-01,0.182506218597001,0.150581694898581,0.943297692710811,-0.035610498686268,0.253446677970889,0.0420782624266403,-0.126169953342576,0.422996881033152,-0.071997389357281,0.0166697732205074,-0.00285398721199003,1.32637274116425
2003-01-01,0.189025221326997,0.156302884997385,0.90647169554358,-0.048687238120766,0.256145259304326,0.0462686171425049,-0.117374241427106,0.544592150193705,-0.0832599658274928,0.0251046117398146,0.0269530081627329,1.47692029215768
2003-02-01,0.204805097903013,0.146692959145501,0.866257166258008,-0.0577895685877126,0.262674521322568,0.0789150866435056,-0.108775891430848,0.570684845083937,-0.0924056168235574,0.0368641283108031,0.0695009385012489,1.57607204681948
2003-03-01,0.223194992497148,0.117201237907913,0.80791926487517,-0.0639474170258764,0.263576005783876,0.0990981209950591,-0.0909993583150766,0.476309675163864,-0.117942926943973,0.0451192165441482,0.130957445393103,1.51167869206444
2003-04-01,0.215142256430106,0.0970857693598835,0.741236285338888,-0.0671596864774196,0.25390934757904,0.130701849378815,-0.0992914967394601,0.343090093040726,-0.139767957382662,0.0530055255363212,0.191689028849638,1.36261768313386
2003-05-01,0.201948650763059,0.0785345294522511,0.643662237920161,-0.0712560410837343,0.230913516596717,0.140002521954963,-0.078723214364316,0.252698168592641,-0.146954448673146,0.0543417313727975,0.258829294042963,1.22797417825119
2003-06-01,0.198308240593927,0.0521031624755454,0.625218952745913,-0.0327789663741575,0.203129815947901,0.155218571938984,-0.0886382506361619,0.155105685787485,-0.158401285496387,0.0480266267280024,0.30538740475516,1.14685878127169
2003-07-01,0.194815113196447,0.0426109442616235,0.579058303278716,-0.0102534641741413,0.17142784853212,0.170834728703631,-0.109107444423141,0.0179963006715724,-0.20089556970643,0.0408134150823128,0.317075904026673,0.91794947415505
2003-08-01,0.189817420400541,0.0325883729867852,0.5363080812211,-0.0426162855458165,0.140468319887677,0.177600658903032,-0.0779699156113514,0.108711580959964,-0.223066756390689,0.0348174230901708,0.310271705903483,0.909089580991844
2003-09-01,0.189959800901175,0.0192648856365289,0.405358746453126,-0.0525208512430916,0.105905360894893,0.184443615664188,-0.0469837293664993,0.18386711195538,-0.261960208414412,0.0248219383891529,0.288004214921334,0.780099482253803
2003-10-01,0.187959358321269,0.0112865950846742,0.395816182554077,-0.03386548165949,0.06737116607952,0.172343943317541,-0.0223975674510594,0.106509448374333,-0.288912531421988,0.00951587036998313,0.265531557414092,0.628077876894091
2003-11-01,0.187911078826656,-0.000566138095846106,0.310808720261735,-0.031523193906621,0.0289338946359082,0.158446632465147,-0.00133788791322841,0.218585014473078,-0.310451930655183,-0.0120948217554658,0.258596898531991,0.580419732956833
2003-12-01,0.18831380460734,-0.00645667118818366,0.232967007939105,-0.0394752141673421,-0.0109864467831508,0.137269328332846,0.0232639189689638,0.246146590189927,-0.351571090392174,-0.0315892455037902,0.251826878938593,0.42823657138603
2004-01-01,0.185693278339443,-0.0152915534094996,0.201711674337668,-0.0436291840711564,-0.048138107383385,0.105569357547163,0.0392998083056609,0.26139759489067,-0.39924162020303,-0.0353992061912236,0.237450438536915,0.292605080565059
2004-02-01,0.182601291477617,-0.0152439567665199,0.137963051178942,-0.0366747742902405,-0.0793502577673394,0.0687410434418095,0.044457398770482,0.378446170848412,-0.430924929513109,-0.0271401733408515,0.201630667714368,0.241597455862658
2004-03-01,0.183529771702788,-0.0115546720212887,0.0838845216499754,-0.0244155147212636,-0.103387758180508,0.0417973889437495,0.0242686246816332,0.460266739816901,-0.444743933221226,-0.0134791510860577,0.148821406308893,0.175259695259085
2004-04-01,0.177750143859296,0.0018771965158161,0.0703779582891346,-0.0143045259717786,-0.119259725616757,0.0179649166308372,0.0325660478503813,0.383828568833057,-0.457866028049955,-0.00879711119417953,0.0961620198714244,0.0230401099004036
2004-05-01,0.175506773679393,0.0184281430117492,0.000245878636269646,-0.0504197454664086,-0.132445932690068,-0.00218749191217189,0.0241612429471712,0.199345318154819,-0.483475445332803,-0.00757001972865247,0.0338577018837539,-0.370039400145044
2004-06-01,0.179896809985896,0.02343764098711,-0.018189750971576,-0.0828813532784871,-0.150295588529449,-0.0130190408464348,0.0443623941558988,0.091082114853682,-0.513623761881486,-0.00308087690152292,-0.00429225495406335,-0.580993820038008
2004-07-01,0.178898536002673,0.0243266362235992,-0.0271958110820519,-0.0861051668650535,-0.160648070123207,-0.0199790608570031,0.0546145332467125,-0.270631071987768,-0.508540617351282,0.000256394968205171,-0.0131536320735546,-0.952112986123736
2004-08-01,0.182419205443112,0.0293946786367716,-0.0684455573815483,-0.067821352225639,-0.163627000059631,-0.0304511621613943,0.0599469623694524,-0.317726954483621,-0.507591276051677,0.00641695245008015,-0.0223886751772462,-1.01404027102054
2004-09-01,0.173724109869294,0.0241560656841815,-0.0994541013216048,-0.0546694179022708,-0.167057936526162,-0.0388135690022237,0.0580200215008894,-0.597908606686737,-0.508662939356266,0.015427899273074,-0.0232020505024483,-1.32344627359779
2004-10-01,0.164429850114791,0.024462817462335,-0.13985029334915,-0.0505503560824227,-0.167500191149084,-0.0532740842288888,0.0488233461829987,-0.853695210845054,-0.516564054838448,0.025085337849438,-0.0290854126209513,-1.64417774422088
2004-11-01,0.159049977768006,0.0125095266260149,-0.185507701454606,-0.0563312163624457,-0.160942228447995,-0.0679005567402257,0.0403299719204344,-0.925773619075512,-0.506277841807894,0.0269002299279563,-0.0578530293984617,-1.81030928020109
2004-12-01,0.146345496465843,0.00247202776291609,-0.206936964038659,-0.068408045153813,-0.150021814085936,-0.0782466982204552,0.0504922054193853,-1.02231164097541,-0.479143841802942,0.0362265085062935,-0.0936447635359799,-1.94432924464801
2005-01-01,0.140972753390876,-0.00366787728989411,-0.185165162467203,-0.0696891988548436,-0.145186191522754,-0.075857449250864,0.0450772947073285,-1.05702822389778,-0.442620855002164,0.0438978726335322,-0.122550552147146,-1.94618048577515
2005-02-01,0.130936119260448,-0.00370076354906283,-0.239899858728922,-0.0621314607573279,-0.141821184427772,-0.0694383939007113,0.0380080988636664,-0.965725506658591,-0.411620416714359,0.044599703059067,-0.142957075643227,-1.89188424782411
2005-03-01,0.118359202172511,-0.00685779274164231,-0.230546171678842,-0.061192481922866,-0.139128234593885,-0.0612072225342804,0.038264467066767,-0.913713525967357,-0.377754687678307,0.0397750867597576,-0.162161777958581,-1.81861434928717
2005-04-01,0.114744375347109,-0.00557392484496429,-0.24654485411545,-0.0780062157603934,-0.141784276174384,-0.0474739258441784,0.0247026384298565,-0.826574527222176,-0.355750589532358,0.0398463816440145,-0.176843129956718,-1.75656213586263
2005-05-01,0.103384156207441,-0.00417458539524875,-0.207345206852648,-0.0582711441638973,-0.144400419331591,-0.0354291336567024,0.0261868145111199,-0.782887712262517,-0.331608108060501,0.0411396701566458,-0.18286567841381,-1.62895194557497
2005-06-01,0.0814836958435585,-0.0129744624136984,-0.210919986456004,-0.0265103533818878,-0.157746739281068,-0.0208709686269386,0.0089475411330177,-0.71472329600958,-0.321729273331568,0.044409255591427,-0.185785809466775,-1.56498990395656
