"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","purge_type","purge_r2"
17,-6.46698786498847,2.89622922669328,0.026255651994956,-11.2308610129978,-1.70311471697918,327,"Cred_Real_Total","macro_purged",0.033
18,-5.76695114754269,2.8335573914098,0.0426642014208175,-10.4277382999782,-1.10616399510713,326,"Cred_Real_Total","macro_purged",0.033
19,-4.89704473467729,2.69383466981713,0.0700366364406026,-9.32800846173362,-0.466081007620958,325,"Cred_Real_Total","macro_purged",0.033
20,-4.45989786500035,2.74087443778372,0.104704957240411,-8.96823512500748,0.0484393950067776,324,"Cred_Real_Total","macro_purged",0.033
21,-3.8866609646267,2.65150280590175,0.143700789063059,-8.2479949717862,0.474673042532796,323,"Cred_Real_Total","macro_purged",0.033
22,-2.89533813550262,2.56353302008524,0.259585708983291,-7.11197472139968,1.32129845039444,322,"Cred_Real_Total","macro_purged",0.033
23,-1.85360390193521,2.3388034099916,0.428649818147077,-5.70059317358637,1.99338536971595,321,"Cred_Real_Total","macro_purged",0.033
24,-1.44073115951541,2.16912446031856,0.507058010888859,-5.00862339537955,2.12716107634873,320,"Cred_Real_Total","macro_purged",0.033
1,-0.782457512919862,0.826132419083438,0.344259715745544,-2.14132441879145,0.576409392951724,343,"Cred_Real_MN","macro_purged",0.033
2,-0.642334627600155,0.978548613162459,0.512012791814984,-2.25190386310876,0.967234607908447,342,"Cred_Real_MN","macro_purged",0.033
3,-2.28671947998302,1.25081206225614,0.068423993334376,-4.34412223721968,-0.229316722746357,341,"Cred_Real_MN","macro_purged",0.033
4,-3.6969366347699,1.52686179399918,0.016007126800305,-6.20840079448308,-1.18547247505672,340,"Cred_Real_MN","macro_purged",0.033
5,-4.13591926792333,1.60607146130808,0.0104565897942889,-6.77767173619918,-1.49416679964748,339,"Cred_Real_MN","macro_purged",0.033
6,-4.94497639126236,1.969072624773,0.0125096599811792,-8.18381263985108,-1.70614014267363,338,"Cred_Real_MN","macro_purged",0.033
7,-6.15219591374751,2.09065629897981,0.00348676251673485,-9.59101950983339,-2.71337231766164,337,"Cred_Real_MN","macro_purged",0.033
8,-7.72951081991697,2.21327432588896,0.000545061788061399,-11.370023122294,-4.08899851753994,336,"Cred_Real_MN","macro_purged",0.033
9,-7.90643644512869,2.37321670315135,0.000963503233926546,-11.810030546849,-4.00284234340837,335,"Cred_Real_MN","macro_purged",0.033
10,-7.560442268729,2.53326338567377,0.0030574094931977,-11.7272897366779,-3.39359480078013,334,"Cred_Real_MN","macro_purged",0.033
11,-9.06831949058061,2.85529273122436,0.0016379093083143,-13.7648580955432,-4.37178088561805,333,"Cred_Real_MN","macro_purged",0.033
12,-9.24006516510924,3.05441629348334,0.00268581099926992,-14.264132883665,-4.2159974465535,332,"Cred_Real_MN","macro_purged",0.033
13,-9.82278354337864,3.15342507273974,0.0020061798617394,-15.0097062115943,-4.63586087516297,331,"Cred_Real_MN","macro_purged",0.033
14,-10.1211551192236,3.08521405067639,0.0011507259570954,-15.1958806404003,-5.04642959804689,330,"Cred_Real_MN","macro_purged",0.033
15,-9.74457107212489,2.85645219378195,0.000729705770576725,-14.4430168232806,-5.04612532096916,329,"Cred_Real_MN","macro_purged",0.033
16,-9.2115634142821,2.81488527884473,0.00118380824576286,-13.8416376746422,-4.58148915392205,328,"Cred_Real_MN","macro_purged",0.033
17,-8.54197608624493,2.69887724161082,0.00170178742272573,-12.9812341058053,-4.10271806668459,327,"Cred_Real_MN","macro_purged",0.033
18,-7.94768282081735,2.71254908858095,0.00363758369943725,-12.4094290274536,-3.48593661418106,326,"Cred_Real_MN","macro_purged",0.033
19,-7.29660912034962,2.57313389518256,0.00486946091709564,-11.5290377404724,-3.06418050022683,325,"Cred_Real_MN","macro_purged",0.033
20,-6.73168974184727,2.41851898664873,0.00570637920498194,-10.7097994688874,-2.75358001480711,324,"Cred_Real_MN","macro_purged",0.033
21,-6.23170441896595,2.40177486328315,0.00991653038445949,-10.1822725139581,-2.28113632397378,323,"Cred_Real_MN","macro_purged",0.033
22,-5.78954865528649,2.16191131731486,0.00780031854510028,-9.34557632671927,-2.2335209838537,322,"Cred_Real_MN","macro_purged",0.033
23,-4.84721198469334,1.9705255085554,0.0144447361838386,-8.08843801444108,-1.60598595494559,321,"Cred_Real_MN","macro_purged",0.033
