"horizon","response_val","lower","upper","shock","response"
23,-0.0192013618735723,-0.113154566742336,0.0809385751896213,"VIX","IPC_yoy"
24,-0.0141581842170563,-0.108892763293386,0.0825315019892152,"VIX","IPC_yoy"
0,0.00411035077746405,-0.0111424724134307,0.018245429899027,"Commodities","FCI_ENDO"
1,0.00459909305792773,-0.0163900205705267,0.0248516203784822,"Commodities","FCI_ENDO"
2,0.00456360385203021,-0.0175873447047346,0.0251656001016985,"Commodities","FCI_ENDO"
3,0.00403339938834802,-0.0196304978138734,0.0263747574004332,"Commodities","FCI_ENDO"
4,0.0036930140689167,-0.0214798492516687,0.0256337123458832,"Commodities","FCI_ENDO"
5,0.00353012651300448,-0.0229270079552105,0.0266791158723445,"Commodities","FCI_ENDO"
6,0.00347424229010107,-0.0234083858687822,0.0274439364785935,"Commodities","FCI_ENDO"
7,0.00346729978397836,-0.0238102770210224,0.0293864812117118,"Commodities","FCI_ENDO"
8,0.00346850137453948,-0.0247172004427866,0.030760096779311,"Commodities","FCI_ENDO"
9,0.00345042768195111,-0.0249322285950816,0.0321873587560159,"Commodities","FCI_ENDO"
10,0.00339541318673612,-0.0253056359160869,0.0329930853016305,"Commodities","FCI_ENDO"
11,0.00329287525694273,-0.0254958872118092,0.0335267331175255,"Commodities","FCI_ENDO"
12,0.00313736632618374,-0.0257688267920267,0.0335714889873259,"Commodities","FCI_ENDO"
13,0.00292712902391478,-0.0269292049148375,0.0337756834328592,"Commodities","FCI_ENDO"
14,0.00266301097518667,-0.0277502325776926,0.0343074508728033,"Commodities","FCI_ENDO"
15,0.00234764572883461,-0.0284044873538314,0.0344743595987583,"Commodities","FCI_ENDO"
16,0.00198483515992807,-0.0294118030935321,0.0354569270279113,"Commodities","FCI_ENDO"
17,0.0015790864035832,-0.0305272011381398,0.0350098637995283,"Commodities","FCI_ENDO"
18,0.00113526809704378,-0.0302435776669039,0.0353289755177489,"Commodities","FCI_ENDO"
19,0.000658358945925951,-0.0315123803153163,0.0358846330724577,"Commodities","FCI_ENDO"
20,0.00015326766958843,-0.0328107362650087,0.0366972907474172,"Commodities","FCI_ENDO"
21,-0.000375292064369496,-0.0340738487244999,0.0360165617392256,"Commodities","FCI_ENDO"
22,-0.000922884600746087,-0.0352868924355564,0.0359932101054788,"Commodities","FCI_ENDO"
23,-0.0014854032994017,-0.0365473778263796,0.0360292084360019,"Commodities","FCI_ENDO"
24,-0.00205909756766033,-0.037659494422172,0.0365492217277257,"Commodities","FCI_ENDO"
0,0.343716065362986,0.0407437856669851,0.624126822938823,"Commodities","IMAEP_yoy"
1,0.670788124573813,0.308850235447247,1.01245433121221,"Commodities","IMAEP_yoy"
2,0.52411688858634,0.209717470226585,0.776124486272503,"Commodities","IMAEP_yoy"
3,0.365457291433825,0.0858703095924656,0.543992509655785,"Commodities","IMAEP_yoy"
4,0.249773174539626,-0.0218243305511273,0.389017959031374,"Commodities","IMAEP_yoy"
5,0.172010362151051,-0.0772464244471994,0.300022785637632,"Commodities","IMAEP_yoy"
6,0.121589689042298,-0.104356696209007,0.253261144135268,"Commodities","IMAEP_yoy"
7,0.0900104862185099,-0.121772994034774,0.218192731572597,"Commodities","IMAEP_yoy"
8,0.07122774603579,-0.119071728590858,0.204838147982724,"Commodities","IMAEP_yoy"
9,0.0610622332108324,-0.118023572340137,0.190264448777988,"Commodities","IMAEP_yoy"
10,0.0566411352163531,-0.108407875790934,0.179511925425051,"Commodities","IMAEP_yoy"
11,0.0559900509447083,-0.100227942236669,0.172098928080041,"Commodities","IMAEP_yoy"
12,0.0577515824260556,-0.0896111096087578,0.171252667028041,"Commodities","IMAEP_yoy"
13,0.0609934740278128,-0.0819159637152087,0.170008030547109,"Commodities","IMAEP_yoy"
14,0.0650776957602786,-0.0779408867871913,0.17066298108577,"Commodities","IMAEP_yoy"
15,0.0695707019590217,-0.0696251615739018,0.173779834044933,"Commodities","IMAEP_yoy"
16,0.0741815566109162,-0.0644177663913545,0.171275321682878,"Commodities","IMAEP_yoy"
17,0.0787190059807428,-0.0570306750819757,0.169542837420255,"Commodities","IMAEP_yoy"
18,0.0830615096109564,-0.0532958884588248,0.16909043031307,"Commodities","IMAEP_yoy"
19,0.0871361919491754,-0.0472837445006718,0.172184204383877,"Commodities","IMAEP_yoy"
20,0.0909039783108323,-0.0422776310002193,0.173701177696888,"Commodities","IMAEP_yoy"
21,0.094349049841957,-0.0406144868229605,0.174957419622656,"Commodities","IMAEP_yoy"
22,0.0974713374311272,-0.0387142285604013,0.177913093551504,"Commodities","IMAEP_yoy"
23,0.100281169746145,-0.0365604092254114,0.178885539357605,"Commodities","IMAEP_yoy"
24,0.102795458952447,-0.0346904170045074,0.182111266588577,"Commodities","IMAEP_yoy"
0,0.106457678714686,-0.00569500647609167,0.208900060020488,"Commodities","IPC_yoy"
1,0.210806124291083,0.0307466611747523,0.371262588653821,"Commodities","IPC_yoy"
2,0.204147685350652,-0.00569428471715315,0.370138766632931,"Commodities","IPC_yoy"
